term,tag
alluring,VBG
alcibiades,NP
all,ABN
alvin,NP
allegretti,NP
alginates,NNS
alleviation,NN
alf,NP
alight,JJ
alternation,NN
allergy,NN
alternatives,NNS
all-star,JJ-TL
alundum,NN
alien,JJ
alacrity,NP
already,RB
alkaloids,NNS
alternative,NN
allowances,NNS
alcohols,NNS
alignment,NN
albicans,NP
alimony,NN
alarmist,JJ
alphabetical,JJ
altenburg,NP-TL
alluded,VBN
alla,NP
alamogordo,NP
alderman,NN
alsop,NP
alternate,JJ
alizarin,NN
all-lesbian,JJ
aldo,NP
alabamans,NPS
all-county,JJ
allstates-zenith,NP
all-negro,JJ
all-american-boy,JJ
alberto,NP
alphabetic,JJ
alveoli,NNS
alcorn,NP
alloted,VBN
alter,VB
ally,NN
altercation,NN
al.,FW-NNS
alemagna,NP
althea,NP
alumnae,NNS
alarms,NNS
albrights',NPS$
alabamas,NPS
allegations,NNS
alabaster,NN
allegory,NN
alden,NP
alcoholics,NNS
alerting,VBG
altogether,RB
alison,NP
alliteration,NN
alpharetta,NP
alexander,NP
alamein,NP-TL
alex,NP
algerian,JJ
aluminum,NN
alludes,VBZ
altering,VBG
always,RB
alternately,RB
alice,NP
alexis,NP
alkali,NN
alamo,NP
alicia,NP
all-purpose,JJ
allocations,NNS
alternatively,RB
almaden,NP
alignments,NNS
alexandre,NP
altairians,NPS
alec,NP
alkylarysulfonate,NN-HL
albania,NP
alfa,NP
allusion,NN
alternated,VBD
almond,NN
allan,NP
alive,JJ
alteration,NN
all-american,JJ
almonds,NNS
alessio,NP
alkalis,NNS
alpers,NP
aloof,RB
allay,VB
alphonse,NP
allusions,NNS
alfred's,NP$
all-weather,JJ
album,NN
all-over,JJ
alcohol,NN
alpha-beta-gammas,FW-NNS
alarming,VBG
alliterative,JJ
alliance's,NN$
albright's,NP$
allegiances,NNS
alterations,NNS
aloneness,NN
allen's,NP$
allocate,VB
all-powerful,JJ
allotted,VBN
albacore,NP
alligatored,JJ
alertness,NN
all-inclusive,JJ
alveolar,JJ
alastor,NP-TL
alleys,NNS
alum,NN
alleviating,VBG
all-night,JJ
aliah,NP
ale,NN
aloft,RB
alter-ego,NN
alps,NPS-TL
although,CS
alone,RB
along,RB
alters,VBZ
alarmingly,RB
alpert,NP
alto,NN
alter-parents,NNS
allies,NNS
algebra,NN
algebraic,JJ
alexandria,NP
albanian,JJ
allows,VBZ
alaska,NP
all-married,JJ
allegheny,NP-TL
alligator,NN
alleyways,NNS
allied,VBN
allotment,NN
aligning,VBG
algaecide,NN
allso,RB
alleghenies,NPS
all-out,JJ
allowance,NN
all-victorious,JJ
altho,CS
all-pervading,JJ
alveolus,NN
aliens,NNS
allegiance,NN
ala.,NP
allstates',NPS$
alchemy,NN
all-white,JJ
alsing,NP
allocated,VBN
alcoves,NNS
aloes,NN
alloy,NN
alusik,NP
almighty,NP
alreadeh,RB
al's,NP$
altitude,NN
alcoholic,JJ
alterman,NP
alleged,VBN
algae,NNS
alba,NP
alphabetized,VBN
alfred,NP
alvarez,NP
allurement,NN
alperts,NPS
alluding,VBG
allergic,JJ
alexeyeva,NP
alloys,NNS
alec's,NP$
alix's,NP$
allegedly,QL
altar,NN
allocable,JJ
albers,NP
albert,NP
allotting,VBG
alan,NP
al,NP
aleck,NN
alas,UH
alexander's,NP$
alliance,NN-TL
allusiveness,NN
albums,NNS
aligned,VBN
albanians,NPS
aldridge,NP
alexei,NP
albeit,CS
albumin,NN
almagest,NP-TL
altitude-azimuth-mounted,JJ
all-too-brief,JJ
allotments,NNS-TL
alia,FW-NNS
align,VB
alerted,VBD
allstates,NPS
alcoholism,NN
alix,NP
aloofness,NN
alvise,NP
allure,NN
alva,NP
allison's,NP$
albright,NP
algol,NP-TL
alienus,NP-TL
alfonso,NP
alias,NN
alternating,VBG
alcott's,NP$
allemands,FW-JJ-TL
alfredo,NP
all-round,JJ
almost,QL
alongside,RB
all-woman,JJ
alley,NN
allegro,JJ
all-time,JJ
all-automatic,JJ
alike,JJ
allah,NP
allowed,VBN
allen,NP-TL
altruism,NN
alliances,NNS
allege,VB
all-important,JJ
albany,NP-TL
all-knowing,JJ
alokut,NP
algeria,NP
alibi,NN
allegoric,JJ
alcinous',NP$
allergies,NNS
alors,FW-RB
alerts,VBZ
alabamian,NP
also,RB
alienates,VBZ
alai,NP-TL
aldermen,NNS
algorithm,NN
allowable,JJ
alsatian,NP
alienation,NN-NC
alkaline,JJ
all-consuming,JJ
alex's,NP$
allons,FW-VB
altered,VBD
almanac,NN-TL
alger,NP
alton,NP
alain,NP
always-present,JJ
alert,VB
allocation,NN
alusik's,NP$
alkylbenzenesulfonates,NNS
allowing,VBG
aliquots,NNS
all-female,JJ
alpha,NP
alarmed,VBN
alibis,NNS
alwin,NP
alienated,VBN
all-something-or-the-other,JJ
altruistically,RB
alvear,NP
alfresco,NN
allegorical,JJ
alienate,VB
alertly,RB
alarm,NN
alleging,VBG
alumni,NNS
all-college,JJ
alma,JJ
allison,NP
althaus,NP
algebraically,RB
allot,VB
allow,VB
alphabet,NN
aloud,RB
alleviate,VB
alabama,NP
alsatians,NPS
