term,tag
black-market,NN
blot-like,JJ
blockhouse,NN
blended,VBD
block-buster,NN
blanchard,NP
bloodlust,NN
blisters,NNS
blebs,NNS
blanche,NP
blois,NP
bleeker,NP-TL
blooded,VBN
blocked,VBD
blow,NN
blue-eyed,JJ
blake,NP
blueberries,NNS
blouses,NNS
blackbirds,NNS
bludgeon,VB
blacking,NN
blighted,VBD
blue-uniformed,JJ
blauberman,NP
bloc,NN
blaze,NN
blue-eyes,NNS
blackman,NP
blind-folded,VBN
bloops,NNS
blinds,NNS
blood-soaked,JJ
blue-collar,JJ
bliss,NN
blanchard's,NP$
blood-lust,NN
bluestocking,NN
blemishes,NNS
blanket,NN
blood-flow,NN
bluffs,NNS
bleckley,NP
blinking,VBG
bloomfield,NP
blumenthal,NP
blockade,NN
blanching,VBG
blustered,VBD
bleats,NNS
blutwurst,FW-NN
blockages,NNS
blast,NN
blankets,NNS
blistered,VBN
blends,NNS
blueprints,VBZ
blemish,NN
blindfolded,VBN
blushes,NNS
blunderings,NNS
blanched,VBN
bled,VBN
blazing,VBG
bless,VB
blanton,NP
black-balled,VBN
bleached,VBN
black-and-orange,JJ
blackberry,NN
blest,VBN
blood-flecked,JJ
blood-filled,JJ
blared,VBD
blushed,VBD
blackout,NN
blinded,VBN
blew,VBD
bleat,NN
bleeding,VBG
blank,NN
blitz,NN
blackmailer,NN
blurred,VBD
black-body,NN
blacked-in,JJ
blanks,NNS
blood-specked,JJ
bloodshot,JJ
blues,NNS
blaber,NP
blonde,JJ
blue,JJ
black's,NP$
blatz,NP
blacks,NNS
blum,NP
blackstone,NP
bluntly,RB
blinkers,NNS
blackjack,NN
bldg.,NN-TL
black-and-yellow,JJ
bloodstains,NNS
blur,NN
blubber,NN
blundered,VBN
blotting,VBG
bloodspots,NNS
black-haired,JJ
blurry,JJ
blish's,NP$
blondes,NNS
bluebook,NN
blowing,VBG
blaring,VBG
blot-appearance,NN
bloke,NN
blunted,VBN
blouse,NN
blue-draped,JJ
blackmail,NN
blitzes,NNS
blame,VB
blinked,VBD
blot,NN
bleaching,VBG
blazed,VBD
blackest,JJT
bleed,VB
blasted,VBN
blunter,JJR
blister,VB
blizzards,NNS
blazer,NN
blood-thirsty,JJ
bloomed,VBD
bluebush,NN
blabbed,VBD
blimp,NP
blasts,NNS
blood-bought,JJ
blithe,JJ
blessings,NNS
blue-black,JJ
blonde's,NN$
blacksmith,NN
bloodstream,NN
bluster,NN
bloch,NP
block,NN
blind,NN
blackwell,NP
bluish,JJ
bloods,NNS
blizzard,NN
blown,VBN
blumberg,NP
blessed,VBN-TL
bloody,JJ
bleeps,NNS
blasphemies,NNS
bluebonnets,NNS
blasingame,NP
bland,JJ
blows,NNS
blower,NN
blunts,VBZ
blanc,NP
blink,VB
bloodroot,NN
blonde-haired,JJ
blood-kinship,NN
blackmer,NP
blossom,NN
blackfeet,NPS
blanketed,VBN
bloodhounds,NNS
bluebird,NP
blenheim,NP
blasphemy,NN
blaustein,NP
blatant,JJ
bluffing,VBG
blossoms,NNS
bleakly,RB
black,JJ
blueberry,NN
bloodshed,NN
blueprint,NN
bluing,NN
blackening,NN
blazon,VB
blurted,VBN
blackwell's,NP+BEZ
blessing,NN
blood-chilling,JJ
blaming,VBG
black-clad,JJ
blissfully,RB
blindly,RB
blatancy,NN
blindness,NN
blown-up,JJ
blocking,VBG
blockading,VBG
blithely,RB
blowfish,NNS
blume,NP
bloat,NN
bloated,VBN
blade,NN
blue-green,JJ
black-bearded,JJ
black-eyed,JJ
blooming,VBG
blatz's,NP$
blasphemed,VBD
blevins,NP
blackened,VBN
blastdown,NN
black-crowned,JJ
bloodiest,JJT
bleacher-type,JJ
blips,NNS
bloodstained,JJ
blots,VBZ
blossomed,VBD
blaine,NP
blond,JJ
blevins',NP$
blissful,JJ
bloodless,JJ
blackwells,NPS
blonde-headed,JJ
blasphemous,JJ
blanche's,NP$
bleachers,NNS
blood-stained,JJ
blob,NN
blomdahl,NP
blackness,NN
blight,NN
bleary,JJ
blinding,VBG
blunt,JJ
blakey,NP
blooms,NNS
blades,NNS
blustery,JJ
blacked,VBN
blending,VBG
blunders,NNS
blocks,NNS
blowers,NNS
blackboard,NN
blasting,VBG
blair,NP-TL
blocky,JJ
blandly,RB
bluntness,NN
blotted,VBN
blokes,NNS
blackmailed,VBN
blood,NN
bluff,NN
bluthenzweig,NP
bloom,NN
blamed,VBD
bleak,JJ
bluefish,NNS
blush,VB
blushing,VBG
bleating,VBG
blyth,NP-TL
blunder,NN
blandness,NN
black-tipped,JJ
bleedings,NNS
blend,NN
blowup,NN
blvd.,NN-TL
