term,tag
byron's,NP$
byzas,NP
byer-rolnick,NP-TL
byron,NP
byrnes,NP
byronism,NP
by-word,NN
bylot,NP
byrd's,NP$
byline,NN
by-roads,NNS
by-passing,JJ
by-products,NNS
by-laws,NNS
byrd,NP
byinge,NN
by-gone,JJ
bypass,VB
by-the-sea,NP
bye,UH
byzantine,JJ
byword,NN
by-passed,VBN
byzantium,NP
byproducts,NNS
bystrzyca,NP-TL
by-pass,NN
by,IN
by-passes,VBZ
by-product,NN
by-ways,NNS
bygone,JJ
bystander,NN
bypassed,VBD
byproduct,NN
byronic,JJ
