term,tag
clobber,VB
clod,NN
clergyman's,NN$
clean-up,NN
clothesbrush,NN
clamoring,VBG
claimant,NN
clauses,NNS
clings,VBZ
closeness,NN
click,NN
clear-headed,JJ
clot,NN
clerks,NNS
clinic,NN
clocks,NNS
clotted,VBN
claret,JJ
clerfayt,NP
classmate,NN
clarinet,NN
clamped,VBD
clapped,VBD
clambering,VBG
clipper,NP-TL
cliffhanging,VBG
clicked,VBD
clarification,NN
clashed,VBD
claude,NP
clothesline,NN
clanged,VBD
clashes,NNS
clyde,NP
clothier,NN
clumps,NNS
clipped,VBD
clerking,VBG
clusters,NNS
clamor,VB
clamping,VBG
clawing,VBG
clouded,VBN
clefts,NNS
clutches,NNS
clairaudiently,RB
clubbed,VBN
clifton,NP
clemence,NP
class-d,NP
clang,NN
clannishness,NN
closeup,JJ
closely,RB
clench,VB
clustered,VBD
classifications,NNS
clemens,NP
clement,NP
clothbound,JJ
clan,NN
cleanly,RB
clam,NN
clouds,NNS
cleanups,NNS
clothed,VBN
cleaners,NNS
clientele,NN
classified,VBN
clonic,JJ
clov,NP
clown,NN
clays,NNS
classless,JJ
cleanth,NP
clowns,NNS
clay,NN-TL
cleavage,NN
claw,NN
cliffs,NNS
closed-circuit,JJ
clinched,VBD
clap,NN
clothes,NNS
clients,NNS
climactic,JJ
classical,JJ
claws,NNS
clarified,VBN
clinch,VB
cleric,NN
claudio,NP
clutched,VBD
clucks,NNS
clubs,NNS
clay-mining,NN
clawed,VBN
cloudy,JJ
cleveland,NP
cleverly,RB
close,VB
climes,NNS
clothe,VB
closer,RBR
closes,VBZ
clockwise,RB
classiest,JJT
clash,NN
closet,NN
clock,NN
clearing,VBG
clocked,VBN
claudia's,NP$
clean-shaven,JJ
clinics,NNS
cloudless,JJ
closed,VBD
clurman,NP
claustrophobia,NN
clamps,NNS
clean-top,JJ
cleansed,VBD
clodhoppers,NNS
cloves,NNS
close-in,JJ
classification,NN-HL
clarence,NP
cliques,NNS
climbs,NNS
clerk,NN
clayton,NP
clues,NNS
clods,NNS
clergyman,NN
climate,NN
cloth-of-gold,NN
clad,VBN
clarify,VB
clemens',NP$
clerk's,NN$
climbed,VBD
cleans,VBZ
clinches,NNS
closely-packed,JJ
cliche,NN
clattery,JJ
clasping,VBG
climb,VB
classics,NNS
clump,NN
clayton's,NP$
clubhouse,NN-TL
class-biased,JJ
clotheshorse,NN
clinton,NP
clark,NP
cleaner,NN
clare,NP
clause,NN
clapping,VBG
clique,NN
clara,NP
clout,NN
cloak,NN
clumsy,JJ
clams,NNS
clambered,VBD
clogged,VBD
clamorous,JJ
cloture,NN
clarity,NN
clutching,VBG
cloud,NN
clifford,NP
clustering,NN
clanking,VBG
closeted,VBN
clown's,NN$
clocking,NN
classification-angle,NN
clamshell,NN
clogging,VBG
cloddishness,NN
clyfford,NP
classically,RB
cloudcroft,NP
clinical,JJ
clamored,VBD
cleota's,NP$
closed-door,JJ
clever,JJ
club,NN
cluck,NN
clemenceau,NP
claus,NP
cloudburst,NN
clue,NN
cloth,NN
clarke's,NP$
cluttered,VBN
clairvoyant,JJ
clannish,JJ
clumsily,RB
classifiers,NNS
cliburn,NP
clung,VBD
clarifying,VBG
clockwork,NN
clattering,VBG
classed,VBN
clairvoyance,NN
cluster,NN
clarets,NNS
clients',NNS$
classificatory,JJ
clips,NNS
client-service,NN
clincher,NN
classes,NNS
clark's,NP$
clergy,NNS
closets,NNS
closing,VBG
club's,NN$
clerical-lay,JJ
clobbers,VBZ
claim,NN
classrooms,NNS
claps,NNS
clubrooms,NNS
clip,NN
classic,JJ
cleat,NN
climax,NN
claimants,NNS
clotheslines,NNS
clippings,NNS
clomped,VBD
climates,NNS
clinging,VBG
clear-channel,JJ
cleaned,VBN
claimed,VBD
cleverness,NN
clothing,NN
clearly,RB
clair,NP
clucked,VBD
clove,NN
clerical,JJ
clint,NP
closure,NN
clutch,NN
cliches,NNS
class',NN$-TL
clarke,NP
clinked,VBD
claiming,VBG
claire,NP
cleansing,VBG
clicking,NN
clearwater,NP
clucking,VBG
clobbered,VBD
cling,VB
clammy,JJ
cloying,VBG
cleft,VBN
cladding,VBG
clarifies,VBZ
claude's,NP$
clicks,VBZ
classify,VB
clearness,NN
clamors,VBZ
classifying,VBG
closeups,NNS
classmates,NNS
clattered,VBD
closest,JJT
clear-cut,JJ
clostridium,NP
clemency,NN
clearer,JJR
cleaved,VBN
clog,VB
climaxes,NNS
client's,NN$
clericis,FW-NNS-TL
cleaning,VBG
clenches,VBZ
clatter,NN
climbing,VBG
cleared,VBD
class,NN
cliff,NN
classroom,NN
close-up,NN
clemente,NP
clinically,RB
classicist,NP
clergymen,NNS
cloisters,NNS
clear,JJ
clive,NP
clowning,NN
clenched,VBN
climaxed,VBD
cloakrooms,NNS
client,NN
clinico-pathologic,JJ-TL
clements,NP
clean,VB
clandestine,JJ
clears,VBZ
claims,NNS
clover,NN
clearance,NN
cleva,NP
cleburne's,NP$
clasped,VBD
