term,tag
crumpled,VBN
creek-turn,NP
crowing,NN
crofters,NNS
crocodile,NN
cross-top,NN
crooned,VBD
cracker-box,NN
crises,NNS
crates,NNS
crozier,NP
cradle,NN-TL
crimson,JJ
crest,NN
cruising,VBG
cross-fertilized,VBN
crestfallen,JJ
cremate,VB
crowed,VBD
crops,NNS
crosby's,NP$
crow,NP
crop,NN
crook,NN
crave,VB
crisply,RB
crescent,NN-TL
crystallography,NN-TL
crests,NNS
creatures,NNS
cristo,NP-TL
crackpot,NN
crust,NN
crush,NN
crossed,VBN
crackling,NN
cranston,NP
crunch,NN
crouch,NP
cross-striations,NNS
crackpots,NNS
crippled,VBN
criminality,NN
creeps,VBZ
creepy,JJ
credit,NN
crumbled,VBN
crystallize,VB
criticism,NN
crusading,VBG
crosby,NP
crater,NN
crisis,NN
cross-purposes,NNS
crammed,VBN
criminals,NNS
crap,NN
cretaceous,NP-TL
creamy,JJ
creon,NP
criteria,NNS
creston's,NP$
creams,NNS
credulity,NN
crumley,NP
crested,JJ
crockett,NP
cremated,VBN
crosses,NNS
crocked,VBN
crickets,NNS
criticizing,VBG
crackers,NNS
crazy,JJ
critic,NN
cross-section,NN
cross-licensing,JJ
cryostat,NN
crystallized,VBN
craze,NN
cross-eyed,JJ
criterion,NN
creature,NN
crowding,VBG
crashes,NNS
crasher,NN
critics,NNS
crashed,VBD
criticize,VB
crepe,NN
crowded,VBN
critic's,NN$-TL
crippling,VBG
criss-crossed,VBN
crowder,NP
crazed,VBN
crept,VBD
crawling,VBG
craggy,JJ
crafty,JJ
cross-fertilization,NN
creativity-oriented,JJ
crowbait,NN
credulousness,NN
cruise,NP
crew,NN
creations,NNS
craftsman's,NN$
criminal,NN
crowds,NNS
crawls,NNS
crash,VB
creedal,JJ
crystallographers,NNS
crass,JJ
crispness,NN
croupier,NN
crushers,NNS
cratered,VBN
crossing,VBG
cropping,VBG
cross-examination,NN
crushing,VBG
critters,NNS
croydon,NP-TL
crimea,NP
croaking,NN
crotchety,JJ
crip,NP
crisis-oriented,JJ
crucial,JJ
cromwell,NP
creole,NP
crouched,VBD
cross-cultural,JJ
crowned,VBN
craving,VBG
creston,NP
created,VBD
creates,VBZ
crystallographic,JJ
crosson's,NP$
crib,NN
crooning,VBG
creche,NN
cris,NP
crossings,NNS
cradles,NNS
critter,NN
crunched,VBD
crisscrossed,VBN
crews,NNS
crevice,NN
crosswise,RB
crawl,VB
cracks,NNS
critically,RB
cruelly,RB
crocketed,JJ
cradled,VBD
crossroads,NNS
creditors,NNS
craig,NP
crossover,NN
creased,VBN
crombie's,NP$
cranes,NNS-TL
crinkles,NNS
cropped,VBN
critical-intellectual,JJ
creatively,RB
cross-legged,JJ
crosbys,NPS
crew's,NN$
crafts,NNS
crossroading,VBG
cracking,VBG
crochet,VB
creditable,JJ
crazing,VBG
crudities,NNS
cross-writing,NN
crisis-to-crisis,JJ
crosson,NP
creativeness,NN
creeks,NNS
cromwellian,JJ
crankshaft,NN
cromwell's,NP$
croix,NP
cruiser,NN
cruises,NNS
crate,NN
crashing,VBG
creamed,VBN
cried,VBN
credited,VBN
crossways,RB
cripple,NN
crime,NN
creamer,NN
credulous,JJ
crumbling,VBG
crudity,NN
cranky,JJ
criticized,VBN
crabs,NNS
crucifying,VBG
cry,VB
craftsmanship,NN
crucifixion,NN
cramp,NN
creator,NN-TL
crewmen,NNS
crackle,NN
crayons,NNS
crypt,NN
crackles,VBZ
crispin,NP
crooked,JJ
crude,JJ
crosswalk,NN
croakin,VBG
credo,NN
creating,VBG
crucified,VBN
craters,NNS
cryptic,JJ
crafter,NN
cross-sectional,JJ
creeds,NNS
cr,NN
crystalline,JJ
cramps,NNS
create,VB
creativity,NN
creek-filled,JJ
crawford,NP-TL
crannies,NNS
craddock,NP
crombie,NP
cruelty,NN
craft,NN
creases,NNS
crumb,NP
crupper,NN
crutch,NN
crump,NP
cracked,VBD
croaked,VBD
crusades,NNS-TL
crusader,NN
crowning,VBG
crassness,NN
crystals,NNS
crusaders,NNS-TL
creaks,VBZ
crawlspace,NN
cross,VB
crevices,NNS
crucible,NN-TL
craved,VBD
craven,NP
crabapple,NN
crimean,JJ
creeper,NN
creators,NNS
crewel,NN
crossbars,NNS
crystallites,NNS
crackled,VBD
cries,NNS
craft-industrial,JJ
crane's,NP$
crimsoning,VBG
crusher,NN
cr--spe,NP-TL
crittenden,NP
cranberries,NNS
crying,VBG
crack,VB
cruisers,NNS
cramer,NP
criticality,NN-HL
crushed,VBN
crux,NN
cruz,NP
credentials,NNS
crus,FW-NNS
cranelike,JJ
crisp,JJ
crawled,VBD
cronies,NNS
creighton,NP
crudest,JJT
crescendo,NN
creek,NN
crowd,NN
crabbed,JJ
creed,NN-TL
creation,NN
crown,NN
crows,NPS
critique,NN
crudely,RB
creep,VB
cruelest,JJT
creative,JJ
critical,JJ
crumlish,NP
crooks,NNS
cringing,VBG
credits,VBZ
crone,NN
creaking,VBG
creepers,UH-TL
crucifix,NN
craftsman,NN
crassest,JJT
croak,NN
credible,JJ
critics',NNS$
crewcut,NN
crags,NNS
croaks,NNS
credibly,RB
crazy-wonderful,JJ
crazily,RB
criticisms,NNS
criss-crossing,NN
creamery,NN-TL
crystallization,NN
creaked,VBD
crucially,RB
crossman,NP
craig's,NP$
cricket,NP
crimes,NNS
crank,NN
crystallite,NN
crane,VB
criss-cross,JJ
crystal,NN
cruel,JJ
creeping,VBG
crouchin',VBG
cringed,VBD
crumble,VB
crouch's,NP$
crusade,NN
crumbly,JJ
creak,NN
cream,NN
crutches,NNS
credibility,NN
crowns,NNS
crummy,JJ
crouching,VBG
crystallizing,VBG
cryptographic,JJ
cribs,NNS
crease,NN
craftsmen,NNS
