term,tag
drunken,VBN
drastically,RB
dressings,NNS
dreamed,VBN
droppings,NNS
drumlin,NN
drab-haired,JJ
drahve,VB
drawings,NNS
drawbridge,NN
drunker,JJR
dreamer,NN
draw-file,VB
dreadful,JJ
drive-in,NN-TL
drunkard's,NN$-TL
drunkards,NNS
dramatize,VB
drooped,VBD
dross,NN
drummer,NN
dreadfully,RB
dressing,VBG
dreaded,VBD
dramatically,RB
drugstores,NNS
drama-filled,JJ
drafters,NNS
dreisers,NPS
drexel's,NP$
driftin,VBG
drought-seared,JJ
dreiser's,NP$
drowsing,VBG
driver's,NN$
dry-dock,NN
dryer,NN
dreamy,JJ
drilling,VBG
drunkard,NN
draughty,JJ
dreamt,VBD
drinking,VBG
dreams,NNS
dreamin,VBG
drunk-and-disorderlies,NNS
draws,VBZ
drugless,JJ
drummers,NNS
drivers',NNS$
drugged,VBN
dramas,NNS
drop,VB
drake,NP
drone,NN
dryly,RB
drapery,NN
dramatical,JJ
drainage,NN
drowsed,VBD
drizzly,JJ
dries,VBZ
drier,JJR
drafted,VBN
dreariness,NN
dreamboat,NP
dreaming,VBG
drive-yourself,JJ
driveway,NN
dragon,NN
dragonetti,NP
dripped,VBD
drizzle,NN
drinks,VBZ
drunkenly,RB
drinkhouse,NP
driving,VBG
drenched,VBN
drawling,VBG
dramatics,NN
droughts,NNS
droves,NNS
drooping,VBG
drawn-out,JJ
dr.,NN-TL
drawn,VBN
drib-drool,NN
drawl,NN
drewe,VBD
draftee,NN
drury,NP-TL
dresbachs',NPS$
drifting,VBG
driver,NN
dream-torkin,NP
drew,VBD
druid,NP
dramatization,NN
drs.,NNS-TL
drudgery,NN
dreamless,JJ
dreamlessly,RB
drums,NNS
dramatist,NN
dred,NP
drowsy,JJ
dry,VB
dragnet,NN-TL
drowning,VBG
drumming,VBG
drum,NN
dream-ridden,JJ
drank,VBD
dried-out,JJ
drawn-back,JJ
drug,NN
drama,NN
drawers,NNS
drapes,NNS
druggan-lake,NP
dream-sweetmite,NP
drunks,NNS
drawing-room,NN
drawer,NN
drdw,NN
drunk,VBD
drown,VB
drummer's,NN$
dryfoos,NP
dronk,NP
drowned,VBN
drilled,VBN
drinker,NN
drifted,VBN
drove,VBD
dresbach's,NP$
dream-next,NP
droop,VB
drawing-rooms,NNS
driftin',VBG
drafting,VBG
dribbled,VBD
dropping,VBG
draft,NN
dryfoos',NP$
drones,NNS
dreiser,NP
drugstore,NN
drawled,VBD
draco,NP
dramatizing,VBG
draper,NN
drains,NNS
drugs,NNS
droplets,NNS
dreary,JJ
dripping,VBG
draped,VBN
dramatic,JJ
drunkenness,NN
draughts,NNS
dronk's,NP$
dream-way,NP
dragons,NNS
dropouts,NNS
drinkers,NNS
driers,NNS
drawin',VBG
dresbachs,NPS
dry-gulchin',NN
drills,NNS
driveways,NNS
dromozoa,NNS
dressy,JJ
drill,VB
drugging,VBG
dream-lusty,NP
drops,NNS
drywall,NN
druncke,VBD
dried,VBD
dregs,NNS
dryin',VBG
drovers,NNS
drips,VBZ
drip,NN
drop-block,NN
draining,VBG
dream-miss,NP
dropped,VBD
dragooned,VBD
dromozootic,JJ
dragging,VBG
dress,NN
dryness,NN
dry-eyed,JJ
drummed,VBD
drafts,NNS
dreamlike,JJ
dressed,VBD
drivers,NNS
drying,VBG
drafty,JJ
drouth,NN
druther,RB
drawback,NN
drapers,NNS
dreadnought,NP
dresbach,NP
draftees,NNS
dresses,NNS
dresser,NN
draw,VB
dramatists,NNS
draught,NN
drizzling,VBG
drink,NN
drift,VB
drives,VBZ
driven,VBN
drag,VB
drip-,NN-HL
drab,JJ
dram,NN
drastic,JJ
drought,NN
dried-up,JJ
draperies,NNS
dramatizes,VBZ
drain,NN
drained,VBD
dragger,NN
dragoslav,NP
drive,VB
drifts,NNS
drawing,VBG
dressers,NNS
dread,NN
drowns,VBZ
drexel,NP-TL
drowsily,RB
dream,NN
dragged,VBN
drug's,NN$-HL
