term,tag
dumas,NP
duffers,NNS
durin',IN
dumbbell,NN
dueling,VBG
dufresne's,NP$
duplicated,VBN
dust-thick,JJ
duffer,NN
duncan,NP
duplex,JJ
dulcet,JJ
dull,JJ
duct,NN
ductwork,NN
dussa,NP
dully,RB
duffel,NN
durwood,NP
dullness,NN
dulls,VBZ
duren,NP
dutchess,NP-TL
dundeen,NP
during,IN
du,NP
durer,NP
duffy,NP
durocher,NP
dulled,VBN
dummkopf,FW-NN
dusseldorf,NP
dupont,NP
dumps,NNS
duyvil,NP
dusky,JJ
ducking,VBG
duller,JJR
dulles,NP
dualities,NNS
dump,VB
durability,NN
dustbin,NN
dumping,NN
dual-ladder,JJ
duchess,NN-TL
durkin,NP
dumb,JJ
duration,NN
dunlop,NP
dungeon,NN
dunbar,NP
dusted,VBN
dunes,NNS
dudley,NP
dugout,NN
dutch,JJ-TL
dummies,NNS
dunk,VB
dunn,NP
dung,NN
dune,NN
duane,NP
dumont,NP
durkheim,NP
dualism,NN
duces,FW-VB
dusts,NNS
dunne,NP
dubbed,VBN
dublin,NP
dutton,NP-TL
duds'd,NNS+MD
duty,NN
duke,NN-TL
duplicable,JJ
dusty-green,JJ
dubois,NP
dual-road-up,JJ
durante,NP
dust,NN
dumbbells,NNS
dutchman,NP-TL
duck,VB
dubovskoi,NP
dufresne,NP
dun,NN
durable,JJ
dusting,VBG
dud,NN
due,JJ
duf,NN
dug,VBD
duplicate,JJ
dust-swirling,JJ
duds,NNS
duties,NNS
dunston,NP
duly,RB
duponts,NPS
duke's,NN$
dukes,NNS-TL
duped,VBN
duhagon,NP
duel,NN-TL
dustin',VBG
dusty,JJ
duress,NN
dunn-atherton,NP
duet,NN
dutifully,RB
dugan,NP
duverger,NP
dumped,VBN
duets,NNS
dubious,JJ
ducks,NNS
dusty-slippered,JJ
dual,JJ
dunn's,NP$
dubin,NP
duvol,NP
dull-gray,JJ
dumpty,NP
duque,NP
dual-channel,JJ
ducked,VBD
dunkirk,NP
duels,NNS
dusk,NN
durations,NNS
duclos,NP
durrell's,NP$
dunkel,NP
durlach,NP
dullest,JJT
dulles's,NP$
dummy,JJ
ducts,NNS
dust-settling,JJ
duplication,NN
