term,tag
equally,RB
equinox,NP-TL
equator,NN
equip,VB
equines,NNS
equalizing,NN
equating,NN
equanimity,NN
equidistantly,RB
equivalence,NN
equ,NN
eqns.,NNS
equipment,NN
equate,VB
eqn.,NN
equity,NN
equivalents,NNS
equated,VBD
equilibrium,NN
equitably,RB
equivocal,JJ
equatorial,JJ
equivalent,NN
equipped,VBN
equals,NNS
equipotent,JJ
equipping,NN
equidistant,JJ
equitable,JJ
equations,NNS
equivalent-choice,NN
equalizers,NNS
equilibriums,NNS
equality,NN
equine,NN
equalled,VBN
equation,NN
equalization,NN
equal,JJ
equalize,VB
eq.,NN-TL
equilibrated,VBN
