term,tag
erasing,VBG
erupting,VBG
erroneous,JJ
err,VB
erudite,JJ
erected,VBN
erikson's,NP$
erlenmeyer,NP
erotic,JJ
erase,VB
ernest,NP
erik,NP
erupts,VBZ
errs,VBZ-HL
erratically,RB
erie,NP
erudition,NN
eric,NP
eros,NP-TL
erased,VBN
erdmann's,NP$
errors,NNS
erroneously,RB
errand,NN
eradication,NN
erskine,NP
erecting,VBG
erect,JJ
erects,VBZ
erupted,VBD
erosion,NN
ervin,NP
erhart,NP
eraser,NN
ersatz,FW-NN
eruption,NN
ergotropic,JJ
erotically,RB
eromonga,NP
era's,NN$
erickson,NP
erotica,NNS
erasers,NNS
ernie's,NP$
eroded,VBD
erdos,NP
erection,NN
erikson,NP
ernie,NP
erich,NP
erysipelas,NN
eras,NNS
errol,NP
erasmus's,NP$
erythroid,JJ
erwin,NP
ere,CS
erupt,VB
era,NN
error,NN
erde,FW-NN-TL
ernst,NP
erred,VBN
erratic,JJ
eradicate,VB
