term,tag
everlastingly,RB
evolutionary,JJ
ever-changing,JJ
ever',AT
evaporation,NN
evicted,VBN
every-day,JJ
evaluative,JJ
everyone's,PN$
evzone,NP
eventfully,RB
evidences,NNS
even-handed,JJ
evidenced,VBN
eventually,RB
evening,NN
evaluate,VB
eventshah-leh,RB-NC
evaded,VBD
every,AT
evolution,NN
eventualities,NNS
evaluation,NN
eve,NN
evade,VB
evades,VBZ
eva,NN-NC
everything's,PN+BEZ
evidencing,VBG
everyone,PN
evolutionists,NNS
evangelist,NN
ever-lovin',JJ
ever-tightening,JJ
event,NN
even,RB
evokes,VBZ
evaporative,JJ
ever-expanding,JJ
everything,PN
evoked,VBN
evacuation,NN
everlasting,JJ
ever,RB
evangelists,NNS
evolving,VBG
evolved,VBD
evensong,NN
eventuate,VB
evaporate,VB
evidential,JJ
eventuality,NN
evading,VBG
evoke,VB
evegeni,NP
evening's,NN$
evans,NP
ever-growing,JJ
evocation,NN
evanston,NP
everybody,PN
evermounting,JJ
ever-increasing,JJ
evoking,VBG
evansville,NP-HL
evacuated,VBN
evadna,NP
evacuate,VB
everglades,NNS-TL
everywhere,RB
ever'body,PN
evasions,NNS
everest,NP-TL
ever-existent,JJ
evinced,VBN
evangelical,JJ
evolves,VBZ
evident,JJ
evaluated,VBN
evaluating,VBG
evaporated,VBD
evenutally,RB
evensen,NP
evelyn,NP
evidence,NN
evocative,JJ
evidently,RB
eventual,JJ
evils,NNS
eventshahleh,RB
everybody's,PN$
everyday,JJ
evasive,JJ
evenings,NNS
evildoers,NNS
events,NNS
ever-present,JJ
evergreen,JJ-TL
evolve,VB
evangelicalism,NP
everett,NP
evil,NN
evaluations,NNS
evangelism,NN
evasion,NN
evocations,NNS
evenly,RB
