term,tag
fungal,JJ
furnished,VBN
furthering,VBG
futhermore,RB
furnishes,VBZ
fund-raising,NN
fullness,NN
functioned,VBN
fusing,VBG
fumed-oak,NN
functionally,RB
fulke,NP
fun-loving,JJ
future-time,JJ
fugual,JJ
fuel,NN
fumbled,VBD
furrows,NNS
fudo's,NP$
furloughed,VBN
furnaces,NNS-TL
fuji,NP
fullbacking,NN
fusion,NN
funneled,VBD
fullest,JJT
furniture,NN
furrowed,VBD
fully,RB
full-bodied,JJ
fulfilling,VBG
fuzz,NN
full-scale,JJ
fulminating,VBG
furtive,JJ
full-sisters,NNS
full-of-the-moon,NN
furnace's,NN$
future-day,JJ
full-grown,JJ
fussing,VBG
fueloil,NN
further,RBR
functioning,VBG
furbishing,VBG
funding,VBG
fundamentally,RB
furthermore,RB
full-dress,NN
fulbright,NP
fucks,NNS
fusty,JJ
future,JJ
funnels,NNS
funston,NP
full,JJ
funeral,NN
fugitive,NN
fuhrmann,NP-TL
furlongs,NNS
fused,VBD
fudomae,NP
full-time,JJ
fulminate,VB
fucken,VBG
fulfilled,VBN
fudo,NP
fungicides,NNS
fumed,VBD
fulfills,VBZ
fussily,RB
functional,JJ
furthered,VBN
fumes,NNS
fund-raiser,NN
furnishing,NN
fuselage,NN
full-sized,JJ
fur-piece,NN
furtively,RB
fuller,JJR
furies,NPS
futility,NN
fuchsia,NN
fuses,NNS
fumble,NN
fund-raisers,NNS
full-banded,JJ
futotsu,NP
fund's,NN$
futile,JJ
function,NN
funnel,NN
fun-filled,JJ
fundamentals,NNS
funds,NNS
fuhrer,NP
furhmann's,NP$
fund,NN
furor,NN
fuzzy,JJ
funk,NP
furrow,NN
fur,NN
furnishings,NNS
fuchs,NP
funari,NP
full-blown,JJ
full-fledged,JJ
fun,NN
fulfill,VB
full-clad,JJ
fulton,NP
fundamentalist,JJ
furs,NNS
fujimoto,NP
fury,NN
fuck,VB
full-year,JJ
fulfillment,NN
fumbling,VBG
fuhrmann's,NP$
fundamentalism,NN
funny,JJ
functions,NNS
fuming,VBG
furled,VBD
fullback,NN
furiouser,JJR
furnace,NN
functionalism,NN
fuels,VBZ
furiously,RB
fuss,NN
fusiform,JJ
fuzzed,JJ
fungus,NN
fueled,VBD
fusillades,NNS
fuse,NN
funerals,NNS
fumio's,NP$
funnier,JJR
furlough,NN
funeral-accessories,NNS
funniest,JJT
fugitives,NNS
fundamental,JJ
furious,JJ
functionary,NN
furnish,VB
fussy,JJ
