term,tag
glycols,NNS
glinted,VBD
glendora,NP
global,JJ
glum,NN
glottochronology,NN
glue,NN
glen,NN
glimpse,NN
glide,VB
glycerine,NN
glee,NN
glittered,VBD
glisten,NN
glanced,VBD
glees,NNS
glorify,VB-NC
glazes,NNS
glazer,NP
gloomy,JJ
glazed,VBN
glutted,VBN
gloom,NN
glazing,VBG
glorified,VBN
gluttons,NNS
glazer-fine,NP
glossed,VBN
gloves,NNS
glover,NN
glass-fiber,NN
glendale,NP
glycol,NN
glued,VBN
glasses,NNS
gleamed,VBD
glassy,JJ
glare,NN
glycerinated,VBN
globe,NN
gladness,NN
glinting,VBG
glove,NN
glass-bottom,NN
gladiator,NN
glamorize,VB
glistening,VBG
gliders,NNS
globe-democrat,NP
glaze,NN
glimco,NP
glaciers,NNS
gladden,NP
gladden's,NP$
glasgow,NP-TL
glances,NNS
glows,VBZ
glamor,NN
glycerol,NN
glorification,NN
glaucoma,NN
globetrotter,NN
glissade,NN
glottochronological,JJ
gleeful,JJ
globulins,NNS
glowering,VBG
globe-girdling,JJ
glorious,JJ
gloucester,NP
glories,NNS
gladius,FW-NN
glumly,RB
glenn,NP
glutinous,JJ
glanders,NNS
gleaming,VBG
glayre,NP
globes,NNS
glance,NN
gleaned,VBN
glitter,NN
glassless,JJ
glowered,VBD
glistened,VBD
glee-club,NN
gleam,NN
glean,VB
gloss,NN
glimmering,VBG
glommed,VBD
glimco's,NP$
glorying,VBG
globulin,NN
glide-bombed,VBD
glimmer,NN
glib,JJ
gladdy,NP
gloved,VBN
gleefully,RB
glandular,JJ
gloats,VBZ
glacier-like,JJ
glamour,NN
glycerin,NN
glocester,NP
glendora's,NP$
gladly,RB
glides,VBZ
glad,JJ
glamorous,JJ
glory,NN
gland,NN
glossary,NN
glorifies,VBZ
glossy,JJ
gloated,VBD
glaringly,RB
glottal,JJ
gloria,NP
glenda,NP
globigii,NP
globocnik,NP
glutamic,JJ
globally,RB
glison,NP
glennon,NP
gloomily,RB
glibly,RB
glared,VBD
glacier,NN
glint,NN
glowing,VBG
glob-flakes,NNS
glaring,VBG
globocnik's,NP$
gleason,NP-TL
glimpsed,VBN
glycerolized,VBN
glands,NNS
glass-like,JJ
glomerular,JJ
glimpses,NNS
gloriously,RB
glow,NN
glycosides,NNS
gloriana,NP
glass,NN
gladdy's,NP$
glancing,VBG
glided,VBD
glittering,VBG
glowed,VBD
