term,tag
gurkhas,NPS
gully,NN
gumption,NN
guided,VBN
guilford-martin,NP
guaranteed-neutral,JJ
guard-room,NN
gunman,NN
guzzled,VBD
guides,NNS-HL
gunslinger,NN
gulf,NN-TL
guidance,NN
guts,NNS
guaranteed,VBN
guiltiness,NN
gulp,NN
guarantees,NNS
gute,FW-JJ
gun-shot,NN
gustav,NP
guarded,VBN
gulped,VBD
guthrie,NP
guilford,NP
guiftes,NNS
guatemala,NP
guttman-type,JJ
guide,VB
guanidine,NN
gurion,NP
gun-slinging,JJ
guignol,NP-TL
gust,NN
guileless,JJ
guerin,NP
gum,NN
gus,NP
gun's,NP$
guttered,VBD
guthrie's,NP$
gush,NN
guiding,VBG
gut,NN
gut-flattening,JJ
guy,NN
gutzon,NP
guessing,VBG
guevara,NP
gusher,NN
guiana,NP-TL
guidelines,NNS
gun,NN
gunny,NP
gunnar,NP
guardhouse,NN
gutters,NNS
gullible,JJ
gunk,NN
guinea,NN
gutted,VBD
gubernatorial,JJ
guillaume,NP
guns,NNS
gunplay,NN
guitars,NNS
guardian,NN
guardia,NP-TL
guerrilla-th'-wisp,JJ
guitar,NN
guffaws,NNS
guide's,NN$
gum-chewing,JJ
guglielmo,NP
gullah,NP
guilty,JJ
gusto,NN
guideposts',NNS$-TL
gums,NNS
gusts,NNS
gulf's,NN$-TL
guardians,NNS
gusty,JJ
guerrilla,NN
gunfights,NNS
gushed,VBD
guardino's,NP+HVZ
gull,NN
guam,NP
gunther,NP
gustavus,NP
guard,VB
guzzle,VB
guar,NN
guests,NNS
guidebook,NN
gunmen,NNS
gurgle,NN
guaranty,NN
guess,VB
guest,NN
gunflint,NN
gulliver's,NP$
gursel,NP
gummy,JJ
gunners,NNS
guerrillas,NNS
guerilla,NN
gunpowder,NN
guild,NN
guile,NN
guards,NNS
guilt,NN
guimet,NP-TL
guise,NN
gullibility,NN
gunfire,NN
guesses,NNS
guggenheim,NP
guideposts,NNS-TL
guarding,VBG
guard's,NN$
guessed,VBN
guardino,NP
guarantee,NN
gun-slinger,NN
gunfighter,NN
guru,NN
guitarist,NN
gustave,NP
gunner,NN
guatemalan,JJ
gullies,NNS
guardini,NP
guttural,JJ
guthman,NP
guises,NNS
guizot,NP
gumming,VBG
gurla,NP
guiltless,JJ
guy's,NN$
guardedness,NN
guests',NNS$
gussets,NNS
guys,NNS
gutter,NN
gullet,NN
gulley,NN
gulps,NNS
gustaf,NP
gunbarrel,NN
gunning,VBG
gulled,VBN
gulling,VBG
guitar-strumming,JJ
