term,tag
humid,JJ
hutchins,NP
hunger,NN
hustled,VBD
hunched-up,JJ
hugging,VBG
hugged,VBD
humaine,FW-JJ
human,NN
hungary,NP
huggins,NP
hungarian-born,JJ
huffman,NP
hustler,NN
huggings,NNS
hundredth,OD
humour,NN
hunting,VBG
hump,NP
hues,NNS
hubbub,NN
hurrays,NP
huey,NP
humanity,NN
hume,NP
hurting,VBG-NC
humanness,NN
hungarian,JJ
hunched,VBN
huhmun,NP
hunter,NN
huddled,VBD
humanely,RB
hunted,VBD
hurling,VBG
huff,NP
huddle,NN
hundred-yen,JJ
hunt,VB
humanism,NN
humidity,NN
huh-uh,UH
humanistic,JJ
hunk,NN
humanist,JJ
hung,VBD
husband,NN
humanly,RB
humpty,NP
humiliation,NN
humorous,JJ
humans,NNS
hurried,VBD
hush,NN
hurriedly,RB
huxley's,NP$
huntington,NP
hubris,NN
hutment,NN
huck,NP
humor,NN
hubermann,NP
hulks,NNS
hushed,VBN
humilation,NN
hurricane,NN
huff's,NP$
husband-wife,JJ
hungary-suez,NP
hundred-odd,CD
huang-ti,NP
hunkerish,JJ
hustle,VB
husky-voiced,JJ
hull,NN
hurrying,VBG
humiliating,JJ
humanists,NNS
huts,NNS
hundreds,NNS
hunter's,NN$
hubie's,NP$
hulk,NN
hummed,VBD
hurts,VBZ
hurtled,VBD
hudson's,NP$
huskiness,NN
hurtling,VBG
hutments,NNS
hutchinson,NP
hurley,NN
hundred-and-eighty-degree,JJ
humphrey,NP
huckster's,NN$
hulking,VBG
hunch,NN
hungrier,JJR
humility,NN
hughes',NP$
hurdle,NN
hubert,NP
humming,NN
hunches,NNS
husbun,NN
hunters,NNS
hudson,NP-TL
hurray,UH-TL
hutton,NP
hubbell,NP
hundred,CD
hurrah,UH-NC
huai,NP
hue,NN
hummocks,NNS
husband-stealer,NN
hurlers,NNS
hum,NN
hun,NP
hugo's,NP$
huh,UH
hurt,NN
hut,NN
hurl,VB
hurry,VB
huxley,NP
hughes,NP
humbled,VBN
humly,NN-NC
humiliated,VBN
humped,VBD
huitotoes,NPS
hubs,NNS
hunts,NNS
huckster,NN
humanitarian,JJ
hutchins',NP$
huskily,RB
huo-shan,NP
hunkered,VBN
hungry,JJ
hug,VB
hunter-killer,NN
humane,JJ
hurok,NP
hundred-and-fifty,CD
huge,JJ
hub,NP
humanities,NNS
hugo,NP
hugh,NP
humanize,VB
hull-first,RB
hubay,NP
huzzahs,NNS
husbandry,NN
hustling,VBG
hurdles,NNS
hultberg,NP
huntingtons,NPS
humbly,RB
huston,NP
husbands,NNS
humorists,NNS
hurdled,VBN
hundred-leaf,JJ
husband's,NN$
humiliatingly,QL
hurler,NN
hubba,UH
humble,JJ
huntley,NP
huddling,VBG
hurled,VBD
hume's,NP$
husky,JJ
hubby,NN
