term,tag
irrigation,NN
irritably,RB
irritable,JJ
irons,NNS
irene,NP-TL
irresolute,JJ
irradiated,VBN
iraqw,NP-TL
irreversible,JJ
irresolution,NN
irrationality,NN
irreducible,JJ
irritant,NN
irregularities,NNS
irreproducibility,NN
irrationally,RB
iroquois,NP-TL
irradiation,NN
irresistibly,RB
irishmen,NPS
irritates,VBZ
irredeemably,QL
irina,NP
irredentism,NN
irregularly,RB
irreconcilable,JJ
irremediable,JJ
irritation,NN
irrigating,VBG
irresistible,JJ
irenaeus',NP$
ireland's,NP$
irrevocably,RB
irony,NN
irv,NP
irrevocable,JJ
ira,NP
iron-poor,JJ
ironed,VBN
ironies,NNS
ire,NN
irresolvable,JJ
iraj,NP
iran,NP
irelands',NPS$
irreverence,NN
irritating,JJ
irregular,JJ
irregulars,NNS
irruptions,NNS
irishman,NP
irresponsible,JJ
iron-shod,JJ
ironical,JJ
ironing,VBG-HL
iron-clad,JJ
iraq,NP
irresponsibility,NN
irrawaddy,NP-TL
ireland,NP
irreversibly,QL
irving,NP
ironside,NP
irenaeus,NP
irrelevant,JJ
irksome,JJ
irvin,NP
irreparably,RB
ironpants,NN-TL
irsac,NN
irate,JJ
irritations,NNS
iridium,NN
irreparable,JJ
iron,NN
irrespective,JJ
irredeemable,JJ
irish,JJ
ironic,JJ
irrigate,VB
irreverent,JJ
irritated,VBN
irritability,NN
ironically,RB
irrational,JJ
irma,NP
irwin,NP
irregularity,NN
