term,tag
isaacs,NP
island's,NN$-TL
ishii,NP
issued,VBD
is,BEZ
islam's,NP$
isaacson,NP
isabel,NP-TL
isodine,NP-TL
ishtar,NP
isothermal,JJ
isles,NNS-TL
issues,NNS
islam,NP
israeli,JJ-TL
islanders,NNS-TL
istanbul,NP
isabell,NP
isolate,VB
isolated,VBN
issuing,VBG
isocyanate-labeled,JJ
isfahan,NP
isaac,NP
istiqlal's,NP$
isomers,NNS
issue,NN
isle,NN
isotonic,JJ
isolating,VBG
israel,NP
islandia,NP
istvan,NP
isolationistic,JJ
isopleths,NNS
isocyanate,NN
islamic,JJ-TL
issuance,NN
istiqlal-sponsored,JJ
isolationism,NN
isaiah,NP
isolde,NP
isotopic,JJ
isothermally,RB
isham,NP
isis,NP-TL
israelites,NPS
island,NN-TL
ist,FW-BEZ
istiqlal,NP
israelite,NP
isotropic,JJ
isolation,NN
islands,NNS
israel's,NP$
isn't,BEZ*
islands',NNS$
