term,tag
jurisdictions,NNS
justinian,NP
just,RB
jurisdiction,NN
judiciously,RB
judgeship,NN
junior's,NN$-TL
jumbled,VBN
judges,NNS
judgments,NNS
justice,NN
justitia,FW-NN
jules,NP
julep,NN
judged,VBD
justices,NNS-TL
judge-made,JJ
julie,NP
juke,NN
jutting,VBG
junction,NN-TL
juniors',NNS$-TL
judiciary,NN
judgement,NN-TL
juleps,NNS
judge,VB
junketeering,VBG
judaism,NP
juet,NP
juxtaposition,NN
juror,NN
judson,NP
jutish,JJ
jurisdictional,JJ
junkerdom,NP
juanita's,NP$
jump,VB
jupiter,NP
juggling,VBG
juliet,NP-TL
junks,VBZ
juniors,NNS-TL
jurisprudence,NN
jumped,VBD
jubilantly,RB
judicious,JJ
justified,VBN
jurist,NN
judith,NP
jumper,NN
jumpy,JJ
justification,NN
jury,NN
junkies,NNS
jurisprudentially,RB
jumps,VBZ
juju,NN
jubal,NP
jure,FW-NN
judea,NP
jubilant,JJ
juiciest,JJT
jungian,JJ
juste,FW-JJ
jungles,NNS
junkers,NPS
juras,NP
julio,NP
jurists,NNS
juries,NNS
justine,NP
julia,NP
juncture,NN
judeo-christian,JJ
judge's,NN$
jurors,NNS
justifying,VBG
judgements,NNS
junctures,NNS
judging,VBG
junior-senior,JJ
justly,RB
jug,NN
judsons,NPS
judges',NNS$
juxtaposed,VBN
jubilation,NN
jury-tampering,NN
july,NP
junior,JJ
julius,NP
judicial,JJ
junior-philosophical,JJ
jude,NP-TL
judy,NP
judiciaries,NNS
juvenile,NN
julian,NP
justness,NN
juicy,JJ
juice,NN
jussel,NP
justifications,NNS
juet's,NP$
jumble,NN
juanita,NP
juan,NP
justifiable,JJ
junta,NN
justifiably,RB
judas,NP
junk,NN
justice's,NN$-TL
junior-grade,JJ
juices,NNS
june,NP
jumping,VBG
judgment,NN
jubal's,NP$
junior-year-abroad,JJ
jungle,NN
juridical,JJ
justify,VB
