term,tag
kingdom-wide,JJ
kimpton,NP
kidnaper,NN
kickoff,NN
kits,NNS
kill,VB
kinetic,JJ
kinsey,NP
kite,NN
kilowatts,NNS
kitti,NP
kindergarten,NN
kimberly,NP
kimono,NN
kizzie,NP
kittenish,JJ
kick,NN
kingdom,NN
kick-up,NN
kills,NNS
kirby,NP
killer,NN
kitty,NP
kiang,NP
killers,NNS
kiss,VB
kitten,NN
killpath's,NP$
kindness,NN
kika,NP
killed,VBN
kindled,VBN
kikuyu,NP
ki-yi-ing,VBG
kilts,NNS
kiowa,NP
kirby's,NP$
kililngsworth,NP
kickbacks,NNS
kiz,NP
killin',VBG
kilowatt,NN
kivu,NP
kinesthetically,RB
killpath,NP
kibbutzim,NNS
kittredge,NP
kid's,NN$
killable,JJ
kilometer,NN
kidnaped,VBN
kidneys,NNS
kirkland,NP
kidnappers,NNS
kitty's,NP+BEZ
kingan,NP-TL
kicked,VBN
killingsworth,NP
kidnapper,NN-TL
kindred,NN
kimbell-diamond,NP
killing,NN
kicking,VBG
kilometers,NNS
kidnapped,VBN
kitchen,NN
kingwood,NP
kids,NNS
kitchenette,NN
kindnesses,NNS
kingdoms,NNS
kiefferm,NP
kimbolton,NP-TL
kitchens,NNS
kick-offs,NNS
kikiyus,NPS
kingsley,NP
kimball,NP
kinesthetic,JJ
kindliness,NN
kinesics,NN
kid-isoletta,NP
kilhour,NP
kimmell,NP
kilowatt-hours,NNS
kings,NNS
kirov,NP-TL
kingstown,NP-TL
kidder,NP
kidding,VBG
kitti's,NP$
kinder,JJR
kingpin,NN
kissin',NN-TL
kilowatt-hour,NN
kittens,NNS
kirkpatrick,NP
kiosk,NN
kindest,JJT
kick-off,NN
kicks,NNS
king,NN-TL
kind,NN
kindly,RB
kissak,NP
kissing,VBG
kissings,NNS
kind's,NN+BEZ
kingston,NP-TL
kisses,NNS
kissed,VBD
kidney,NN
killebrew,NP
king's,NN$
kirk,NP
kitchin,NP
kira,NP
kinsell,NP
kidnapping,VBG
kinds,NNS
kipling's,NP$
kit,NN
kirkwood,NP
kin,MD
kinda,RB
kieffer,NP
kid,NN
kittler,NP
kiwanis,NP
kirov's,NP$
kiloton,NN
kipling,NP
kinship,NN
