term,tag
leftfield,NN
leagues,NNS
least,AP
lescaut,NP-TL
letterman,NN
leigh,NP
less,QL
lewis,NP
leftist,NN
legislature's,NN$
leather-bound,JJ
lengthwise,JJ
lester,NP
leads,VBZ
less-developed,JJ
lettered,VBD
less-than-carload,JJ
leavitt's,NP$
leagued,VBN
lethal,JJ
leaded,JJ
leibowitz,NP-TL
lemme,VB+PPO
leale,NP
lenygon's,NP$
letting,VBG
lear,NP-TL
legged,JJ
le,NP
legitimately,RB
legion,NN
lethargies,NNS
leafy,JJ
lewellyn,NP
leningrad's,NP$-TL
lets,VBZ
legatee,NN
left-hand,NN
lethality,NN
lean-to,NN
lentils,NNS
lesourd,NP
lewelleyn,NP
leering,VBG
lexicostatistic,JJ
legislators,NNS
level-headed,JJ
lehmann,NP
leopard's,NN$-TL
leased,VBN
leisure,NN
letitia,NP
leapfrog,NN
levi-clad,JJ
legitimate,JJ
legendary,JJ
learns,VBZ
leopards,NNS
leases,NNS
learners,NNS
leamington,NP
lettin',VBG
leeds,NP-TL
level,VB
leather,NN-TL
leveled,VBN
leclair,NP
lexington,NP
levee,NN
lewis's,NP$
leave,VB
legume,NN
levers,NNS
lewdly,RB
leaned,VBD
lee's,NP$
leesona,NP
leader's,NN$
less-dramatic,JJ
legions,NNS
leeway,NN
lenin,NP
lemuel,NP
leasing,VBG
leaders,NNS
lecturing,VBG
less-hurried,JJ
letch's,NP$
less-indomitable,JJ
lemonade,NN
lena,NP
leyte,NP
lesser-known,JJ
leeds',NP$
legacy,NN
leslie,NP
leningrad-kirov,NP-TL
legislated,VBN
lester's,NP$
levis,NNS
lexicostatistics,NN
lebensraum,NN
leakage,NN
legislate,VB
leaden,JJ
leather-hard,JJ
leaf,NN
lead,NN
lehman,NP
leak,NN
leaping,VBG
lexical,JJ
lean,JJ
leered,VBD
legal,JJ
leavin',VBG
legato,NN
leap,VB
leesona-holt,NP-TL
ledyard,NP
lenin's,NP$
level's,NN+BEZ
lesbians,NNS
lecture,NN
learned,VBD
levitation,NN
leader,NN
leatherneck,NP
lexicon,NN
lessons,NNS
legalized,VBN
legations,NNS
led,VBD
lee,NP
leg,NN
legitimacy,NN
lessens,VBZ
levittown,NP
lefty,NN-TL
len,NP
leo,NP
lefthanders,NNS
let,VBD
leitmotif,NN
lev,NP
lever,NP
lex,FW-NN
leopold,NP
legend,NN
leitmotiv,NN
legends,NNS
legislature,NN
league,NN-TL
leveling,NN
legation's,NN$
leathery,JJ
leaves,VBZ
leona,NP
leavenworth,NP
leave-taking,NN
leaving,VBG
length,NN
levels,NNS
lemons,NNS
lest,CS
lengthily,RB
leaky,JJ
lends,VBZ
lewisohn,NP-TL
lenses,NNS
leninism-marxism,NP
leonore,NP-TL
letters,NNS
lectured,VBD
lettering,VBG
legislation,NN
lending,NN
lew,NP
lewis',NP$
league's,NN$-TL
leon,NP
leguminous,JJ
letterhead,NN
leaning,VBG
leighton,NP
learning,VBG
legitimized,VBN
lethargy,NN
lesson,NN
lewd,JJ
legislator,NN
leningrad,NP
legislative,JJ
leadsman,NN
lens,NN
leverage,NN
leaks,NNS
leading,VBG
lengthened,VBN
lehner,NP
leavitt,NP
lessening,NN
lettermen,NNS
leash,NN
let-down,NN
leaguer,NN
leyden,NP
leafed,VBD
legs,NNS
lessened,VBN
leathered,VBD
lease,VB
legibility,NN
left-front,NN
left-centerfield,NN
leiden,NP
levinger's,NP$
leonard,NP
leans,VBZ
leaderless,JJ
legally,RB
left-handed,RB
leary,NP
lebanese,NPS
leggett,NP
leopoldville,NP
leatherman,NP
levin,NP
legation,NN
leafiest,JJT
lessen,VB
leg's,NN+BEZ
leapt,VBD
leggy,JJ
lesser,JJR
leadings,NNS
lefthander,NN
leashes,NNS
leprosy,NN
leathers,NNS
learn,VB
leland,NP
levies,NNS
lemon-meringue,NN
leaked,VBN
les,FW-AT
leone,NP
leet,NP
leprae,NN
leverkuhn,NP
leavened,JJ
legislation-delaying,JJ
levitt,NP
leadership,NN
lengthen,VB
leavening,NN
levied,VBN
leopold's,NP$
lever-action,NN
legacies,NNS
levelled,VBN
lemma,NN-TL-HL
leafhopper,NN
leaflet,NN
lengthy,JJ
lemon,NN
lecky,NP
lendrum,NP
lengths,NNS
leverett,NP
lennie,NP
ledges,NNS
leila,NP
leaguers,NNS-TL
levity,NN
leafmold,NN
let's-make-your-house-our-club,JJ
leesona's,NP$
ledgers,NNS
ledge,NN
leisurely,RB
lengthening,VBG
lenient,JJ
letch,NP
lessing,NP
lecturer,NN
lectures,NNS
levy,VB
leavin,VBG
lesion,NN
less-traveled,JJ
leasure,NN
lend,VB
leni,NP
leonato's,NP$
leger,NP
leukemia,NN
let's,VB+PPO
left-justified,VBN
ledford,NP
leaps,VBZ
legality,NN
letter,NN
lent,VBN
ledger,NN
leg-split,NN
leaflets,NNS
lees,NP
lenygon,NP
lerner,NP
lecher,NN
lenny,NP
leroy,NP
lemmas,NNS
lew's,NP$
legers,NPS
ledoux,NP
leaped,VBD
leaches,NNS
leonato,NP
left-of-center,JJ
leggings,NNS
lenobel's,NP$
leavings,NNS
legislatures,NNS
left,VBN
