term,tag
limited,VBN
liar,NN
livelihood,NN
liberal-radical,NP
lining,VBG
literary,JJ
lilly,NP
litle,RB
liar's,NN$
lifters,NNS
liter,NN
liability,NN
lignite,NN
linguists,NNS
liaisons,NNS
liss,NP
list,NN
liars,NNS
lisa,NP
lise,NNS
lightest,JJT
linda's,NP$
licensee,NN
licensed,VBN
likely,RB
licenses,NNS
liberty,NN
liberated,VBD
life-size,NN
liliputian,JJ-TL
libellos,FW-NNS
line-fragments,NNS
litters,NNS
lieutenant-colonel,NN-TL
likened,VBN
lifson,NP
liquor-crazed,JJ
lindemanns,NPS
lighthouses,NNS
liqueur,NN
light-colored,JJ
ligament,NN
limb,NN
lion's,NN$
lizzy,NP
linearly,RB
lime,NN
libertine,NN
limps,VBZ
liber,FW-JJ-TL
liberty's,NN$-TL
little-known,JJ
libel,NN
liberalizing,VBG
limousine,NN
linden,NN
lidless,JJ
lisping,VBG
life-contracts,NNS
lingered,VBD
lighthearted,JJ
lillian's,NP$
links,NNS
libertines,NNS
lindemann,NP
lioness',NN$
libertarian,JJ
listens,VBZ
living-room,NN
liveried,JJ
liaison,NN
librarian's,NN$
light-headedness,NN
liberace,NP
lighting,VBG
lids,NNS
line-driven,VBN
liquid,NN
light,NN
lines,NNS
liner,NP
linen,NN
lined,VBD
lindsay,NP
lifeguards,NNS
libertie,NN
livshitz,NP
liston,NP
lifeblood,NN
litorigin,NN
linguistics,NN
limbs,NNS
ligand,NN
listing,NN
limbo,NN-TL
littlepage,NP
lineback,NN
liberality,NN
lionized,VBN
lichtenstein,NP
lineage,NN
liberia,NP
likeness,NN
lillian,NP
liniment,NN
lingerie,NN
liberating,VBG
lifted,VBD
lilac,NP
lithographs,NNS
lippi,NP
live-oak,NN
living,VBG
literature,NN
lipstick,NN
limousines,NNS
littered,VBN
lionesses,NNS
liveliness,NN
like-minded,JJ
linear,JJ
lizzie,NP
lindskog,NP
light-headed,JJ
lineal,JJ
likelihood,NN
liberally,RB
listings,NNS-HL
licked,VBN
livingston,NP
limerick,NP-TL
linking,NN
listless,JJ
lipowa,NP
little,AP
lightened,VBD
light-reflecting,JJ
listener's,NN$
listed,VBN
lingering,VBG
listen,VB
librettists,NNS
lighters,NNS
ligget,NP-TL
lists,NNS
lilly's,NP$
liste,FW-NN
lip-sucking,NN
lissa,NP
limiting,VBG
listeners,NNS
lilliputian,JJ
liabilities,NNS
lick,VB
lilting,VBG
livers,NNS
lightly,RB
librarian-board,NN
lice,NNS
livery,NN
linked,VBN
lid,NN
lindy,NP
livermore,NP
lila,NP
lil,NP
lili,NP
lit,VBD
lilt,NN
lifts,VBZ
lip,NN
linda,NP
lipton,NP
liz,NP
lint,NN
li'l,JJ-TL
literal,JJ
liturgical,JJ
lipchitz,NP
librarian,NN
liniments,NNS
littering,VBG
limber,NN
line-drying,NN-HL
lions',NNS$
liberate,VB
liquidity,NN
lieder,NNS
litigation,NN
lights,NNS
liberation,NN
lighted,VBN
listened,VBD
light-mindedness,NN
listener,NN
liberty-and-union,NN-TL
lighter,NN
littlest,JJT
liquid-glass,NN
licking,VBG
liable,JJ
linguist,NN
littlepage's,NP$
life-long,JJ
light-flared,JJ
liquor,NN
light-duty,NN
lion,NN-TL
lisbon,NP
little-town,NN
lincoln's,NP$
life-supporting,JJ
literate,JJ
lippman,NP
lipson,NP
libraries,NNS
livable,JJ
limelight,NN
listlessly,RB
limited-time,NN
lightness,NN
linkage,NN
lizzie's,NP$
license,NN
lifeboat,NN
linguist-anthropologist,NN
libyan,NP-TL
liked,VBD
likee,VB
liberal-conservative,JJ
liquidations,NNS
likes,VBZ
linguistically,RB
litigant,NN
linus,NP
lifer,NN
lioness,NN
lizards,NNS
lisle,NP
liberals,NNS
life-and-death,NN
linguistic,JJ
light-year,NN
life,NN
lived,VBD
lizard's,NN$
light-weight,JJ
lift,VB
lives,VBZ
liver,NN
lifting,VBG
ligands,NNS
lionel,NP
libelous,JJ
litterbug,NN
limits,VBZ
lightning-occurrence,NN
liebler,NP
lingo,NN-TL
limping,VBG
lightweight,JJ
lieutenant's,NN$
litz,NP
limply,RB
lindbergh's,NP$
libido,NN
lie,NN
liberties,NNS-TL
liquids,NNS
limped,VBN
light-hearted,JJ
literatures,NNS
livestock,NN
limp-looking,JJ
listenin',VBG
linville,NP
lieutenant-governor,NN
litta,NP
lineman,NN
liters,NNS
lightens,VBZ
lilacs,NNS
limp,JJ
liberal-led,JJ
livid,JJ
line-density,NN
listening,VBG
lighter'n,JJR+CS
lincoln,NP
lilian,NP
like,CS
lily,NP
lightning,NN
linen-covered,JJ
livelier,JJR
licensing,NN
liquidation,NN
life-preservers,NNS
library,NN
libretto,NN
litter,NN
lingers,VBZ
liking,VBG
lifelike,JJ
livres,NNS
literally,RB
listener-supported,JJ
linoleum,NN
limitations,NNS
limitless,JJ
lindsey's,NP$
lippincott,NP
lieutenant,NN
lifeboats,NNS
little-girl,NN
limitation,NN
linger,VB
light-transmitting,JJ
lieberman,NP
lifeless,JJ
lithograph,NN
lieutenants,NNS
lied,VBD
librarians,NNS
lien,NN
lies,VBZ
lively,RB
lieu,NN
littleton's,NP$
lightyears,NNS
live,VB
liquidated,VBN
lithe,JJ
lions,NNS
line-pairs,NNS
linz,NP
liquidating,VBG
ligne,NP
literalness,NN
link,VB
lineages,NNS
line,NN
livability,NN
lilies,NNS
limpid,JJ
lips,NNS
liens,NNS
limit,NN
littau,NP
life-like,JJ
liberal,JJ
lieut,NP
likewise,RB
litowski,NP-TL
limbic,JJ
liverpool,NP
lifetime,NN
liberalism,NN
liberal's,NN$
libertarians,NNS
litigants,NNS
liners,NNS
literalism,NN
linebackers,NNS
lifelong,JJ
lightfoot,NP
life's,NN$
lippmann,NP
lineup,NN
life-death,JJ
