term,tag
nicknames,NNS
nikita,NP
ninth,OD
nicknamed,VBN
nitrogen,NN
nicolas,NP
nilpotent,JJ
nicodemus,NP
nikko,NP
nimbler,JJR
nickels,NNS
nibblers,NNS
nihilist,NN
nightclubs,NNS
nischwitz,NP
nichols,NP
nighted,JJ
night's,NN$
nicely,RB
nightshirt,NN
nise,JJ
niobe,NP
nigger,NN
nine-to-five,JJ
nisf-i-jahan,FW-NN-NC
night,NN
nightingale,NN
ninety-eight,CD
niceties,NNS
ninetieth,OD
nineties,NNS
nigh,RB
nibble,NP
nilsen,NP
nicaragua,NP
nigs,NNS
nightmare,NN
nicklaus,NP
night-coach,NN
nickel-iron,NN
nitrate,NN
nicest,JJT
nicholas,NP
night-sight,NN
nightdress,NN
niche,NN
ninety-nine,CD
nicolas's,NP$
nimbly,RB
nightmares,NNS
nishima,NP
nightfall,NN
nightmarish,JJ
nixon's,NP$
nishimo,NP
nichtige,FW-NN-TL
nitroglycerine,NN
niebuhr,NP
nibelungenlied,NP-TL
nineveh,NP
nile,NP
nightclub,NN
niggers,NNS
nixon,NP
niccolo,NP
nightclub's,NN$
nicotine-choked,JJ
ninety,CD
nilly,RB
niger,NP
nick's,NP$
nitrates,NNS
nipe's,NP$
nigeria,NP
nietzsche,NP
nickel,NN
nieman,NP
nilsson,NP
nine-chambered,JJ
nicked,VBN
nigras,NNS
nihilistic,JJ
nibs',NN$
nineteen,CD
nine-year,JJ
nine-thirty,CD
nieces,NNS
nischwitz',NP$
nina,NP
nine,CD
ninety-six,CD
nikolai,NP
nicer,JJR
nineteen-year-old,JJ
nicholson,NP
niagara,NP-TL
ninety-five,CD
nike-zeus,NP
nitrogen-mustard,NN
nipples,NNS
nights,NNS
nightingales,NNS
nihilism,NN
nick,NP
niggertown,NP
nikolais,NP
niece,NN
nine-game,JJ
nighters,NNS
nips,NNS
niepce,NP
nice,JJ
nineteen-sixty,CD
niven,NP
nil,NN
nightly,RB
nijinsky,NP
nip,NN
nickname,NN
nipped,VBD
nirvana,NN
nine-state,JJ
night-watchman,NN
nighttime,RB
nineteenth-century,NN
nippur,NP
nineteenth,OD
nice-looking,JJ
