term,tag
octoroon,NN
octaves,NNS
occurrence,NN
occupations,NNS
ocean-going,JJ
occupies,VBZ
occasioned,VBN
occlusive,JJ
oct.,NP
occurrences,NNS
ocelot,NN
occupied,VBD
occur,VB
occupation,NN
occasional,JJ
oceania,NP-TL
oceanography,NN
oceanographic,JJ
ocarina,NN
oczakov,NP
octet,NN-TL
occupants,NNS
occupancy,NN
occipital,JJ
occupying,VBG
occupy,VB
occasionally,RB
occident,NP
occupational,JJ
occurs,VBZ
ocher,NN
occluded,VBN
ocular,JJ
octagonal,JJ
oceanside,NP
och,FW-CC-TL
oceans,NNS
occurred,VBN
octahedron,NN
occupant,NN
octave,NN-TL
oceana,NP-TL
ochre,NN
occurring,VBG
october,NP
occasions,NNS
occlusion,NN
ocean,NN
occidental,JJ-TL
octavia,NP-TL
occupation's,NN$
occupancies,NNS
occasion,NN
octillion,CD
octopus,NN
