term,tag
operations,NNS
opinions,NNS
operagoers,NNS
opportunism,NN
openly,RB
op.,NN-TL
operative,JJ
opportunities,NNS
operational,JJ
open-mouthed,JJ
opener,NN
openings,NNS
opponent's,NN$
open-face,NN
opprobrium,NN
operetta,NN
opera,NN
optics,NN
oppressed,VBD
operates,VBZ
operated,VBD
operation,NN
optimum,JJ
opened,VBD
opaque,JJ
oppressors,NNS
optimization,NN
opportune,JJ
opening,VBG
optimo,FW-JJT
operating,VBG
opposition,NN
optional,JJ
opium,NN
opelika,NP
open-collared,JJ
operas,NNS
oppose,VB
opinion,NN
options,NNS
open-meeting,NN
open-flame,NN
operator,NN
open,JJ
opponents,NNS
opposes,VBZ
operable,JJ
opus,NN
opposed,VBN
opens,VBZ
opponent,NN
optimizing,VBG
option,NN
opiates,NNS
opalescent,JJ
optical,JJ
oppenheim,NP
ophthalmic,JJ-TL
opening-day,NN
optimism,NN
open-air,NN
operationally,RB
opportunistic,JJ
operand,NN
opera's,NN$-TL
optimistic,JJ
optimal,JJ
operatic,JJ
open-end,NN
operators,NNS
optically,RB
open-ended,JJ
oppressive,JJ
opposite,JJ
oppression,NN
opulent,JJ
opportunity,NN
opted,VBD
operands,NNS
open-minded,JJ
opinionated,JJ
opposing,VBG
open-handed,JJ
open-work,NN
optimality,NN
operate,VB
