term,tag
organizers,NNS
orchestra,NN
organification,NN
ornate,JJ
orleans,NP-TL
orthophosphate,NN
orthographies,NNS
originality,NN
orpheus,NP
origen,NP
orange,JJ
orderliness,NN
orzae,NP
orthodontists,NNS
ordained,VBN
ordnance,NN
orthodox,JJ
origination,NN
oranges,NNS
orphan,NN
orthopedic,JJ-TL
orthodontic,JJ
orientations,NNS
orphaned,VBN
orthodontics,NN
ornraier,JJR
organizationally,RB
organ,NN
orphans,NNS
orlando,NP-HL
ordain,VB
ornamentation,NN
oratorio,NN
orthorhombic,JJ
orchids,NNS
orthographic,JJ
ornately,RB
orgiastic,JJ
orifices,NNS
orinoco,NP
orgasm,NN
ornaments,NNS
organised,VBD
organizing,VBG
orient,NP
ordo,FW-NN
ore.,NP
organisms,NNS
orchestre,FW-NN-TL
orphic,JJ
ornament,NN
oriental,JJ
oration,NN
orbiting,VBG
orwell's,NP$
ormsby,NP-TL
orthicon,NN
orgies,NNS
ory,NP
originated,VBD
orchester,FW-NN-TL
orly,NP
ornery,JJ
orthodontist,NN
orioles',NPS$
orcutt,NP
orb,NN
orthodoxy,NN-TL
originates,VBZ
orphanage,NN
ormoc,NP
organic,JJ
origins,NNS
ordeal,NN
orations,NNS
orchestration,NN
oresme,NP-TL
or,CC
ores,NNS
origin,NN
ordinarius,FW-NN
organize,VB
orgone,NN
oracles,NNS
oregonians,NPS
orlick's,NP$
orin,NP
orderings,NNS
orwellian,JJ
ordering,VBG
orkney,NP-TL
ordinary's,NN$
origin/destination,NN
orville,NP
organismic,JJ
orioles,NPS
orissa,NP
orchestral,JJ
orestes,NP
oregon,NP
orchestras,NNS
orator,NN
ordinances,NNS
orchestra's,NN$
organizations,NNS
originals,NNS
orney,JJ
originally,RB
originate,VB
oratorical,JJ
orgy,NN
ortega's,NP$
orienting,VBG
orwell,NP
orchesis,NP
originating,VBG
orso,FW-NN-TL
ordered,VBN
orientation,NN
orthography,NN
organized,VBD
ordinarily,RB
organizational,JJ
orchards,NNS
organdy,NN
organizes,VBZ
oriole,NP
orders,NNS
orbital,JJ
oratory,NN
ordinance,NN
organs,NNS
oresteia,NP-TL
oratio,FW-NN
orvis,NP
oriented,VBN
orvil,NP
ornamented,VBN
orthodontist's,NN$
ordinary,JJ
orate,VB
orchestrations,NNS
orbits,NNS
organization-position,NN
orthophosphates,NNS
ordinates,NNS
organization's,NN$
orleans',NP$-TL
organically,RB
organist,NN
orchard,NN
organism,NN
orlick,NP
orbit,VB
original,JJ
ortega,NP
orgasms,NNS
orderly,JJ
orally,RB
orators,NNS
oracle,NN
organization,NN
oral,JJ
order,NN-TL
