term,tag
philantrophy,NN
phenomenon,NN
photo,NN
phonologic,JJ
phosphide,NN
philippians,NPS-TL
phosphorescent,JJ
phosphor-screen,NN
physiochemical,JJ
physicalness,NN
physiological,JJ
photographer,NN
phenothiazine,NN
pharmacy,NN-TL
pharmical,JJ-TL
pheasants,NNS
phonemes,NNS
photographed,VBN
photographs,VBZ
physicians,NNS
phelps,NP
photography,NN
phosgene,NN
phagocytes,NNS
phouma,NP
philharmonique,FW-JJ-TL
philibert,NP
philippoff,NP
physiognomy,NN
physician's,NN$
phosphines,NNS
philippines,NPS
phrasemaking,NN
phonic,JJ
philanthropies,NNS
photofloodlights,NNS
phonetic,JJ
physicochemical,JJ
photographically,RB
physiologic,JJ
physiologically,RB
photocathode,NN
phosphors,NNS
philosophizing,VBG
physically,RB
phones,VBZ
phenomena,NNS
phipps,NP
phloem,NN
physical-chemical,JJ
philco-sponsored,JJ
phosphates,NNS
phalanx,NN
phoned,VBD
phonology,NN
phases,NNS
phenomenal,JJ
phonographs,NNS
philosopher,NN
phenonenon,NN
phonemics,NN
philippe,NP
philharmonic,NN
photon-counting,JJ
pharmacopoeia,NN-TL
physiologist,NN
phineoppus,NP
physicist,NN
philippi,NP
philanthropist,NN
phosphorus-bridged,JJ
phthalate,NN
philip,NP
phrasings,NNS
physiology,NN
phyfe,NP
photomicrograph,NN
phouma's,NP$
philosophically,RB
pharmacological,JJ
phrases,NNS
phonies,NNS
philmont,NP-TL
phrased,VBN
photorealism,NN
phil's,NP$
phase,NN
philosophical,JJ
philosophized,VBD
photoluminescence,NN
pharmaceutical,JJ
philco,NP-TL
phonemic,JJ
phonetics,NN
philadelphia,NP
phosphate-buffered,JJ
physicists,NNS
phyla,NNS
ph,NN
photographing,VBG
photomicrography,NN
phillies,NPS
phony,JJ
philosophers,NNS
phone,NN
phedre,NP-TL
photo-offset,NN
photographic,JJ
phraseology,NN
physician,NN
photograph,NN
philanthropic,JJ
phillip,NP
phrasing,VBG
photogenic,JJ
philologists,NNS
phosphate,NN
photocathodes,NNS
philistines,NPS
philosophies,NNS
physiotherapist,NN
photo-montage,NN
phenomenological,JJ
philippine,JJ-TL
phosphor,NN
phrase,NN
philly,NP
photoelectronic,JJ
physical,JJ
phantom,NN
philip's,NP$
phelan,NP
pheasant,NNS
physique,NN
phobic-like,JJ
photoelectrons,NNS
phillips,NP
philological,JJ
pharmacist,NN
phi,NP
phoenix,NP
phantasy,NN
philosophy,NN
phonograph,NN
photographers,NNS
phs,NN
phyllis,NP
philosophic,JJ
phosphorus,NN
photochemical,JJ
philology,NN
photos,NNS
phil,NP
philadelphia's,NP$
phis,FW-NNS
philantropists,NNS
physics,NN
photosensitive,JJ
photek,NP-TL
