term,tag
provincialism,NN
precondition,NN
pre-planning,NN
proletariat,NN
prechlorination,NN
proteolysis,NN
primed,VBN
propertius,NP
protest,VB
proposition,NN
preface,NN
primes,NNS
premonitory,JJ
prophecy,NN
prolongs,VBZ
preserves,NNS
praises,VBZ
presente,RB
prejudicial,JJ
pretense,NN
predicting-machines,NNS
presents,NNS
prophets,NNS
program,NN
promoting,VBG
preserved,VBN
prodding,VBG
pride,NN
presentation,NN
protestants,NPS
pro-trujillo,JJ
protective,JJ
premium,NN
presently,RB
preceeded,VBN
prefectures,NNS
prudence,NN-HL
preceeding,VBG
procession,NN
prehistoric,JJ
prognostication,NN
pressure-sensing,JJ
precinct,NN-TL
promptings,NNS
prize,NN
progression,NN
presented,VBN
preordainment,NN
princess-in-a-carriage,NN
proposals,NNS
prolonged,VBN
presenter,NN
prosodic,JJ
prohibiton,NN
pre-vision,NN
prevent,VB
pragmatic,JJ
pretenses,NNS
pride-venus,NP
prandtl,NP
prediction,NN
preposterous,JJ
preacher,NN
professionalism,NN
pre-literate,JJ
prairie,NN
professionally,RB
price-consciousness,NN
protrude,VB
pretentious,JJ
pro-castro,JJ
protitch,NP
prabang,NP
prisons,NNS
profitability,NN
pre-decoration,NN
prevailed,VBD
pragmatism,NN
proselytizing,VBG
pristine,JJ
protein-bound,JJ
pre-penicillin,JJ
prosaic,JJ
processing,NN
prognoses,NNS
prescriptions,NNS
prescribe,VB
prescriptive,JJ
pratt,NP
protection,NN
proprieter,NN
protogeometric,JJ
price-cutting,NN
proficiency,NN
preamble,NN
prostrate,JJ
prosecutors,NNS
pre-marital,JJ
pretensions,NNS
price-wise,RB
prior,RB
preferentially,RB
prieur,NP
products,NNS-TL
primacy,NN
principally,RB
pre-academic,JJ
processional,NN
prints,NNS
projection,NN
presidents,NNS
proximal,JJ
precincts,NNS
private,JJ
privately,RB
pro-neutralist,JJ
prompt,JJ
protectorate,NP
producin',VBG
pre-nuptial,JJ
prefixes,NNS
prayer-time,NN
proto-athabascan,NP
proceed,VB
prove,VB
probabilities,NNS
prevalence,NN
predictions,NNS
privet,NN
predictability,NN
procrastinate,VB
process,NN
praised,VBN
prey,NN
preview,NN
prep,NN
prosecutor,NN-TL
prized,VBN
prancing,VBG
preconditioned,VBN
presumes,VBZ
pre-drilled,VBN
progressivism,NN
prizes,NNS
protozoan,JJ
projective,JJ
primeval,JJ
producing,VBG
presumed,VBD
pro-hearst,JJ
primly,RB
practicing,VBG
precipice,NN
primate,NP
pretend,VB
protons,NNS
privy,NN
premarital,JJ
prompts,VBZ
printing,NN
prearranged,VBN
praise,VB
predominating,VBG
precociously,QL
proof,NN
prohibiting,VBG
predict,VB
professedly,RB
proportions,NNS
preserving,VBG
promotional,JJ
promulgated,VBN
protects,VBZ
pride-starlette,NP
prize-fight,NN
prentice-hall,NP-TL
proctor,NN
prize-winning,JJ
present-day,JJ
procrastination,NN
preferably,RB
provincial,JJ
prisca,NP-TL
productive,JJ
procurer,NN
predominantly,RB
prokofieff's,NP$
provide,VB
proclaim,VB
preliterate,JJ
preening,VBG
prexy,NP
prognosis,NN
procured,VBN
praisegod,NP
propagandistic,JJ
prejudice,NN
preferable,JJ
profile,NN
prohibits,VBZ
product,NN
prepayment,NN
professing,VBG
pretexts,NNS
protuberance,NN
profili,NP
proto-senility,NN
propylthiouracil,NN
produce,VB
prowlers,NNS
preferred,VBN
preferring,VBG
president,NN
pre-easter,JJ
proclaimed,VBD
processors,NNS
profited,VBN
primers,NNS
preferential,JJ
producers',NNS$
priestly,JJ
pre-employment,JJ
prefers,VBZ
prussian,JJ
pranha,NN
pro-yankee,JJ
presiding,VBG
processor,NN
propriety,NN
pre-historic,JJ
progressively,RB
preventive,JJ
presuppose,VB
preparatory,JJ
procreation,NN
premature,JJ
producer,NN
produces,VBZ
preaches,VBZ
prussia,NP-TL
pressed-paper,NN
presley,NP
proverbial,JJ
proportionate,JJ
produced,VBN
predisposed,VBN
preprinting,VBG
pre-world-war-,JJ
pretext,NN
propping,VBG
pre-eminent,JJ
priming,NN
pripet,NP-TL
precipitin,NN
protoplasmic,JJ
pronto,RB
progeny,NN
prentice's,NP$
prodigy,NN
pre-attack,JJ
production,NN
prowled,VBD
prai,VB
precipitate,NN
pram,NN
presentness,NN
prosper,VB
programed,VBN
press,VB
propose,VB
practice,NN
prejudices,NNS
projectiles,NNS
prunes,NNS
promulgators,NNS
prejudiced,VBN
provision,NN
presidential,JJ
pre-war,JJ
profound,JJ
prophetically,RB
preclude,VB
proscribed,VBN
presbyterian-st.,NP
presupposition,NN
prospers,VBZ
profusely,RB
problematical,JJ
prosopopoeia,NP
prevailing,VBG
prohibit,VB
preceded,VBN
prompted,VBN
princes',NNS$-TL
programmed,VBN
principles,NNS
prepositional,JJ
precepts,NNS
practising,VBG
precedes,VBZ
preaching,VBG
prudently,RB
programmer,NN
programmes,NNS
propitiate,VB
presaged,VBD
prewar,JJ
profit,NN
projected,VBD
preprepared,VBN
precision,NN
print,NN
problem-solving,JJ
processed,VBN
primitive-eclogue,NN
preponderating,VBG
proviso,NN
protruding,VBG
prostitutes,NNS
presbyterianism,NP
predominates,VBZ
preschool,JJ
promptly,RB
proprietorship,NN
proportionality,NN
proxy,NN
prowazwki,NP
pre-revolutionary,JJ
printemps,FW-NN-TL
pre-shaped,JJ
princess,NN
pro-tem,JJ
prefab,JJ
producers,NNS
prior-year,NN
prophet,NN
professions,NNS
prossed,VBN
programming,VBG
priorities,NNS
prepolymer,NN
proffered,VBD
prospered,VBD
prodigal,JJ
projectile,NN
proportionally,RB
promotion,NN
profess,VB
programing,VBG
pre-primary,NN
prospective,JJ
precautionary,JJ
probability,NN
predictive,JJ
pro-u.n.f.p.,JJ
primary,JJ
preservation,NN
privies,NNS
primitivism,NN
proposing,VBG
probation,NN
precisely,RB
profiles,NNS
precariously,RB
prank,NN
preached,VBD
practitioners,NNS
privacy,NN
probity,NN
prostate,NN
preludes,NNS-TL
provenance,NN
protracted,VBN
priority,NN
pre-selling,NN
predomination,NN
pro-ball,NN
prouder,JJR
protestations,NNS
prone,RB
provisioned,VBN
predictably,RB
proving,VBG
precocity,NN
printmaking,NN
prometheus,NP
predictable,JJ
