term,tag
rheumatic,JJ
rhenium,NN
rhenish,JJ
rhinos,NNS
rhea's,NP$
rhythmical,JJ
rheum,NN
rhyming,VBG
rhinotracheitis,NN
rhu-beb-ni-ice,NN
rhythmically,RB
rhododendron,NN
rhine,NP
rheumatism,NN
rhinestones,NNS
rhinoceros,NN
rhode,NP-TL
rhythm,NN
rh,NN
rhythmic,JJ
rhodesia,NP-TL
rhyme,VB
rheinholdt's,NP$
rhine-main,NP
rhetoric,NN
rhythms,NNS
rhine-westphalia,NP-TL
rheims,NP
rheumatics,NNS
rhodes,NP
rhu-beb,NN
rhymes,NNS
rhythm-and-blues,NNS
rheinholdt,NP
rhythm-wily,NP
rhetoricians,NNS
