term,tag
sonoma,NP
somebody'll,PN+MD
southland,NP-TL
souls,NNS
soften,VB
softer,JJR
sound-truck,NN
soule,NP
sophias,NPS-TL
soothed,VBD
sometimes-necessary,JJ
socializes,VBZ
sorrentino,NP
solicit,VB
sowbelly,NN
sorry,JJ
solesmes,NP-TL
southwest,JJ-TL
softener,NN
sonuvabitch,UH
song,NN
somers,NP-TL
sowered,VBD
soldering,VBG
sons,NNS
softened,VBD
southpaw,NN
soles,NNS
sonora,NP
soul's,NN$
solves,VBZ
soignee,JJ
solution,NN
solved,VBN
soldier's,NN$
son-of-a-bitch,NN
sown,VBN
someday,RB
soft-spoken,JJ
sorriest,JJT
sonogram,NN
solemn,JJ
soft-heartedness,NN
so-far,RB
socio-economic,JJ
socialize,VB
sojourners,NNS
somewheres,RB
sociable,JJ
southerners,NNS-TL
solvating,VBG
sold-out,JJ
sophisticate,NN
somatic,JJ
sofar,RB
sofas,NNS
sokol,NP
social,NN
someone's,PN$
socio-structural,JJ
somersaults,NNS
soybeans,NNS
south-central,JJ
solitude,NN
sorrows,NNS
soybean,NN
socioeconomic,JJ
softens,VBZ
somersaulting,VBG
socialization,NN
somersault,NN
sonnets,NNS
sort,NN
soiree,FW-NN-TL
sorcery,NN-HL
southern-central,JJ
sore,JJ
sobering,VBG
sovereignty,NN
soloists,NNS
son-in-law,NN
soviet's,NP$
somber,JJ
soul,NN
social-register,NN
soup,NN
sour,JJ-TL
so's,CS
sorrentine,NP-TL
sokolov,NP
socal,JJ
somnolent,JJ
something,PN
sought,VBD
soukhouma,NP
solitudes,NNS
soutane,NN
soda,NN
songbook,NN
soyaburgers,NNS
socinianism,NP
sophistication,NN
solipsism,NN
somethin',PN
solidarity,NN
somethin,PN
sours,VBZ
so,RB
solos,VBZ
sonnet,NN
soggy,JJ
soon,RB
sociability,NN
soot,NN
soothingly,RB
solder,VB
solitary,JJ
soft-drink,NN
solace,NN
sodium,NN-HL
somewhere,NN
soaking,VBG
social-economic,JJ
solving,VBG
soviet-western,JJ
south's,NR$-TL
souls',NNS$
soccer,NN
sophocles,NP
someone,PN
somebody,PN
someone'll,PN+MD
socially,RB
soulful,JJ
sooner,RBR
sonata,NN
sorted,VBD
soldiers',NNS$
soulfully,RB
soddenly,RB
sophomore,NN
sobbingly,RB
sonatas,NNS
sopranos,NNS
societe,FW-NN-TL
society,NN
southern-republican,NP
soconoco,NP
somebody's,PN+BEZ
socialized,VBN
sounion,NP
sockets,NNS
someplace,RB
sociological,JJ
songbag,NN-TL
songau,NP
solvent,NN
southern,JJ-TL
sophia's,NP$
solicited,VBD
sods,NNS
solicitousness,NN
south,NR
solidly,RB
sopsaisana,NP
soldered,VBN
sock,NN
soothing,VBG
soaring,VBG
soapy,JJ
sober,JJ
sounds,NNS
soaps,NNS
soil-bearing,JJ
sokolev,NP
solstice,NN
souci,FW-NN-TL
soothsayer,NN-TL
soil-removal,NN
solemnly,RB
sores,NNS
soft-drinks,NNS
soul-searching,JJ
southbound,JJ
solomon's,NP$
southernisms,NNS
somewhat,RB
social-political-economical,JJ
south-eastern,JJ
so-so,JJ
solomon,NP
sophie,NP
solely,RB
sophia,NP-TL
songful,JJ
sockdologizing,VBG
sonates,FW-NNS-TL
sompin,PN
sophoclean,JJ
sounding,VBG
soubriquet,NN
soak,VB
soaked,VBN
solly,NP
sordid,JJ
social-role,NN
sorority,NN
soap,NN
social-class,NN
south-asian,JJ
soldierly,JJ
solicitor,NN-TL
soared,VBD
solidifies,VBZ
southampton,NP
south-east,JJ-TL
socialistic,JJ
sometimes,RB
sohn,NP
soapsuds,NNS
socio-political,JJ
soluble,JJ
solemnis,FW-JJ-TL
soldiery,NN
solutions,NNS
southwestern,JJ
soldiers,NNS
soviets,NPS
soothsayers,NNS
soldier-masters,NNS
soliciting,VBG
sonofabitch,NN
soviet-chinese,JJ
soloviev,NP
soiled,VBN
societies,NNS
sowing,NN
soloviev-sedoi,NP
sojourn,NN
soloist,NN
softly,RB
sonar,NN
solicitous,JJ
sor'l,JJ
soxhlet,NP
sorest,JJT
souvanna,NP
southward,RB
solicitude,NN
sokolsky,NP
sorts,NNS
sold,VBD
solo,VB
sorely,RB
somnolence,NN
sorrow,NN
sole,FW-NN-TL
souvenir,NN
southeast,JJ
sonorous,JJ
socola,NP
solid-fueled,JJ
solar-radiation,NN
soddies,NNS
southeastern,JJ
solvency,NN
solar-electromagnetic-,JJ
soeren,NP
souffle,NN
sororities,NNS
sommelier,NN
song-writing,JJ
sobriety,NN
solaced,VBN
softest,JJT
sound,NN
sommers,NP
sourly,RB
soba,FW-NN
sonorities,NNS
solid,JJ
socialist,JJ-TL
sobbed,VBN
socialism,NN
sociologically,RB
sobs,NNS
sorghum,NN
sombre,JJ
sobriquet,NN
sousa,NP
soil,NN
soils,NNS
sorrentine's,NP$
soldier,NN
sociologist,NN
soloists',NNS$
soviets',NPS$
soundness,NN
sodden,JJ
sops,NNS
souths,NRS-TL
socio-archaeological,JJ
soberly,RB
sore-ridden,JJ
solemnity,NN
solids,NNS
solve,VB-HL
soundproof,JJ
soviet,NP-TL
soon's,RB+CS
southey,NP
softening,VBG
softwood,NN
soft-headed,JJ
sources,NNS
southfield,NP
sovereigns,NNS
somerville,NP
sonenberg,NP
sochi,NP
source,NN
sociality,NN
sonic,JJ
solenoid,NN
solid-state,NN
sorting,VBG
sofa,NN
souvenirs,NNS
social-welfare,NN
softness,NN
soft,JJ
sourdough,NN
sonny-boy,NN
soma,NN
some,DTI
somehow,RB
sorbed,VBN
sociology,NN
soirees,NNS
solicits,VBZ
sophomores,NNS
sorption,NN
son's,NN$
social-climbing,JJ
southerner,NN-TL
solar-wind,NN
somay,NP
socket,NN
socked,VBD
sonority,NN
song's,NN$
soldiering,VBG
soe,RB
sod,NN
sol,NP
socks,NNS
son,NN
sop,NN
sou,FW-NN
society's,NN$
sow,VB
soy,NN
sox,NPS-TL
soft-shoe,NN
soft-looking,JJ
sonny,NN
sojourner,NP
sovereign,NN
somerset,NP
sonambula,FW-NN-TL
sobered,VBN
sorrel,JJ
so-called,JJ
solidity,NN
societal,JJ
sophisticated,JJ
solar-corpuscular-radiation,NN
soprano,NN
solar,JJ
sophisticates,NNS
soreness,NN
socially-oriented,JJ
solvents,NNS
sovietskaya,FW-JJ-TL
soft-,JJ
sotun,NP
soothe,VB
sometime,RB
soft-shell,NN
soundly,RB
southerner's,NN$-TL
sortie,NN
sociologists,NNS
souphanouvong,NP
sobibor,NP
solution-type,JJ
solitudinem,FW-NN
sobbing,VBG
sounder,JJR
sopping,JJ
sorption-desorption,NN
sounded,VBD
songs,NNS
