term,tag
square,NN
squirting,VBG
squats,NNS-TL
squires,NNS
squinted,VBD
squatting,VBG
squeak,NN
sq.,JJ
squashing,VBG
squalid,JJ
squashed,VBN
squire's,NP$
squeal,NN
squeamishness,NN
squeeze,VB
squire,NN
squared,VBN
squadroom,NN
squirmed,VBD
squad,NN
squeezing,VBG
squealing,VBG
squirt,NN
squares,NNS
squeals,NNS
squat-style,JJ
squawk,VB
square's,NN$-TL
squaresville,NP
squirrel,NN
square-built,JJ
squatted,VBD
squeaking,NN
squashed-looking,JJ
squash,NN
squatter's,NN$
squall,NN
squeamish,JJ
squat,JJ
squads,NNS
squarely,RB
squabbles,NNS
squirms,VBZ
squabbling,NN
squashy,JJ
squadrons,NNS
squeaky,JJ
squelched,VBN
squealed,VBD
squeaked,VBD
squandered,VBN
squaw,NN
square-mile,NN
squirted,VBD
squalls,NNS
squinting,VBG
squeezed,VBD
squadron,NN-TL
squibb,NP-TL
squint,NP
