term,tag
tuttle,NP
tune-belly,NN
tumours,NNS
turbine,NN
turkish,JJ
tunelessly,RB
turban,NN
tuohy,NP
turnips,NNS
tuxapoka,NP
tulsa,NP
turtlebacks,NNS
tucker,NP-TL
tuberculosis,NN
tudor-style,JJ
tungsten,NN
turbulence,NN
turn-out,NN
turns,VBZ
tumors,NNS
tuned,VBN
tunes,NNS
tubing,NN
turbofan,NN
turnpikes,NNS
turtle,NN
tumbrels,NNS
turtle-neck,NN
turkeys,NNS
tumble,VB
tunisian,JJ
turbulent,JJ
turntable,NN
tube-nosed,JJ
turnkey,NN-TL
tumultuous,JJ
tubular,JJ
tullio,NP
tunneled,VBD
tularemia,NN
tussle,NP
turks,NPS
tulips,NNS
tube,NN
turnings,NNS
tuba,NN
turnaround,NN
tunefulness,NN
tuesday's,NR$
tubs,NNS
turmoil,NN
turning,VBG
tuition,NN
tulln,NP
tub,NN
tuc,NN
turnout,NN
tug,VB
tug-o'-war,NN
tuck,NP-TL
tutors,NNS
tumor,NN
turn,NN
turk,NP-TL
turandot,NP
turf,NN
turne,VB
tunisia,NP
tuesday,NR
tultul,FW-NN
turkey,NN
tulle,NN
tuning,NN
turret,NN
turnouts,NNS
tusks,NNS
tutor,NN
tulip-shaped,JJ
tutorials,NNS
tuborg,NP
turin,NP
tuttle's,NP$
turnoff,NN
tuneful,JJ
turtleneck,NN
tumefaciens,NP
tucker's,NP$
turpentine,NN
tug-of-war,NN
tudor,NP
tunic,NN
turtles,NNS
tunnel,NN
tucson,NP
tunis,NP
tuskegee,NP
turrets,NNS
tubules,NNS
turned,VBD
turquoise,NN
tugged,VBD
turner,NP
tubers,NNS
tumbled,VBN
tucked,VBD
turbinates,NNS
tucking,VBG
tuhulhulzote,NP
tumbling,VBG
tumbler,NN
tumbles,NNS
tuxedoed,JJ
tunnels,NNS
tussard's,NP$
tualatin,NP
tugging,VBG
tung,NN
tune,NN
tufts,NNS
tuscany,NP
tulane,NP
tutoring,VBG
turbines,NNS
tunnard,NP
tulip,NN
tugaru,NP
turnpike,NN-TL
tubes,NNS
turnery,NN
turnover,NN
