term,tag
tying,VBG
tygartis,NP-TL
typhus,NN
typifying,VBG
typify,VB
tyrant,NN
typology,NN
typewriters,NNS
tyrannize,VB
tyler,NP
tyrannis,FW-NNS
typing,VBG
type,NN
tyrannical,JJ
tycoon,NN
typescript,NN
tyrants,NNS
typhoid,NN
typed,VBD
typewriting,NN
typographic,JJ
typhoon,NN
typewritten,JJ
tyson,NP
types,NNS
tyranny,NN
tyrosine,NN
tyburn,NP
typicality,NN
typified,VBN
tyme,NN
typography,NN
typesetting,NN
typewriter,NN
typically,RB
typical,JJ
