term,tag
upgraded,VBN
upper,JJ
up-to-date,JJ
upstairs,RB
upshot,NN
upshots,NNS
upgrading,VBG
upsurge,NN
upholders,NNS
upsets,VBZ
uphill,JJ
uppercut,NN
upper-middle-class,NN
upholds,VBZ-HL
upkeep,NN
upped,VBN
uptown,RB
uplift,NN
upper-middle-,JJ
up-pp,RP
upgrade,VB
upheaval,NN
uphold,VB
upton,NP
upswing,NN
upturned,JJ
up-and-coming,JJ
upholding,VBG
upperclassmen,NNS
upheld,VBD
uppermost,RBT
upbeat,JJ
upbringing,NN
uptake,NN
updated,VBN
upriver,JJ
upstanding,JJ
upcoming,JJ
upsetting,VBG
uprising,NN-TL
upper-class,NN
upon,IN
update,VB
uptrend,NN
upturn,NN
upward-mobile,JJ
uppon,IN
upson,NP
upstream,RB
upright,JJ
upland,JJ
upper-lower,JJ
upstate,RB
upwards,RB
uplands,NNS-TL
upholstery,NN
uprooted,VBN
upper-middle,JJ
upi,NP-HL
upper-level,NN
upper-,JJ
upset,VBN
up,RP
upraised,VBN
up-jutting,JJ
upholstered,VBN
uproar,NN
upside,RB
uproariously,RB
uprisings,NNS
ups,NNS
upward,RB
