term,tag
vance's,NP$
vampires,NNS
valley's,NN$
vary,VB
valuable,JJ
vanishes,VBZ
vacancy,NN
valewe,NN
vamp,NN-TL
varnish,NN
var.,NN
vaudois,NP
vacuous,JJ
vandals,NNS
vandringsar,FW-NNS-TL
vandervoort,NP
vallfart,FW-NN-TL
valor,NN
variables,NNS
valeur,FW-NN
valois,NP-TL
varlaam's,NP$
valueless,JJ
vassal,NN
vasa,NN
valente,NP
vase,NN
varityping,VBG
vacuum,NN
vacationing,VBG
vastly,QL
variance,NN
vague,JJ
vast,JJ
vanity,NN
vaska,NP
vacuolization,NN
vaudeville,NN
varmint,NN
vanilla,NN
vadstena,NP
valleys,NNS
vacuolated,VBN
value-system,NN
valiant,JJ
vacate,VB
vaquero,NN
vade,FW-VB
valve,NN
valet,NN
vale,NP
various,JJ
vasilievitch,NP
vascular,JJ
vaporization,NN
variability,NN
vaughn,NP
variable-speed,NN
vacuuming,VBG
vanishing,VBG
varian,JJ
vantage-points,NNS
vacations,NNS
valmet,NP
vaccine,NN
vasady,NP
vasorum,NN
vacationland,NN
valiantly,RB
varani,NP
vaginal,NN
vault,NN
varviso,NP
varitinted,JJ
vaults,NNS
vail,NP
vain,JJ
vattern,NP-TL
valentine,NP
varicolored,JJ
vagabond,NN
vacuum-,NN
value-orientations,NNS
varner,NP
value-problems,NNS
vaughan,NP
vachell,NP
van,NN
vallee,NP
vaccination,NN
vacation,NN
variously,RB
vanities,NNS
validating,VBG
vagina,NN
varigrad,NP
vacated,VBN
valley,NN-TL
vaguest,JJT
valuations,NNS
vagabonds,NNS-TL
validity,NN
vaguely,RB
vaguely-imagined,JJ
varying,VBG
vagueness,NN
valuation,NN
varieties,NNS
valued,VBD
va.,NP
vaccinating,VBG
vapor-pressure,NN
valle,NP-TL
vacancies,NNS
variations,NNS
value,NN
vanguard,NN-TL
values,NNS
vatican,NP
valery,NP
vacationers,NNS
valedictorian,NN-TL
va,NN
value-judgments,NNS
validly,RB
variegated,VBN
validated,VBD
vandiver,NP
vanish,VB
vagaries,NNS
varied,VBN
variety,NN
vagrant,JJ
vainly,RB
varies,VBZ
valid,JJ
vandalism,NN
vanished,VBD
vaster,JJR
vaulting,VBG
variant,NN
variation,NN
varnessa,NP
vacuum-formed,JJ
varlaam,NP
vases,NNS
variable,JJ
varnishes,NNS
validate,VB
vantage,NN
vadim,NP
validation,NN
valerie,NP
vacant,JJ
vacuumed,VBN
vapor,NN
valves,NNS
