term,tag
versed,JJ
vermilion,NN
verses,NNS
venturesome,JJ
veterinarians,NNS
velvety,JJ
verreau,NP
vermont's,NP$
venerated,VBN
vesicular,JJ
vex,VB
verse,NN
verbs,NNS
vendome,NP-TL
versa,RB
vents,NNS
verdant,JJ
veterans,NNS
versailles,NP
verboort,NP
versus,IN
vergessen,FW-NN
vet,NN
vendor,NN
veranda,NN
very,QL
verdi's,NP$
vera,NP
ventilating,VBG
vesole,NP
vegas,NP
vere,NP
vending,VBG
vero,NP-TL
vern,NP-TL
vertically,RB
veined,VBN
vests,NNS
verandah,NN
verner,NP
veering,VBG
velocities,NNS
verdi,NP
ventilation,NN
vector,NN
verdict,NN
veins,NNS
venus,NP
verandas,NNS
veritable,JJ
verbal,JJ
ventilates,VBZ
veracity,NN
vertebrates,NNS
ventilated,VBN
ventilator,NN
vectors,NNS
vented,VBN
veneration,NN
velvet,NN
verplanck's,NP$-TL
vernon's,NP$
veterinary,JJ-TL
venable,NP-TL
vessels,NNS
veneto,NP-TL
venom,NN
version,NN
verbally,RB
verie,QL
venezuela,NP
verloop,NP
vertical,JJ
vetoed,VBD
veto,NN
venice,NP
vernor,NP-TL
venusians,NPS
vernon,NP
venti,NP
venturi,NP
vestige,NN
vertical-takeoff-and-landing,NN
veer,VB
velon,NP-HL
ventures,NNS
vegetarian,NN
veered,VBD
vehemently,RB
veining,VBG
vehicular,JJ
verstandig,NP
veracious,JJ
ventured,VBD
vent,VB
vectrol's,NP$
vexed,VBN
vellum,NN
vexes,VBZ
verge,NN
vessel,NN
vertebrae,NNS
venn,NP
veldt,NN
vermeil,FW-JJ
verisimilitude,NN
vegetables,NNS
vertebrate,NN
vendors,NNS
vehemence,NN
vertigo,NN
vehicle,NN
ventricle,NN
venezuelan,JJ
veneer,NN
vestibule,NN
vesuvio's,NP$
verbatim,RB
vested,VBN
velour,NN
veridical,JJ
veers,VBZ
vernier,NN-TL
velasquez,NP
veteran's,NN$
versatility,NN
versatile,JJ
verity,NN
verrone,NP
veiled,VBN
versions,NNS
vertebral,JJ
vermejo,NP
venetian,JJ
ventura,NP
veterinarian,NN
verification,NN
venture,NN
vexatious,JJ
venomous,JJ
velours,NN
velociter,FW-RB
vernal,JJ
veronica,NN
vest,NN
ventricles,NNS
veiling,VBG
verges,NP
vectrol,NP
verloop's,NP$
vevay,NP
vestments,NNS
verify,VB
veteran,NN
verne,NP
veterans',NNS$-TL
venison,NN
vegetable,NN
vernacular,NN
vermouth,NN
vegetation,NN
venereal,JJ
venerable,JJ
vehement,JJ
vermeersch,NP
vertex,NN
vexing,VBG
vengeance,NN
vernava,NP
verboten,FW-VBN
verified,VBN
verbenas,NNS
veil,NN
vein,NN
vecchio,NP
vermont,NP
veeck's,NP$
verve,NN
vehicles,NNS
veblen,NP
verb,NN
veal,NN
velocity,NN
verstrichen,FW-VBN
veils,NNS
