term,tag
yearly,RB
year-end,JJ
yedisan,NP
yearningly,RB
yen,NN
yea,RB
yeats,NP
yeah,RB
yellow,JJ
years,NNS
yearning,NN
yearn,VB
year-old,JJ
year,NN
yeard,VBN
yes,RB
yearbook,NN-TL
yet,RB
yellin',VBG
yehhh,RB
yeasts,NNS
year-earlier,JJR
yelping,VBG
yellow-bellied,JJ
yellow-dwarf,NN
year-long,JJ
yellerish,JJ
year-'round,JJ
years',NNS$
yellowish,JJ
yearned,VBN
yeast,NN
ye,AT-TL
yesterday,NR
yellow-green,JJ
yelps,NNS
yehudi,NP
yellowing,VBG
yellowed,VBN
yelped,VBD
ye're,PPSS+BER
yeni,NP
yelling,VBG
yelp,NN
year-to-year,JJ
yesiree,UH
yellow-brown,JJ
year-round,JJ
year's,NN$
yearnings,NNS
yeller,JJ
yesterday's,NR$
yell,VB
yesteryear,NN
yelled,VBN
