term,tag
aa,NP-TL
aaawww,UH
aaa-ee,UH
aab/,NN
aah,UH
aaron,NP
aaa,NN
ached,VBD
accurate,JJ
activated,VBN
accommodations,NNS
actions,NNS
accosting,VBG
accompanist,NN
accolades,NNS
academeh,NN
acceptability,NN
acclimatized,VBN
activating,VBG
accacia,NP
acknowledge,VB
accredited,VBN
acres,NNS
acoustical,JJ
acoustically,RB
activate,VB
accompaniments,NNS
accompanists,NNS
acrobatics,NN
accelerometers,NNS
achieve,VB
actresses,NNS
activities,NNS
accusations,NNS
acoustic,JJ
actuate,VB
activation,NN
accusation,NN
acreage,NN
academics,NNS
acid-fast,JJ
achaeans',NPS$
actress,NN
accuse,VB
accretions,NNS
accumulate,VB
accepted,VBD
acetone,NN
acute,JJ
acquainted,VBN
accompanying,VBG
action-oriented,JJ
accidentally,RB
accelerating,VBG
acknowledgments,NNS
academicianship,NN-TL
activity,NN
accompanied,VBN
accelerations,NNS
accumulation,NN
accessible,JJ
accommodating,VBG
accuses,VBZ
accede,VB
achieved,VBN
acquired,VBD
across-the-board,JJ
accommodates,VBZ
achieves,VBZ
actualities,NNS
accused,VBN
accelerate,VB
accelerators,NNS
actor-crooner,NN-TL
acid,JJ
ackerly,NP
actives,NNS
accomplice,NN
acquires,VBZ
accomplish,VB
acknowledgment,NN
accreditation,NN
activism,NN
acquisitiveness,NN
access,NN
accademia,NP
acting,VBG
actuated,VBN
action-packed,JJ
acropolis,NP
across,IN
acutely,RB
accessions,NNS
achievements,NNS
acheson,NP
accord,NN
accomplices,NNS
acheson's,NP$
actuarial,JJ
accountable,JJ
acadia,NP-TL
accommodated,VBN
active,JJ
ache,VB
accommodation,NN
acidulous,JJ
accident,NN
actual,JJ
acquiesce,VB
ace,NN
accordion,NN
accepts,VBZ
according,IN
acs,NP
accomplished,VBD
accidental-war,JJ
aconte,NN
acquittal,NN
achaeans,NPS
act,NN
action,NN
accomodations,NNS
acetonemia,NN
acala,NP
acted,VBN
acknowledgement,NN
accruing,VBG
accumulates,VBZ
accommodate,VB
accomplishments,NNS
accounts,NNS
accusingly,RB
achilles,NP
accumulated,VBN
actually,RB
acrid,JJ
actuarially,RB
accomplishing,VBG
acquiesced,VBN
accelerator,NN
acquaint,VB
accentuate,VB
acceptance,NN
accent,NN
accountant,NN
accountability,NN
acre-feet,NNS
accordingly,RB
accretion,NN
acre,NN
accords,VBZ
achieving,VBG
accrues,VBZ
accompany,VB
actor's,NN$
academy,NN-TL
acceptable,JJ
acquire,VB
acquiesence,NN
accurately,RB
accessibility,NN
acquiescence,NN
accompaniment,NN
acetate,NN
acquiring,VBG
accomplishes,VBZ
account,NN
accentual,JJ
accardo,NP
accordance,NN
accelerometer,NN
accomplishment,NN
accesses,NNS
acting-president,NN-TL
actively,RB
accustomed,VBN
acrobats,NNS
accrued,VBD
acquisition,NN
accusing,VBG
acclaim,NN
accentuated,VBN
acculturation,NN
acidity,NN
acculturated,VBN
accents,NNS
accessories,NNS
accept,VB
aces,NNS
acey,NP
accentuates,VBZ
acourse,RB
acclaimed,VBN
acolyte,NN
accounting,VBG
academically,RB
acacia,NN
acrobatic,JJ
acceleration,NN
aches,VBZ
acquitted,VBN
acts,NNS
accolade,NN
actor,NN
acth,NP
acumen,NN
actors,NNS
aching,VBG
accumulating,VBG
acrylic,NN
actuality,NN
accompanies,VBZ
accuracy,NN
acknowledging,VBG
accidental,JJ
academies,NNS
acorns,NNS
accosted,VBN
accessory,NN
