term,tag
abilities,NNS
absent-minded,JJ
absurdities,NNS
absorbing,VBG
abbreviation,NN
abstain,VB
abernathy,NP
absorbs,VBZ
above-ground,JJ
abundant,JJ
abreast,RB
abstention,NN
absoluteness,NN
abstractors,NNS
absorption,NN
abhorred,VBD
abbey,NN-TL
abhorrent,JJ
abiding,VBG
absence,NN
abra,NP
abides,VBZ
"ab1,040",CD
abode,NN
abused,VBN
abbe,NP
above-noted,JJ
absorptive,JJ
abound,VB
abduction,NN
abstractive,JJ
absurdly,RB
abolitionists,NNS
abstrusenesses,NNS
abjection,NN
abscesses,NNS
ablard,NP
abyssinians,NPS
abbreviated,VBN
abstractionism,NN
abstracted,VBD
absolutely,QL
abundantly,QL
abler,JJR
abolitionist,NN
ab63711-r,NP
ablaze,RB
absurdity,NN
abc,NP-TL
abe,NP
abetted,VBD
abide,VB
abo,NN
above-water,JJ
abell,NP
abounding,VBG
absolution,NN
above,IN
ablated,VBN
abstractionists,NNS
abbott,NP
ability,NN
aberration,NN
abdallah,NP
abstractly,RB
abounds,VBZ
aboriginal,JJ
abnormally,QL
abeyance,NN
"ab4,500",CD
absented,VBD
abroad,RB
abruptly,RB
about,IN
abasement,NN
abstractedness,NN
abstinence,NN
absorbency,NN
absentmindedly,RB
absenteeism,NN
abolition,NN
abounded,VBD
absolutes,NNS
absent-mindedly,RB
aber,FW-CC
abortive,JJ
abusive,JJ
above-mentioned,JJ
abed,RB
abutments,NNS
abel,NP
aberrant,JJ
abrogated,VBN
abstracting,VBG
aback,RB
abjectly,QL
abdominal,JJ
abstractions,NNS
abbreviations,NNS
abernathys,NPS
abstaining,VBG
absentee,NN
abbas,NP
aborigine,NN
abbe-scotch,NP
abroade,RB
aberrations,NNS
abrams,NP
abridged,VBN
abnormal,JJ
absorptions,NNS
abdominis,NN
abortions,NNS
abject,JJ
abandoning,VBG
abundance,NN
absent,JJ
abandoned,VBN
abaringe,NN
abortion,NN
abrupt,JJ
abuses,NNS
abandon,NN
abolished,VBN
abstracts,NNS
abbot,NN
ab,NP-TL
abruptness,NN
abbe-direct,NP
abstract,NN
abandonment,NN
abel's,NP$
abner,NP
abelson,NP
abnormalities,NNS
abatuno,NP
absolute,JJ
abyss,NN
absorber,NN
absences,NNS
abysmal,JJ
absinthe,NN
abilene,NP-TL
abbas's,NP$
able,JJ
abigail,NP
abolish,VB
ably,RB
absorbed,VBD
absentia,NN
aboard,RB
abstraction,NN-TL
absorb,VB
abated,VBD
aboveground,JJ
abdomen,NN
aborigines,NNS
abuse,NN
absently,RB
abridgment,NN
about-faced,VBD
abscissa,NN
ablation,NN
absurd,JJ
abrasion-resistant,JJ
abreaction,NN
abraham,NP
abberations,NNS
