term,tag
advertises,VBZ
advisory,JJ
adorned,VBN
adios-rena,NP
adagios,NNS
adjustments,NNS
ad-lib,NN
adjective,NN
advertiser,NN-TL
advertised,VBD
adamantly,QL
adrenal,JJ
adjustment,NN
advertisement,NN
administer,VB
adolescence,NN
admirably,RB
adding,VBG
adamant,JJ
ads,NNS
adios,FW-UH
advisers,NNS
admission,NN
advertisements,NNS
advancement,NN
adler,NP
add,VB
ade,NP
adoption,NN
adc,NN
ada,NP
ado,NN-TL
adequate,JJ
administrative,JJ
adventists',NPS$
advises,VBZ
adviser,NN
advisors,NNS
adjacent,JJ
adversaries,NNS
advances,NNS
adventurers,NNS
advocate,NN-TL
addicts,NNS
admitting,VBG
adheres,VBZ
advised,VBD
adhered,VBN
adventurous,JJ
advanced,VBD
administration's,NN$
adenauer,NP
adulthood,NN
admonished,VBD
adams,NP
admittedly,RB
adjournment,NN
admitted,VBD
adelia,NP
admissible,JJ
adlai,NP
adjust,VB
adherence,NN
adamo,NP
adapters,NNS
adulterous,JJ
adobe,NN
administratively,RB
advent,NN
admonition,NN
advocated,VBN
adulation,NN
adieu,FW-UH
adair's,NP$
advertisers,NNS
advertise,VB
adorns,VBZ
adequately,RB
adjuncts,NNS
adams's,NP$
adds,VBZ
advantageous,JJ
addicted,VBN
adhere,VB
adhesion,NN
adame,NP
adapt,VB
adventuring,VBG
adjudged,VBN
adjudging,VBG
admixed,VBN
adorable,JJ
adversity,NN
adhesives,NNS
adhesive,JJ
admirers,NNS
admits,VBZ
adept,JJ
addabbo,NP-HL
advisability,NN
advantages,NNS
admirals,NNS
adolescent's,NN$
address,VB
adjoined,VBD
adulterers,NNS
adversary,NN
adolf,NP-TL
adapting,VBG
advance,VB
adverb,NN
adores,VBZ
adage,NN
adapter,NN
adjusts,VBZ
adventures,NNS
adored,VBD
admit,VB
adolphus,NP
advertising,VBG
adrian,NP
adopting,VBG
adorn,VB
adapted,VBN
adulterated,VBN
additives,NNS
addict,NN-HL
adams',NP$
adjusted,VBN
adjustable,JJ
addresses,NNS
adroitness,NN
adroit,JJ
advisor,NN
adios-on,NP
adjudication,NN
adduce,VB
addressed,VBD
adsorbs,VBZ
adjoining,VBG
adaptation,NN
adverbs,NNS
add-on,JJ
advantageously,RB
additions,NNS
adios-direct,NP
adventitious,JJ
adults,NNS
adipic,JJ
additive,NN
additional,JJ
adolescent,NN
addition,NN
adjoins,VBZ
adopted,VBN
adequacy,NN
adios-trustful,NP
administering,VBG
adenomas,NNS
adopts,VBZ
addison,NP
adverbial,JJ
adrar,NP
adjourned,VBD
adagio,NN-TL
adjusting,VBG
admassy's,NP$
adonis,NP
adrianople,NP
administrators,NNS
adaptable,JJ
advisement,NN
adult,JJ
adelos,NP
adnan,NP
aderholds,NPS
admassy,NP
admonishments,NNS
admiration,NN
advocating,VBG
adaptations,NNS
adair,NP
addle-brained,JJ
admonitions,NNS
adenauer's,NP$
advocacy,NN
admire,VB
adore,VB
advertising-conscious,JJ
advisable,JJ
admiralty,NN
advising,VBG
admired,VBD
addressing,VBG
ad,FW-IN
ada's,NP$
adminstration,NN
adoniram,NP
adaptaplex,NP-TL
advancements,NNS
adherent,JJ
adele,NP
adolescents,NNS
adultery,NN
admirer,NN
adversely,RB
advancing,VBG
adcock,NP
adrift,RB
advantage,NN
adjourns,VBZ
administered,VBN
administration,NN
adjectives,NNS
admittance,NN
adjunct,NN
adverse,JJ
administers,VBZ
addressees,NNS
advise,VB
adjourning,VBG
administrator,NN
added,VBD
adamson,NP
advice,NN
adriatic,NP
adirondack,NP
adventure,NN
additionally,RB
advisedly,RB
adherents,NNS
admissions,NNS-TL
adrien,NP
adirondacks,NPS
adjudicate,VB
admires,VBZ
adam's,NP$
adsorbed,VBN
adopt,VB
admiring,VBG
adjectival,JJ
advocates,NNS
admonishing,VBG
adam,NP
admiringly,RB
addiction,NN
adventists,NPS
admirable,JJ
