term,tag
agamemnon,NP-TL
agreed,VBD
agnese,NP
aghast,JJ
agricultural,JJ
aggressive,JJ
agrees,VBZ
aggression,NN
agleam,JJ
aggravate,VB
agile,JJ
aggregations,NNS
agitator,NN
agnomen,NN
agoeng,NP
agglomeration,NN
ague,NN
aggregation,NN
aggressively,RB
agglutinating,VBG
aggrieved,VBN
agrarian,JJ
aggravates,VBZ
agitate,VB
aggravated,VBD
agriculture,NN
agricolas,FW-NNS
agrippa,NP
agencies,NNS
agreement,NN
aggie,NP
age-old,JJ
against,IN
agatha,NP
agrobacterium,NP
agreed-on,JJ
agates,NNS
agitators,NNS
agglomerate,VB
agents,NNS
agriculture's,NN$-TL
agin,RB
agreeably,RB
agent's,NN$
agonale,NP
agreements,NNS
agreeable,JJ
agility,NN
aggressions,NNS
agonies,NNS
age-and-sex,NN
ageless,JJ
agriculturally,RB
agglutinin,NN
aggressor,NN
agree,VB
agonized,VBN
agitation,NN
ages,NNS
agent,NN
agonizes,VBZ
aggressiveness,NN
agee,NP
aged,VBN
again,RB
aged-care,NN
agreed-upon,JJ
agreeing,VBG
agony,NN
agency,NN
agreeableness,NN
agone,NP-TL
agitated,VBN
agamemnon's,NP$
agglutination,NN
agenda,NNS
agilely,RB
aging,VBG
aggies,NPS
agitating,VBG
agglutinins,NNS
aggregate,JJ
agonizing,JJ
agayne,RB
ago,RB
age,NN
agnostics,NNS
agnes,NP
