term,tag
aided,VBN
aiken,NP-TL
airstrip,NN
air-drifts,NNS
ai,NP-TL
aikin,NP
airdrops,NNS
ailment,NN
air-conditioning,NN
airmen,NNS
aide,NN
aiding,VBG
airframe,NN
aimed,VBD
aides,NNS
ailing,VBG
aids,NNS
airplane,NN
aid-to-education,NN
airmail,NN
airman's,NN$
airfield,NN
ailey,NP
air-to-surface,JJ
aimlessly,RB
aide-de-camp,FW-NN
ailey's,NP$
airlines,NNS
airborne,JJ
air-conditioned,JJ
aiee,NN
airs,NNS
airy,JJ
airedale,NP-TL
aiche,NN
airily,RB
ainsley,NP
airspeed,NN
aircraft's,NN$-TL
air-frame,NN
ainu,NP
airways,NNS
airlift,NN
airplanes,NNS
aimo,NN
airstrips,NNS
aircraft,NN
airpark,NP
ain't,BEZ*
ailerons,NNS
airless,JJ
ainus,NPS
aiming,VBG
airlock,NN
air-cell,NN
aired,VBN
aisle,NN
aimless,JJ
airports,NNS
airflow,NN
airfields,NNS
airline's,NN$-TL
aid's,NN
aims,NNS
air,NN
aim,VB
airport,NN
airline,NN
ainsworth,NP
aid,VB
aida,NP
aia,NN
ailments,NNS
