term,tag
baringer,NP
bagpipe,NN
bakhtiari,NP
baited,VBN
barrymores,NPS
barons,NNS
bandits,NNS
battle,NN
barbecue,NN
battleground,NN
barony,NN
ballet,NN
baron,NN
balenciaga,NP
balled,VBN
bays,NNS
bangles,NNS-TL
barnumville,NP
battle-ax,NN
ballooning,VBG
barium,NN
barn-burner's,NN$
baton,NP
balancing,VBG
bast,NP
bathos,NN
basics,NNS
baking,VBG
banished,VBN
basophilic,JJ
badura-skoda-vienna,NP
barracks,NN
barbara,NP
bahia,NP-TL
batwings,NNS
bandoleers,NNS
baku,NP
bacon,NN
bayed,VBN
baileefe,NN
bacterial,JJ
bake,JJ-TL
bales,NNS
bacteria,NNS
barstow,NP
bafflers,NNS-TL
barbiturate,NN
baptistery,NN
bachelors,NNS
badge,NN
ballestre,NP
banister,NN
bandwagon,NN
baroness,NN
bangkok,NP
bachelor,NN
baseball,NN
backlash,NN
bakersfield,NP
balance,NN
battling,VBG
bangs,NNS
babatunde,NP
baptiste,NP
bar-h,NP
bathe,VB
barbarous,JJ
barker,NP-TL
bayonet,NN
bathers,NNS
barcus,NP
baptists,NPS
ballets,NNS
barnstormer,NN
baer,NP
baltimorean,NP
bayou,NP-TL
bastion,NN
balks,VBZ
balustrade,NN
ballad,NN
barkeep,NN
bathtubs,NNS
balkanizing,VBG-TL
babe,NP
bayerische,FW-JJ-TL
basically,RB
baby,NN
balls,NNS
bartender,NN
battle-shattered,JJ
barton's,NP$
bare-footed,JJ
battlefront,NN
backwards,RB
balm-of-gilead,NN
bankhead,NP
bashir,NP
baths,NNS
babbiting,VBG
battered,VBN
bantus,NPS
base-runner,NN
banding,VBG
bankrupt,VB
bad-fitting,JJ
ballards,NNS
bandaging,NN-TL
backstairs,RB
bawdy,JJ
banbury,NP
badly,RB
ballroom,NN
bawh,NN
bas-relief,NN
barataria,NP
bang-jensen's,NP$
barney,NP
backyard,NN-TL
ballads,NNS
balafrej,NP
badlands,NPS
basked,VBD
bari's,NP$
bathed,VBN
badrawi,NP
backwoods,NNS
baggage,NN
bakery,NN
barbs,NNS
barbital,NN
basket,NN
backdrop,NN
bathing,VBG
bayly,NN
barnard,NP-TL
barnyard,NN
backwoods-and-sand-hill,JJ
banged,VBD
badges,NNS
backpack,NN
backers,NNS
bay-front,NP
badgering,VBG
bans,VBZ
babylonians,NPS
bashful,JJ
bastard's,NN+BEZ
battenkill,NP
band,NN
bang,NN
barnard's,NP$
bath,NN
bartholf,NP-TL
balance-of-payments,NN
bank,NN
bas,FW-RB-TL
battlefields,NNS
barbudos,NPS
bacchus,NP
bartok,NP
backgrounds,NNS
bartol,NP
baylor,NP
bantu,JJ
bas-reliefs,NNS
back-issue,NN
barnett,NP
ballistics,NNS
barrel-vaulted,JJ
baffin,NP-TL
banal,JJ
barsacs,NPS
bauble,NN
barometric,JJ
banishes,VBZ
barbaric,JJ
bauhaus,NP
baseballight,NN
barley,NN
banning,NN
base-stealing,JJ
bale,NN
bade,VBD
bates',NP$
balkan,NP
bass,NN
barrier,NN
badinage,NN
babcock,NP
basking,VBG
base,NN
barricades,NNS
backed,VBD
baroque,JJ
baseman,NN
bam,NP
bates,NP-TL
barns,NNS
backside,NN
basso,NP
banker-editor,NN
backwater,JJ
bassi,NP
bar-buddy,NN
bah,UH
barriers,NNS
baltic,JJ-TL
bandages,NNS
barbarian,NN
bannnnnng,UH
baudelaire,NP
bandaged,VBN
bayreuth,NP
basketball,NN
baullari,NP
balcolm,NP
ballistic,JJ
badness,NN
banana,NN
ballyhooey,NN
bastianini,NP
basler,NP
barge,NN
baldy,NP
baroreceptor,NN
baptized,VBN
barrington,NP
ballard,NP
badmen,NNS
battering,VBG
bauer,NP
bancroft's,NP$
bard,NN
bassinet,NN
