term,tag
capellan,JJ
carnality,NN
caused,VBN
calorimetric,JJ
candidates',NNS$
cabdriver,NN
cameron,NP
cattlemen,NNS
captain,NN
causes,VBZ
carpet,NN
cat-like,JJ
capering,VBG
calculate,VB
caldwell,NP
cavity,NN
carport,NN
candour,NN
carpenters,NNS
carelessly,RB
carters,NPS
calif.,NP
cathy's,NP$
cardiomegaly,NN
carefree,JJ
cadaver,NN
cavaliere,FW-NN-TL
cataclysmic,JJ
candid,JJ
caliphs,NNS
capillary,NN
candide,NP
categories,NNS
cable,NP
cabs,NNS
capitalist-democratic,JJ
camaraderie,NN
cannery,NN
cascading,VBG
cagayan,NP
catastrophes,NNS
cap'n,NN
cal-neva,NP
car's,NN$
caneli,NP
carter,NP
camelot,NP
carla,NP
carted,VBN
canaveral's,NP$-TL
cask,NN
cassocked,JJ
canvass,VB
carlo,NP-TL
casual,JJ
cargo,NN
casino's,NN$
causally,RB
cast,NN
caseworkers,NNS
carthago,FW-NP
capital,NN
caving,VBG
carolinas,NPS
caveat,NN
carl's,NP$
capetown,NP
carbon-halogen,NN
categorically,RB
capacitor,NN
caravaggio,NP
canals,NNS
cardboard,NN
catastrophe,NN
calvinist,JJ-TL
canadian,NP
campsites,NNS
casino,NN
caldwell's,NP$
calvin,NP
calimala,FW-NN-TL
calder,NP
carleton,NP-TL
carleton's,NP$
carbons,NNS
cathy,NP
cap-and-ball,NN
cancellation,NN
carousing,VBG
carpets,NNS
captions,NNS
campaign,NN
caravan,NN
caltech's,NP$
captaincy,NN
canyonside,NN
caligula,NP
calligraphy,NN
causal,JJ
carpentier,NP
carbide,NN
cawing,VBG
catchy,JJ
cannibal,NN-TL
candies,NNS
capercailzie,NN
camera,NN
call,VB
calm,JJ
calligraphers,NNS
calf,NN
carved-out-of-solid,JJ
cathodophoretic,JJ
career-bound,JJ
cave-like,JJ
capitalizing,VBG
carmody,NP
cased,VBD
canonized,VBN
casey,NP
carrying,VBG
calorimeter,NN
cackly,JJ
cases,NNS
casualties,NNS
campobello,NP-TL
carried,VBD
carmer,NP
captain's,NN$-TL
catechism,NN
carrara,NP
car,NN
cap,NP
caliche-topped,JJ
cav,NP-TL
candlestick,NN-TL
cat,NN
cav's,NP$-TL
categorizing,VBG
can,MD
cal.,NP
cal,NP
cappy's,NP$
cab,NN
carmen,NP
casanova,NP
calculation,NN
castro-held,JJ
carroll,NP
castillo,NP
carrot,NN
caution,NN
camellias,NNS
cantonese,NP
cartwheels,NNS
cause-and-effect,JJ
cave-men,NNS
cane's,NN+BEZ
carriers,NNS
capistrano,NP
campers,NNS
cadre,NN
camille,NP
catskills,NPS
cardinal,JJ
casassa,NP
cadence,NN
cavin,VBG
cardamom,NN
cadillac,NP
canker,NN
catalog,NN-TL
cadmium,NN
cardiac,JJ
cabbage,NN
capitalize,VB
canandaigua,NP
calves,NNS
candles,NNS
calenda,NP
capacitors,NNS
capitalism,NN-TL
cascade,VB
capitalist,NN
carpathians,NPS
careened,VBD
cautions,VBZ
carnegie-illinois,NP
cabinetmakers,NNS
carnal,JJ
cattaloe,NN
cardiovascular,JJ
caucasus,NP
californians,NPS
capitoline,NP-TL
carpeted,VBN
carols,NNS-TL
catchers,NNS
cathodoluminescent,JJ
castigated,VBD
capote,NP
caroli,NP
carruthers,NP
cairoli,NP
carve,VB
camilla,NP
carpentry,NN
cain't,MD*
campaigned,VBD
captivated,VBD
carolingian,JJ
castros,NPS
cassiopeia,NP
catchwords,NNS
carolinians,NPS-TL
cage,NN
campuses,NNS
capital-gains,NNS
cadenza,NN
calipers,NNS
capricorn,NP-TL
calibrating,VBG
cassius,NP
carmack,NP
cantonment,NN
capability,NN
cannibalistic,JJ
capricious,JJ
cashmere,NN
carpenter's,NN$
calibrations,NNS
calmly,RB
catalogues,NNS
cavanagh,NP
carwood's,NP$
cabanas,NNS
carvalho,NP
campground,NN
catching,VBG
carryovers,NNS
cathedral,NN
catcher's,NN$
catalogued,VBN
canada,NP
canvas,NN
candlelight,NN-TL-HL
cameras,NNS
cancels,VBZ
carnarvon's,NP$-TL
cabot's,NP$
cauffman,NP
carnegey,NP
cavallinis,NPS
cassite,JJ
cause,NN
caucasian,JJ
carloads,NNS
calmest,JJT
canal,NN-TL
campaigne,NP
carcass,NN
carr,NP
cars,NNS
calumniated,VBN
cart,NN
campaigns,NNS
caravans,NNS
carbones,NPS
california,NP
campgrounds,NNS
carl,NP
care-free,JJ
capt.,NN-TL
card,NN
care,VB
canestrani,NP
carnival,NN
cackled,VBD
calories,NNS
calvary,NP
canterbury,NP-TL
cain,NP
castle,NN
carloading,NN
cannonball,NN
caged,VBN
carney,NP
carre,FW-NN-TL
carryover,NN
cady,NP
catalysts,NNS
camping-out,JJ
carry,VB
categorize,VB
calorie,NN
canneries,NNS-TL
caloric,JJ
cartesian,JJ
castaneda,NP
categorical,JJ
carrel,NP
caught,VBD
callous,JJ
carload,NN
carson,NP
cannibals,NNS
calculations,NNS
canvassers,NNS
catt,NP
casework,NN
carriage-step,NN
cabin,NN
catherine's,NP$
calluses,NNS
cartridges,NNS
carrier-current,JJ
carboxy-labeled,JJ
catered,VBD
cartels,NNS
carabao,FW-NN
cartoonist,NN
calamity,NN
canticle,NN-TL
cards,NNS
canteloube,NP
camouflaged,VBN
carmer's,NP$
cafritz,NP
carrots,NNS
caleb,NP
casals,NP
caress,VB
case's,NP$
cavern,NN
categorized,VBN
careening,VBG
calisthenics,NNS
catholic,JJ
catapults,VBZ
castor,NN
cavemen,NNS
cave,NN
camouflage,VB
caius,NP
causing,VBG
callously,RB
caliber,NN
cancer-ridden,JJ
candidly,RB
cathedrals,NNS
caton's,NP$
camper,NN
carnochan,NP
callable,JJ
caricatured,VBN
carcasses,NNS
calcutta,NP
canny,JJ
cappy,NP
camped,VBN
calving,VBG
cabrini,NP
cams,NNS
caucusing,VBG
calculated,VBN
camp,NN
caetani,NP
capita,NNS
callers,NNS
calmness,NN
catherwood,NP
came,VBD
catalyst,NN
casebook,NN
canadian's,NP$
caved,VBN
cardiovasculatory,JJ-TL
case-to-case,JJ
carne,FW-NN
calculable,JJ
carefully,RB
catapulted,VBD
caruso,NP
caper,NN
capes,NNS
cavort,VB
capet,NP
canvassing,NN
carbine,NN
cache,NN
cahoots,NNS
catkin,NN
callin',VBG
cashews,NNS
candidates,NNS
cameos,NNS
calibers,NNS
carmine,NP-TL
cautioned,VBD
caroline,NP
carolina,NP
capsules,NNS
cambodia's,NP$
canyons,NNS
cannon,NN
cardinals,NNS
capsule,NN
cannot,MD*
carmichael,NP
catches,VBZ
catcher,NN
castro's,NP$
calling,VBG
carbines,NNS
capstan,NN
caramel,NN
cartoons,NNS
camels,NNS
carsten,NP
cavorted,VBD
catastrophic,JJ
capitalists,NNS
casca,NP
canine,NN
cairns,NP
cattle,NNS
calendar,NN
catapulting,VBG
caravan's,NP$
campaign's,NN$
cat's,NN$
capone,NP
capacity,NN
campaigners,NNS
camping,VBG
candidate-picking,JJ
calhoun,NP
canons,NNS
calfskin,NN
catalogue,NN
calderone,NP
cancers,NNS
caves,NNS
cantered,VBD
caucus,NN
cancelling,VBG
cantaloupe,NN
candor,NN
catalogs,NNS
cauliflower,NN
capitalistic,JJ
carbonates,NNS
carbon,NN
cavorting,VBG
career,NN
carelessness,NN
carraway,NP
cafes,NNS
carreon,NP
called,VBN
canto,FW-NN
canadians,NPS
canopy,NN
can't,MD*
capello,FW-NN-TL
cakes,NNS
cancer,NP-TL
carbonyl,NN
cavalrymen,NNS
caverns,NNS-TL
canyon,NN
catchee,VB
caked,VBN
cancel,VB
caring,VBG
caricature,NN
cam,NP
cavities,NNS
cares,VBZ
catholicism,NN-TL
carey,NP
cabins,NNS
cared,VBD
calhoun's,NP$
calculi,NNS
catechize,VB
captives,NNS
capably,QL
calude,NP
carolina's,NP$
canceling,VBG
cantor,NP
camusfearna,NP
caddy,NP
catering,VBG
catch,VB
carboloy,NP
capone's,NP$
careful,JJ
calcified,VBN
captivity,NN
case,NN
campagnoli,NP
canteen,NN
capsicum,NN
cash,NN
castro,NP
cadesi,NP
canute,NP
calcium,NN
canoes,NNS
cagey,JJ
cages,NNS
cargill's,NP$
cancelled,VBN
cantles,NNS
carausius,NP
capitalists',NNS$
cameo-like,JJ
cane,NN
canvassed,VBN
canoe,NN
california's,NP$-TL
carlson,NP
carboxymethyl,NN
canon,NN
captors,NNS
camp-made,JJ
cab's,NN$
canceled,VBN
cant,NN
cans,NNS
campaigning,VBG
cavernous,JJ
canvases,NNS
capture,VB
calamitous,JJ
cabana,NN
carthage,NP
cabot,NP
catfish,NN-TL
carrier-based,JJ
carbondale,NP
carwood,NP
case-by-case,JJ
cartridge,NN
cartilage,NN
cauterize,VB
cafeterias,NNS
calculators,NNS
canister,NN
catheter,NP
calcification,NN
cartoon,NN
canned,VBN
carriages,NNS
castigates,VBZ
campo,NP
caressing,VBG
calibration,NN
caterpillar,NN
calibrated,VBN
casbah,NP
catharsis,NN
camps,NNS
catatonia,NP
case-history,NN
cameramen,NNS
cathode,NN
calinda,NN
cameo,NN-TL
capitol,NN-TL
carrie,NP
camel,NN
captures,NNS
capitulation,NN
cambridgeport,NP
campbell,NP
cabaret,NN
captured,VBN
capital's,NN$
cast-iron,NN
catalytic,JJ
candidate,NN
caucuses,NNS
canisters,NNS
cayenne,NN
calibre,NN
capabilities,NNS
caesar,NP
careworn,JJ
careers,NNS
canter,NN
catskill,NP
casting,VBG
captivating,JJ
casually,RB
capacities,NNS
calendars,NNS
caps,NNS
carpenters',NNS$
capo,NP
canted,VBN
cape,NN-TL
carbon-14,NN
cantilevers,NNS
calypso,NN
callas,NP
capitals,NNS
carla's,NP$
candy,NN
catastrophically,QL
call-backs,NNS
callan,NP
captious,JJ
carreer,NN
caliper,NN
captive,NN
camera's,NN+BEZ
catinari,NP-TL
castorbeans,NNS
candle,NN
carlyle's,NP$
carty,NP
caribbean,NP-TL
carts,NNS
campmate,NN
campfire,NN
calf's-foot,NN
careless,JJ
carte,NN
calmed,VBN
casters,NNS
camilo,NP
casks,NNS
cadaverous,JJ
carefulness,NN
carob,FW-NN
calmer,JJR
caron,NP
capacious,JJ
carol,NP
caskets,NNS
cartons,NNS
cautious,JJ
campitelli,NP
casuals,NNS
carrozza,FW-NN
campagna,FW-NN
careerism,NN
capable,JJ
cacophonist,NN
carries,VBZ
carrier,NN
carcinoma,NN
canning,VBG
calloused,VBN
cadet,NN-TL
cambridge,NP
carolyn,NP
castanets,NNS
caretaker,NN
camp's,NN$
catherine,NP
cascaded,VBN
candlewick,NN
camden,NP-TL
capped,VBD
carving,VBG
cascades,VBZ
calorie-heavy,JJ
cafeteria,NN
calming,VBG
