term,tag
dawning,VBG
dashes,VBZ
dance,NN
dancers,NNS
damsel,NN
damed,VBN
datum,NN
daniel's,NP$
davis',NP$
day-to-day,JJ
dalton,NP
darkest,JJT
davao,NP
dais,NN
darkly,RB
dampening,VBG
dauntless,JJ
daydreaming,NN
darted,VBD
dallas-based,JJ
daley,NP
damascus,NP
dalles,NP-TL
dairy,NN
dartmouth,NP
dales,NNS
darwin,NP
daintily,RB
daises,NNS
dad,NN-TL
dandy,NP
dag,NP
day-by-day,JJ
dam,VBN
dan,NP
da,NP
dark,JJ
dark-gray,JJ
darn,VB
dance-theatre,NN
dannehower,NP
damnit,UH
dapper,JJ
day,NN-TL
dare,VB
dampen,VB
dairy-oh,UH
daughter's,NN$
dark-haired,JJ
daydreamed,VBD
danchin,NP
damning,VBG
daughters,NNS
dante's,NP$
darbuka,NN
daybed,NN
dack-rihs,NNS
datelined,VBN
dan's,NP$
dante,NP
dakota,NP-TL
daylight,NN
danseur,NN
damnation,NN
darkening,VBG
darkhaired,JJ
dawn,NN
danube,NP-TL
dauphine,NP
daddy's,NN$-TL
dangled,VBD
darkness,NN
darrow,NP
daytime,NN
daniel,NP
dare-base,NP
davidson's,NP$
damas,NP
darling,JJ
dating,VBG
dauphin,NN
dark-brown,JJ
dashiell,NP
daggerman,NN
dangling,VBG
dark-skinned,JJ
daffodils,NNS
dandily,RB
dabbled,VBD
danny's,NP$
dang,JJ
dashing,VBG
dabbles,VBZ
days',NNS$
data-handling,NN
dan'l,NP
darwinism,NP
darius,NP
dates,NNS
daughter,NN
daunted,VBN
days,NNS
dana's,NP$
david,NP
dated,VBN
daubed,VBD
davis,NP
darlin',JJ
daisies,NNS
danzig,NP
day's,NN$
daylight's,NN$
daybreak,NN
danced,VBD
dabbing,VBG
danger,NN
das,FW-AT-TL
dancers',NNS$
darlene,NP
danged,VBN
dances,VBZ
dancer,NN
dark-blue,JJ
dabbler,NN
davits,NNS
dade's,NP$
dachshund,FW-NN
darwen,NP
darnell,NP
dagers,NNS
dappertutto,NP
dainty-legged,JJ
dams,NNS
damp,JJ
daniels,NP
dawns,VBZ
dazzling,VBG
dabhumaksanigalu'ahai,FW-VB
daer,NP-TL
damn,NN
dangers,NNS
daunt,VB
damaging,VBG
dame,NN
darkling,JJ
danish,JJ
darting,VBG
dampness,NN
dabbed,VBD
danbury,NP-TL
danehy,NP
danville,NP
dalton's,NP$
dammit,UH
davy,NP
danubian,NP
dave,NP
daly,NP
dangle,VB
dadaism,NP
dainty,JJ
dalzell-cousin,NP
dangerous,JJ
dans,FW-IN-TL
dabbling,VBG
dandy's,NP$
dank,JJ
dashboard,NN
dazed,VBN
darwin's,NP$
dane,NP
daddy,NN
davenport,NN
damned,VBN
dana,NP
darker,JJR
darling's,NP$
danes,NPS
dazzled,VBN
dash,NN
darrell,NP
dangerously,RB
dazzles,VBZ
dazzler,NN
dawson,NP
dartmouth's,NP$
day-after-day,JJ
damaged,VBD
daring,VBG
dallas,NP
dashed,VBD
dandelion,NN
damage,NN
da-da-da-dum,UH
damages,VBZ
damon,NP
dashwood,NP-TL
dammed-up,VBN
dark-green,JJ
davidson,NP
dalloway,NP
dale,NP
dampened,VBD
dali,NP
dazzle,VB
dak.,NP
daylights,NNS
dave's,NP$
dammed,VBD
dappled,VBN
date,NN
dailey,NP
data-processing,JJ
data,NN
davy's,NP$
darned,VBN
danaher,NP
danny,NP
darin',VBG
dallas-headquartered,JJ
dade,NP-TL
dancing,VBG
daily,JJ
dared,VBN
day-watch,NN
darkened,VBD
daphne,NP
dancelike,JJ
dactyls,NNS
dares,VBZ
dam',JJ
david's,NP$
