term,tag
donation,NN
dooms,NNS
dogged,JJ
donning,VBG
don't,DO*
doubts,NNS
dollar,NN
dope-ridden,JJ
doubtful,JJ
double-talk,NN
downcast,JJ
dough,NN
dollar-britten,NP
dorothy,NP
dog-pin,NN
dost,DO
double-crossing,NN
downers,NP-HL
downright,QL
double-,JJ
double-strength,JJ
domicile,NN
dowling's,NP$
doolittle's,NP$
dolly,NP
dooleys,NPS
double-header,NN
double-married,JJ
doctorate,NN
donned,VBD
dolls,NNS
dodge,VB
do,DO
doubting,VBG
doped,VBN
dominant,JJ
downstream,RB
doyle's,NP$
dorenzo,NP
downs,NP
doorbell,NN
doghouse,NN
documentaries,NNS
downtrend,NN
dock,NN
domesticity,NN
doyle,NP
donald,NP
dodington,NP
docile,JJ
doughnuttery,NP
documented,VBN
dose,NN
domestic,JJ
dog-eared,JJ
doffing,VBG
donate,VB
doorways,NNS
doubtingly,RB
dogberry,NP
dowex-2-chloride,NP
doble,FW-JJ
dodged,VBD
doubled,VBD
doting,VBG
domestically,RB
docilely,RB
donations,NNS
donna,NP
doctor's,NN$
dogmatic,JJ
donated,VBN
downward,RB
dodger,NP
double-step,NN
doled,VBD
dosed,VBN
donnay,NP
domain,NN
doggone,UH
doolin,NP
doll,NN
doing,VBG
dogmas,NNS
double-crosser,NN
dostoevsky's,NP$
docketed,VBN
dole,VB
doormen,NNS
doaty,NP
doings,NNS
doppler,NP
dope,NN
doleful,JJ
dogtrot,NN
doses,NNS
domokous,NP
dodging,VBG
double-crossed,VBD
doorstep,NN
doctrines,NNS
dolan,NP
double-entendre,NN
dollar-de,NP
do-it-yourself,JJ
double-wall,NN
dorr,NP
donovan,NP
douglas,NP
dormitory,NN
donato,NP
does,DOZ
dominated,VBN
doan,DO*
doerner's,NP$
downturn,NN
dominate,VB
docherty,NP
docters,NNS
dowager,NN-TL
dodgers,NPS
dolce,FW-JJ-TL
double-glaze,VB
donaldson,NP
doin',VBG
dome,NN
dow-jones,NP
double-breasted,JJ
doorknob,NN
dora,NP
dorsey,NP
doubles,VBZ
downgrade,VB
dorset,NP
downgraded,VBN
doldrums,NNS
dormitories,NNS
doctrinaire,JJ
door-fronted,JJ
dollars,NNS
dominantly,RB
doria,NP
domes,NNS
doric,JJ
doolin's,NP$
domitian's,NP$
doorway,NN
doolittle,NP
dominion,NN-TL
downtrodden,JJ
domains,NNS
doers,NNS
domed,VBN
double-bogeyed,VBD
documentary,JJ
doris,NP
donors,NNS
domicilium,NP-TL
domiciled,VBN
donates,VBZ
dominique,NP
dogwood,NN
dohnanyi,NP
domi,FW-RB
dour,JJ
dorens,NPS
down,RP
done,VBN
doctrine,NN
doubtfully,RB
dowguard,NP
donnybrook,NP
downhill,RB
dobbs,NP
doubtless,RB
doesn't,DOZ*
dolmabahce,NP-TL
dockside,NN
dovetail,VB
door-to-door,NN
downed,VBD
dolores,NP
down-and-out,JJ
doomsday,NN
doubt,NN
don't-know's,NNS
double-meaning,NN
do-good,JJ
doubling,VBG
dozens,NNS
dogs,NNS
doctored,VBN
dots,NNS
dormant,JJ
door,NN
dosages,NNS
dookiyoon,NP
doomed,VBD
doves,NNS
downwind,RB
doggedly,RB
downtown,NR
dogma,NN
domination,NN
downing,VBG
dollies,NNS
dorado,NP
doctors,NNS
don,NP
doom,NN
downstairs,RB
docked,VBN
doo,DO
do-gooders,NNS
dowry,NN
dominican,NP-TL
doubloon,NN
dodd,NP
double,JJ
dower,NN
doxiadis,NP
domesday,NP-TL
doweling,VBG
dowel,NN
doubly,RB
doc,NP
dourly,RB
doorkeeper,NN
dominic,NP
dosage,NN
dollars',NNS$
douglass,NP
donkey,NN
door-frame,NN
domina,FW-NN-TL-NC
donnelly,NP
dogmatically,RB
downfall,NN-HL
double-valued,JJ
donizetti's,NP$
dotting,NN
dolphin,NN
down-to-earth,JJ
doris',NP$
dostoevsky,NP
dozed,VBD
doctors',NNS$
donating,VBG
dogmatism,NN
doaty's,NP$
doorman,NN
dozen,NN
doused,VBD
dodge's,NP$
down-and-outers,NNS
documents,NNS
downpour,NN
dollars-and-cents,NNS
doctor,NN
downtalking,JJ
doberman,NP
doctrinal,JJ
double-figure,NP
dogtown,NP-TL
dominating,VBG
dotted,VBN
doors,NNS
docks,NNS
donor,NN
document,NN
dominance,NN
dobbins,NP
dogumenti,FW-NNS
documentary-type,JJ
dooley,NP-HL
dollar-sign,NN
do(c)ters,NNS
double-stage,NN-HL
doin,VBG
doug,NP
doubte,NN
domineering,VBG
dominates,VBZ
dollar-and-cents,JJ
do-gooder,NN
dozing,VBG
dove,NN
downpayment,NN
dollarette,NN
dolphins,NNS
doran,NP
donnell,NP
dogleg,NN
douce,FW-JJ-TL
downbeat,NN-TL
down-payments,NNS
documentation,NN
doctrinally,RB
dog,NN
doe,NP
dorcas,NP
dog's,NN$
dousman,NP
doubleheader,NN
doltish,JJ
doubted,VBD
donner,NP
dos,NP
dolley,NP-TL
dow,NP
dot,NN
dover,NP
