term,tag
eagle's,NN$-TL
ear-muffs,NNS-TL
eagerness,NN
eaten,VBN
easy-going,JJ
earnestness,NN
earth-touching,JJ
earthenware,NN
early-season,NN
earthworm,NN
eats,NNS-TL
easiest,JJT
eared,JJ
eatable,JJ
east-west,JJ
easterners,NNS-TL
earth,NN-TL
eades,NP
earth-bound,JJ
earning,VBG
ear,NN
earned,VBN
ease,VB
earthy,JJ
eagerly,RB
easy-to-reach,JJ
easements,NNS
eastwick,NP-TL
eatings,NNS
eatables,NNS
earnings,NNS
easy,JJ
eagles,NNS
earnestly,RB
east,JJ-TL
easter,NP
easier,RBR
earth-week,NN
eave,NN
earsplitting,JJ
eagle,NN
eating,VBG
easygoing,JJ
eastern,JJ
earmarked,VBN
earlier,JJR
earthmen,NPS
easthampton,NP
early,JJ
earnest,JJ
earned-run,NN
earthly,JJ
earrings,NNS
eaters,NNS
easy-to-spot,JJ
eastman,NP
earliest,JJT
eat,VB
earphones,NNS
earl,NP
easily,RB
earn,VB
easel,NN
eastland,NP
early-morning,NN
easement,NN
earthmoving,NN
eardrums,NNS
eased,VBN
earthquake,NN
earth's,NN$
earthquakes,NNS
easy-to-operate,JJ
earns,VBZ
earth-weeks,NNS
eaton,NP
eager,JJ
eastward,RB
each,DT
earthmen's,NPS$
easing,VBG
earp,NP
ears,NNS
