term,tag
eileen,NP
eisler,NP
eighteenth,OD
einsteinian,JJ
eighteen,CD
eine,FW-AT
einstein,NP
eighteenth-century,JJ
eighty-five,CD
einsatzkommandos,FW-NNS
eileen's,NP$
eight-week,JJ
eighty-sixth,OD
eisenhower,NP
eighty-four,CD
eight-year,JJ
eidetic,JJ
eichmann,NP
eire,NP
eight-foot,JJ
eichmann's,NP$
eighty-fifth,OD
eighty-one,CD
eighty,CD
eight-thirty,CD
eighty-year-old,JJ
eight-and-a-half-foot,JJ
eies,NNS
eight,CD
einstein's,NP$
eisenhower's,NP$
eighth,OD
eighteen-year-old,NN
eight-bar,JJ
eighty-three,CD
either-or,JJ
eighty-seventh,OD-TL
eight-inch,NN
eight-by-ten,CD
eighty-nine,CD
eighteenth-,OD
either,CC
eighties,NNS-TL
eisenhhower,NP-TL
ein,FW-AT
