term,tag
fawn,NN
falegnami,NP
facet-planes,NNS
fabricated,VBN
factory,NN
family-community,NN
facilities,NNS
farms,NNS
fascinatingly,RB
fairness,NN
fawned,VBN
fancies,VBZ
fancier,JJR
father,NN
fairy-tale,NN
fairways,NNS
fatal,JJ
fancied,VBD
familiarness,NN
fatigues,NNS
fay,NP
far,RB
face-lifting,NN
facetious,JJ-TL
fat,JJ
fan,VB
fatigued,VBN
fall,NN
falsifying,VBG
fad,NN
fadeout,NN
facsimile,NN
fairfax,NP-TL
familiarly,RB
fauteuil,NN
faintest,JJT
fabulous,JJ
fawcett,NP
fattening,VBG
faulknerian,JJ
favour,NN
face-to-wall,RB
faltered,VBD
fathoms,NNS
falling,VBG
falsify,VB
fall-outs,NNS
fair's,NN$-TL
fantasies,NNS
fatter,JJR
far-off,JJ
farmington,NP
fatten,VB
fathered,VBD
fantastic,JJ
fairmount,NP
family,NN
falsity,NN
fatuous,JJ
fake,JJ
faint,JJ
face-to-face,RB
familar,JJ
fast-moving,JJ
falloff,NN
family's,NN$
faneuil,NP-TL
faultless,JJ
father-murder,NN
factories,NNS
famed,JJ
facilitating,VBG
farmer-type,JJ
fauna,NNS
fames,NNS
faked,VBN
fanciful,JJ
falcons',NNS$-TL
farvel-topsy,NP
faults,NNS
faulty,JJ
fanaticism,NN
fare,NN
fascist,JJ
faro,NN
fascism,NP
fast-growing,JJ
fatigue,NN
farr,NP
farce,NN
facile,JJ
fallen,VBN
farmlands,NNS
fairview,NP
facilitated,VBN
fangs,NNS
fatalities,NNS
fable,NN
fancy-free,JJ
facilitates,VBZ
famille,FW-NN
fads,NNS-HL
farmed,VBD
fanning,VBG
fairway,NN
farnworth,NP
fade,VB
farmer,NN
factual,JJ
fallible,JJ
family-welfare,NN
far-famed,JJ
fairs,NNS
fabian,NP
fat's,NN+BEZ
fairy,NIL
fairy-land,NN
facsiport,NN
fair-weather,NN
fairing,VBG
fairmont,NP
farewell,NN
factors,NNS
fathom,VB
farm,NN
fast-frozen,JJ
fargo,NP
father-brother,NN
favored,VBD
faculties,NNS
fastening,NN
favorer,NN
faucet,NN
farmland,NN
facilitate,VB
fast-spreading,JJ
farmhouse,NN
faculty,NN
fancy,JJ
fantasy,NN
favre's,NP$
fascinating,JJ
fahrenheit,NP-TL
farming,VBG
fairest,JJT
fanatical,JJ
favorably,RB
fan's,NN$
favorable,JJ
fair-priced,JJ-HL
face-saving,JJ
fatboy,NN-NC
favors,NNS
family-oriented,JJ
fausto,NP
favore,FW-NN
faulted,VBN
fashion,NN
false,JJ
fawkes,NP-TL
facetiously,RB
fading,VBG
farmer's,NN$
faciunt,FW-VB
falls,VBZ
fagan,NP
farces,NNS
farmhouses,NNS
face,NN
farouk,NP
fashions,NNS
fact,NN
far-flung,JJ
far-reaching,JJ
farfetched,JJ
falsehoods,NNS
fade-in,JJ
factory-to-you,NN-TL
facades,NNS
failed,VBN
fast-opening,JJ
factor,NN
facaded,JJ
familistical,JJ
fatherly,JJ
familiar,JJ
famous,JJ
fastest,JJT
fallout,NN
familial,JJ
fabrics,NNS-HL
father-and-son,JJ
farnum,NP
facilitatory,JJ
fainted,VBN
fascinates,VBZ
favoring,VBG
farthest,RBT
fair,JJ
faier,JJ
fantastically,QL
fanned,VBD
famine,NN
facet-plane's,NN$
fail,VB
faim,FW-NN
fain,NP
farmer-in-the-dell,NP
fails,VBZ
farmers,NNS
fascinated,VBD
familiarity,NN
father's,NN$
favor,NN
fans,NNS
fall-off,NN
farley,NP
fat-soluble,JJ
fast-grossing,JJ
faceless,JJ
falmouth,NP-TL
faget,NP
fatality,NN
fawn-colored,JJ
father-confessor,NN
faced,VBN
fathuh,NN
fault,NN
fascicles,NNS
familism,NP
facet,NN
faces,VBZ
fail-safe,JJ
fabricius,NP
faithfully,RB
fantods,NNS
faulkner,NP
families,NNS
favoritism,NN
fauntleroy,NP-TL
fardulli's,NP$
fascio-communist,NP
far-sighted,JJ
father-god,NP
fallow,JJ
fallacious,JJ
fashioned,VBN
fairbrothers,NPS
fabricating,VBG
faker,NN
far-out,JJ
facade,NN
faires,NIL
fame,NN
fashioning,VBG
fatima,NP-TL
fanatics,NNS
fairly,QL
fatty,JJ
fastens,VBZ
farmers',NNS$
favorites,NNS
faiths,NNS
fabrication,NN
fascinate,VB
failing,VBG
fashionable,JJ
facto,FW-NN
fancying,VBG
false-fronted,JJ
fateful,JJ
farther,RBR
facts,NNS
fall's,NN$
falter,VB
fares,NNS
favre,NP
fate,NN
fairies,NNS
falters,VBZ
fats,NNS
facial,JJ
falcon,NN
facets,NNS
faber,NP
facing,VBG
faber's,NP$
farrells,NPS
falsehood,NN
fathers,NNS
fanfare,NN
fairless,NP-TL
fantasist,NN
faulkner's,NP$
fanshawe,NP
falla's,NP$
fanny,NP
fables,NNS
fastenings,NNS
faery,NN
fabled,JJ
far-ranging,JJ
fall-in,NP
faith,NN
faust's,NP$
fairgoers,NNS
favorite,JJ
fasciculations,NNS
faust,NP
fantasia,NN-TL
fatally,RB
fallacy,NN
farrell,NP
fatalists,NNS
facility,NN
faustian,JJ
fawning,VBG
fabric,NN
fast,JJ
fates,NNS
factions,NNS
fast-closing,JJ
faget's,NP$
faring,VBG
farina,NP
fascination,NN
fastidious,JJ
failure,NN
fascists,NPS
familarity,NN
fairchild,NP
fabricate,VB
faded,VBN
fast-firing,JJ
farrar,NP
farmwife's,NN$-TL
fatso,NP
farneses,NPS
farnese,NP-TL
faithful,JJ
far-away,JJ
fair-sized,JJ
faustus,NP-TL
faction,NN
fazio,NP
faintly,RB
fayette,NP
falstaff,NP-TL
fasten,VB
fastened,VBN
faster,RBR
faze,VB
fahey,NP
failures,NNS
fair-looking,JJ
