term,tag
hiking,VBG
hierarchy,NN
high-rep,JJ
high-water,NN
hillbilly,NN
hitch,NN
highways,NNS
hiring,VBG
high-priced,JJ
hickok,NP-TL
high-level,NN
hijacked,VBD
hick-self,NN
hills,NNS
hint,NN
highlights,NNS
high-,JJ
hifalutin',JJ
hieronymus,NP
high-interest,NN
hind,JJ
hijackers,NNS
hidden,VBN
hideout,NN
hideous,JJ
high-class,NN
hip,NN
hindmost,JJT
his,PP$
hit,VBN
hijacking,VBG
hillel,NP
hinting,VBG
hilarious,JJ
hillman,NP
historic,JJ
hitters,NNS
high-voltage,NN
hi-fi,NN
hitherto,RB
him,PPO
hit-and-miss,JJ
hillside,NN
high-backed,JJ
historicity,NN
hickory,NN
hip-pocket,NN
hisself,PPL
hinges,NNS
hitlers,NPS
hive,NN
high-topped,JJ
hitler's,NP$
hinsdale,NP
higher-priced,JJR
hinged,VBN
hino,NP
high-powered,JJ
hinted,VBD
hiccups,NNS
hindered,VBN
hildy,NP
hino's,NP$
high-set,JJ
histology,NN
hissing,NN
hick,NN
himselfe,PPL
high-tailed,VBD
hide,VB
high-temperature,NN
hirsch's,NP$
hilt,NN
hit-and-run,JJ
hipster,NN
hill,NN
hilo,NP
hiss,NN
highway,NN
hibernate,VB
hirey's,NP$
high-protein,NN
hirschey,NP
hiram,NP
historians,NNS
hit-run,JJ
historicism,NN
hiding,VBG
hits,VBZ
hillyer,NP
high-school,NN
hicks,NP
high-end,NN
himalayas,NPS
hillsdale,NP
hiked,VBD
hinge,NN
hindus,NPS
hindering,VBG
highfield,NP
highland,NN
high-resolution,NN
highwayman,NN
hilltops,NNS
hither,RB
highest-paid,JJT
high-power,NN
high-current,NN
hinckley,NP-TL
highly,QL
hillcrest,NP
hippodrome,NP
hipline,NN
hindsight,NN
hindrances,NNS
higher-density,NN
histochemistry,NN-TL
hitler,NP
highpoint,NN
historiography,NN
high-velocity,NN
hindu,NP
historian,NN
high-gain,NN
hitting,VBG
hilliard,NP
highball,NN
hideously,RB
hirsch,NP
hinton,NP
hirelings,NNS
historically,RB
hilarity,NN
hilprecht's,NP$
high-speed,NN
higher-,JJR
high-sudsing,JJ
himself,PPL
high-pitched,JJ
hinterlands,NNS
hindoo,NP
high-wage,NN
hitching,VBG
hilprecht,NP
high-positive,JJ
hillary,NP
hi,UH
hindquarters,NNS
hissed,VBD
hinduism,NP
histrionics,NN
highest,JJT
hints,NNS
high-spirited,JJ
hire,VB
hitchcock,NP
high-quality,NN
high-up,JJ
hitter,NN
hike,NN
hibachi,NN
hilariously,RB
histochemical,JJ
hillman's,NP$
highboard,NN
historical,JJ
high-cost,NN
highlight,NN
hiroshima,NP
hilum,NN
history,NN
high-density,NN
hi-graders,NNS
high-sounding,JJ
hir,PP$
hindemith's,NP$
high,JJ
hilar,JJ
hilton,NP-TL
hides,NNS
higher-quality,NN
high-minded,JJ
hinders,VBZ
histories,NNS
high-ceilinged,JJ
himmler,NP
hierarchies,NNS
hide-out,NN
hillsboro,NP
higher,JJR
hires,VBZ
high-salaried,JJ
hideaway,NN
hirey,NP
high-tension,NN
highs,NNS
high-energy,NN
hitched,VBN
hired,VBN
highlighting,VBG
highschool,NN
high-stepped,JJ
high-legged,JJ
historian's,NN$
highboy,NN
highlands,NNS-TL
high's,NN$-TL
highness,NN-TL
highroad,NN
hinkle,NP
hikes,NNS
hiawatha,NP-TL
hid,VBD
high-value,NN
hips,NNS
hitless,JJ
