term,tag
hyaline,NN
hypothesized,VBN
hydride,NN
hypothyroidism,NN
hydrido,NN
hypocrisy,NN
hypothesize,VB
hypothalamically,RB
hysteron-proteron,NN
hysterectomy,NN
hypnotically,RB
hypercellularity,NN
hypothesizing,VBG
hyped-up,JJ
hydraulically,RB
hyperemia,NN
hydroxides,NNS
hypoadrenocorticism,NN
hym,PPO
hypostatization,NN
hys,PP$
hydroxazine,NN
hydrolyzed,VBN
hydrocarbons,NNS
hydrochemistry,NN
hypophyseal,JJ
hydro-electric,JJ-TL
hyde,NP
hymns,NNS
hydrocarbon,NN
hysteria,NN
hymn,NN
hyalinization,NN
hypocrisies,NNS
hydraulic,JJ
hypocritical,JJ
hypo-,JJ
hypothesis,NN
hyannis,NP
hypoactive,JJ
hyndman,NP
hydrostatic,JJ
hyde's,NP$
hypnosis,NN
hypothalamus,NN
hypocrites,NNS
hydrophobia,NN
hydrophobic,JJ
hydrides,NNS
hygiene,NN
hypocellularity,NN
hyperbolic,JJ
hypothetical,JJ
hysterical,JJ
hytt,PPS
hyperplasia,NN
hydrochloride,NN
hypertrophy,NN
hydrolysis,NN
hymselfe,PPL
hypophysectomised,VBN
hypertrophied,VBN
hyphenated,VBN
hydrogen,NN
hypodermic,JJ
hyperbole,NN
hypotheses,NNS
hyacinths,NNS
hydrous,JJ
hymen,NN
hypothalamic,JJ
hydroxylation,NN
hybrid,NN
hyperemic,JJ
hydrated,VBN
hyperfine,JJ
hypothalamic-cortical,JJ
hydrogens,NNS
hydraulics,NN
hyperbolically,RB
hydroxyl-rich,JJ
hymens,NNS
hypocrite,NN
hydrophilic,JJ
hypnotized,VBN
hypnotic,JJ
hyena,NN
hypervelocity,NN
