term,tag
idiocies,NNS
identities,NNS
idea,NN
ideals,NNS
idiosyncrasies,NNS
identify,VB
idiotic,JJ
idolatry,NN
idal,NP
ideational,JJ
idealism,NN
ideally,RB
idiot,NN
idyll,NN
idleness,NN
ideas,NNS
ideologies,NNS
idiom,NN
ideal,JJ
identification,NN
idealization,NN
idealist,NN
idea-exchange,NN
idaho,NP
identical,JJ
idol-worship,NN
idje,NP
idlers,NNS
idealistic,JJ
idiomatic,JJ
idealized,VBN
identifications,NNS
idolized,VBN
identically,RB
idols,NNS
identity,NN
ideologist,NN
idling,VBG
idiot-grin,NN
idyllic,JJ
identifying,VBG
identifiable,JJ
idioms,NNS
idiotically,RB
identified,VBN
idly,RB
idolize,VB
ideology,NN
idle,VB
idol,NN
idols',NNS$-HL
ideological,JJ
idiot's,NN$
identifies,VBZ
ida,NP
idled,VBD
idiosyncratic,JJ
idler,NN
