term,tag
josephus,NP
journeys,NNS
jones-imboden,NP
joanne,NP
jock,NP
jose,NP
jocose,JJ
jones's,NP$
jolt,NN
john-and-linda,NPS
journalese,NN
johnson's,NP$
joss,NN
jody,NP
joyful,JJ
joyride,NN
joint,JJ
joins,VBZ
jolliffe,NP
join,VB
jockeying,VBG
jorda's,NP$
joked,VBD
jorda,NP
joel,NP
journalism,NN
joined,VBD
jollying,VBG
journal-bulletin,NP
jokes,NNS
joel's,NP$
journalist,NN
joiner,NN
joneses,NPS
joey,NP
jonathan's,NP$
joking,VBG
joseph's,NP$
jot,NN
job-,NN
joan,NP
jobs-tears,NNS
jordon,NP
jouvet,NP
jocular,JJ
jolly,JJ
johnnie's,NP$
jolla,NP
jonesborough,NP
joiners,NNS
jobs,NNS
jocularly,RB
joy,NN
journal,NN-TL
jonquieres,NP
johns-manville,NP-TL
jointly,RB
jovian,JJ
job,NN
jovial,JJ
joe,NP
jones',NP$
jon,NP
jobless,JJ
journeyed,VBD
joke,NN
jokers,NNS
johnnie,NP
jotted,VBN
jo,NP
joshual,NP
joplin,NP
john's,NP$-TL
joshua,NP
johns,NP-TL
johann,NP
jowls,NNS
joyce,NP
jockey,NN
jowl,NN
jossy,NP
joaquin,NP-TL
joseph,NP
jonathan,NP
journalists,NNS
jorge,NP
john'll,NP+MD
joust,NN
jordan,NP
johansen,NP
josiah,NP
john,NP
joblot,NN
joyfully,RB
joie,FW-NN
john-henry,NP
jonquils,NNS
johnny,NP
joyous,JJ
joints,NNS
journal-american,NP
joviality,NN
jour,FW-NN
jolting,VBG
journey's,NN$
job-seekers,NNS
journal-bulletin's,NP$
jotting,VBG
johannesburg,NP
jostle,VB
joblessness,NN-HL
joyously,RB
jocund,JJ
josef,NP
journey,NN
johnston,NP
joe's,NP$
journals,NNS
jones,NP
johnson,NP
jogs,VBZ
joys,NNS
joan's,NP$
joining,VBG
