term,tag
kale,NN
kali,NP
karlheinz,NP
kafka,NP
kas.,NP
kassem,NP
kate,NP
kans.,NP
kanin,NP
kayabashi,NP
katherine's,NP$
karet,NP
kapok-filled,JJ
kahn's,NP$
katharine's,NP+BEZ
katharine,NP
kappa,NP
kandinsky,NP
kazan,NP-TL
kalmuk,NP-TL
karipo,NP
kaddish,NP
kaleidoscope,NN
kalamazoo,NP
kayabashi-san,NP
kajar,NP
katow,NP
kaboom,UH
kant,NP
kaiser,NP-TL
kaufnabb,NP
kalonji,NP
karns,NP
kan.,NP
kansas,NP-TL
kader,NP-TL
karns',NP$
kankakee,NP
karl-birger,NP
kai-shek's,NP$
kaskaskia,NP
kai-shek,NP
kawecki,NP-TL
kazoo,NN
karen,NP
katie,NP
karsner,NP
kathleen,NP
katya,NP
kansas-nebraska,NP-TL
karolinerna,NP
kanto,NP
kahn,NP
kamikaze,FW-NNS
kaster's,NP$-TL
kathy,NP
kabalevsky,NP-TL
katherine,NP
katangans,NPS
kaisers,NPS
kamchatka,NP-TL
kahler,NP
kasavubu,NP
karol,NP
kaiser's,NP$-TL
kasai,NP-TL
karipo's,NP$
kava,NN
kakutani,NP
kate's,NP$
kauffeld,NP
kaminsky,NP
karlis,NP
katanga,NP
kaleidescope,NN
kamens,NP
katie's,NP$
kapnek,NP
kare,NN-TL
karl,NP
kayo,VB
kamieniec,NP
katangan,JJ
karp's,NP$
kaplan,NP
kahler-craft,NP-TL
karshilama,FW-NP
karamazov,NP-TL
kayabashi's,NP$
kay,NP
kalentiev,NP
kaganovich,NP
kauffmann,NP
