term,tag
kelley's,NP$
keating's,NP$
keyboard,NN
keith's,NP$
kekisheva,NP
kennings,NNS
ketches,NNS
keeler,NP
kenzo,NP
kercheval,NP
kershbaum,NP
kemble,NP
ketchup,NN
keenest,JJT
keenly,RB
kennedy,NP
kerr,NP
keyed,VBN
kern,NP
key-punched,VBN
keeshond,NP
kellum,NP
kestner,NP
keerist,UH
kennel,NN-TL
keene,NP
kernel,NN
keizer,NP
kenilworth,NP
keng,NP
kettle,NN
keno,NN
kennedy's,NP$
kennard,NP
keystone,NN-TL
kent,NP-TL
kentfield,NP
keo,NP
ken,NP
keynote,VB
kel,NP
keening,NN
ketosis,NN
keg,NN
kelsey,NP
kedgeree,NN-HL
keddah,FW-NN
key,NN
keeper,NN
keith,NP
keats's,NP$
kemm,NP
keelson,NN
keep,VB
keen,JJ
kerygma,NN
kearton,NP
kemble's,NP$
kedzie,NP-TL
kerby,NP
kemchenjunga,NP
kernels,NNS
kehl,NP
kee-reist,UH
kentuck',NP
kelp,NN
kerry,NP-TL
kerosene,NN
keyhole,NN
kegs,NNS
kenyon,NP
kerchief,NN
keeping,VBG
kennan,NP
kerr's,NP$
kentucky,NP
kenning,NN
keyboarding,NN
keine,FW-AT
kenny,NP
kegham,NP
kenneth,NP
kezziah,NP
kepler,NP
keegan,NP
kennett,NP-TL
keeeerist,UH
kennan's,NP$
kebob,NN
kelseyville,NP
keel,VB
keys,NNS
kegful,NN
kept,VBD
kerrville,NP
kelts,NPS-TL
keynotes,NNS-TL
keeps,VBZ
kelly,NP
kempe,NP
keane,NP
keys's,NP$
