term,tag
kopstein,NP
kob,NNS
kornbluth,NP
konga,NN
kofanes,NPS
kokoschka,NP
kohi,NP
kosher,JJ
kowalski's,NP$
kooning,NP
komleva,NP
konrad,NP
kolb,NP
koop,NP
kola,NN
korngold,NP
kotowaza,FW-NN
kobayashi,NP
kowalski,NP
korman,NP
konstantin,NP
kornevey,NP
kochanek,NP
koenig,NP
koan,FW-NN
kolkhozes,FW-NNS
kombo,NP
koehler,NP
kodyke,NP
kornbluth's,NP$
kodama,NP
korean,JJ-TL
koreans,NPS
korea,NP
kool-aid,NP
korneyeva,NP
kodaks,NPS
kok,NP
konitz,NP
kolpakova,NP
korneyev,NP
kozintsev,NP
koch,NP
kohnstamm-positive,JJ
kong,NP
kooks,NPS
kohnstamm,NP
koussevitzky's,NP$
komurasaki,NP
konzerthaus,FW-NN-TL
korra,NP
koenigsberg,NP
koinonia,FW-NN
kolkhoz,FW-NN
kochaneks,NPS
kohnstamm-negative,JJ
kodiak,NP
konishi,NP
koshare,NP
koh,NP
koussevitzky,NP
