term,tag
krims,NPS
krakow,NP-TL
krim's,NP$
kroger,NP
krasnik,NP
kromy,NP
kruger's,NP$
krapp's,NP$-TL
kronenberger,NP
krakowiak,NP
krauts,NPS
kroening,NP
kremlin's,NP$
krystallographie,FW-NN-TL
kroger's,NP$
kramer's,NP$
krim,NP
kremlin,NP
kraemer,NP
krishna,NP
krakatoa,NP
krishnaists,NPS
kristallstrukturen,FW-NNS-TL
krogers,NPS
kreisler,NP
krumpp,NP
krist,UH
kraft,NN
kriss,NP
kruger,NP
kraut,NN
krutch's,NP$
krogers',NPS$
krautheads,NNS
krzywy-rog,NP
kretchmer,NP
krutch,NP
krupa,NP
