term,tag
lapped,VBD
lace,NN
lack,NN
laura,NP
lauri,NP
lacy,JJ
lauro,NP
larkin's,NP$
layers,NNS
lawyers',NNS$
languages,NNS
lanin's,NP$
lapels,NNS
lawmakers,NNS
labans,NPS
lakewood,NP
ladle,NN
languished,VBD
lanza,NP
laurels,NNS
laying,VBG
laue,NP
large,JJ
last-mentioned,JJ
launches,NIL
langsdorf,NP
landlords,NNS
launder-ometer,NP
last-round,NN
lavishing,VBG
lawyer,NN
labothe,NP
landslides,NNS
layman's,NN$
laurence,NP
lazily,RB
lalauries',NPS$
lactating,VBG
lappets,NNS
lacquer,NN
landis,NP
lange,FW-JJ
law-unto-itself,JJ
layout,NN
launch-control,NN
laurents',NP$
larger,JJR
law-abiding,JJ
labor-saving,JJ
lancret,NP
lalauries,NPS
lavatory,NN
larimer,NP-TL
lagow,NP
launchings,NNS
landscape,NN
lamming,VBG
lawrenceville,NP
lascar,NP
law-governed,JJ
lander,NP
landes,NNS
labyrinth,NN
lacerate,VB
lamon,NP
landed,VBD
lazarus,NP-TL
labelled,VBN
laborer,NN
latent,JJ
laendler,FW-NN
laguardia,NP
lapse,NN
labeled,VBD
laughter,NN
laguardia's,NP$
la.,NP
laughs,NNS
lammed,VBD
lappenberg,NP
lacks,VBZ
larkins,NPS
lamb,NN
lagoons,NNS
lame,JJ
lamp,NN
laicos,FW-NNS-TL
lao,NP
laundry,NN
lak,IN
lad,NN
ladder,NN
lag,VB
lab,NN
laxative,NN
lax,JJ
lay,VBD
lappenburg-kemble,NP
law,NN-TL
lap,NN
las,NP
laudanum,NN
lava-rocks,NNS
larceny,NN
laurie,NP
lagoon,NP
lactate,NN
lafe,NP
large-enough,JJ
lavallade,NP
laotians,NPS
lashings,NNS
laced,VBN
lats,NN
la,NP
lateran,NP
lateral,JJ-TL
labor,NN
late,JJ
laces,NNS
latitude,NN
lath,NN
lacey,JJ
lambert,NP
landau,NN
lagrange's,NP$
landings,NNS
layering,VBG
labouisse,NP
labeling,VBG
lassus,NP
lawmen,NNS
lasting,VBG
lacerations,NNS
laboratory,NN-TL
laramie,NP-TL
laid,VBD
lain,VBN
lanesville,NP
lawrence,NP
lawless,JJ
langford,NP
lacerated,VBN
late-summer,NN
language,NN
launch,VB
latches,VBZ
latitudes,NNS
lanced,VBD
labored,VBN
lances,NNS
lasalle,NP
latched,VBN
laguerre,NP
lambarene,NP
laughingly,RB
lawsuits,NNS
larkin,NP
larder,NN
ladylike,JJ
larks,NNS
lavished,VBD
lavender,NN
laymen,NNS
lather,NN
lathes,NNS
lament,NN
latinovich,NP
laminate,NN
layette,NN
lawman,NN
layton,NP
lautner,NP
laden,JJ
latter,AP
landlord's,NN$
lackadaisical,JJ
labour,NN
laughed,VBD
layoffs,NNS
lante,NP
ladgham,NP
lawman's,NN$
lay-up,JJ
latex,NN
lawn,NN
later,RBR
lavato,NP
langhorne,NP
lancashire,NP-TL
laws,NNS
languid,JJ
labels,NNS
lalaurie's,NP$
lauritz,NP
landis',NP$
laments,NNS
lateiner,NP
larson,NP
laughlin,NP
lauder,NP
layman,NN
larkspur,NN-TL
lay-offs,NNS
laguna,NP-TL
land-based,JJ
latter's,NN$
landrum-griffin,NP-TL
labile,JJ
landlord,NN
landscaped,VBN
laswick,NP
largesse,NN
labors,NNS
lazy,JJ
lay-sisters,NNS
lausanne,NP
largely-silent,JJ
lancaster,NP-TL
lauritsen,NP
laureate,JJ
label,NN
lamar,NP
latin,JJ
lapping,VBG
larson's,NP$
large-package,NN
launderings,NNS
lawsuit,NN
laze,VB
lass,NN
last,RB
lawrence's,NP$
layered,VBN
lash,VB
last-named,JJ
lawyer's,NN$
laudably,RB
laurentian,JJ
laity,NN
lanterns,NNS
laugh,VB
laos,NP
lady's,NN$
lanes,NNS
lauderdale,NP-TL
lao-tse,NP
laurance,NP
lace-drawn,JJ
lanthanum,NN
launcher,NN
laxness,NN
lavoisier,NP
lahk,IN
landslide,NN
launched,VBN
layer,NN
lavaughn,NP
langeland,NP
lanky,JJ
lascivious,JJ-TL
law-breaking,NN
laundered,VBN
lambs,NNS-HL
laundering,VBG
landmarks,NNS
lava,NN
largest,JJT
laban,NP
lagerlof,NP
last-ditch,NN
lawyers,NNS
latter-day,NN
laps,VBZ
lattimer's,NP$
lamentation,NN-TL
laborious,JJ
largely,QL
laissez-faire,JJ
lalaurie,NP
landmark,NN
laboratories,NNS
latest,JJT
land's,NP$
lads,NNS
large-area,NN
lavish,JJ
laminating,VBG
laurel,NN-TL
lauren,NP
lasso,NN
law-enforcement,NN
