term,tag
logarithms,NNS
looped,VBD
lopped,VBD
long-cruise,NN
low-duty,NN
low-temperature,NN
lob-scuse,NN
long-run,NN
long-bodied,JJ
localized,VBN
longfellow's,NP$
longstanding,JJ
look-see,NN
lore,NN
lord,NN-TL
low-boiling,JJ
low-budget,NN
low-key,NN
louis,NP
loneliness,NN
loads,NNS
locomotive,NN
logistics,NN
longfellow,NP
loose-knit,JJ
louder,JJR
loathing,VBG
lower-priced,JJR
low-moisture,NN
lockheed's,NP$
loafed,VBD
long-familiar,JJ
london-based,JJ
lolly,NP
longshoremen,NNS
loose,JJ
long-known,JJ
losses,NNS
loincloth,NN
lonesome,JJ
looted,VBD
lowers,NNS
love,VB
lord's,NP$
long-overdue,JJ
loveless,NP
logical,JJ
logically,RB
loquacity,NN
lodging,VBG
lottery,NN-TL
lodgment,NN
loving,VBG
love's,NN$
lowering,VBG
locker-room,NN
lopsidedly,RB
long-far,JJ+JJ-NC
log-house,NN
lowliest,JJT
logarithm,NN
lond.,NP
locked,VBD
location-minded,JJ
longitude,NN
locker,NN
lower-class,NN
lords,NNS
loosen,VB
london's,NP$
lock,NN
lombard,NP-TL
lobscouse,NN
locks,NNS
lorde,NN-TL
lothario,NP
lopatnikoff's,NP$
located,VBD
louisville,NP
loaves,NNS
london-bred,JJ
long-view,NN
loyalty,NN
lousie,JJ-TL
lowe's,NP$
long-range,NN
loyalists,NNS
lordly,JJ
longhand,NN
lovingood,NP
logan,NP
lower-middle,JJ
london,NP
looks,VBZ
lovelies,NNS
looky,VB
lounge,NN
longitudinal,JJ
lo,NP
loophole,NN
lookout,NN-TL
lowell,NP-TL
lonely,JJ
loose-jointed,JJ
lois,NP
loose-jowled,JJ
long-hair,NN
lorena,NP
loosely,RB
lorenz,NP
lower-paid,JJR
loosli,NP
loyalties,NNS
lofty,JJ
lobbies,NNS
logs,NNS
low-pass,NN
low-wage,NN
lobbied,VBN
loops,VBZ
lola,NP
loquacious,JJ
longhorns,NNS
long-haul,NN
looking,VBG
longtime,NN
lower-middle-class,NN
low-tension,NN
localization,NN
loomed,VBD
loused,VBD
looseness,NN
logging,VBG
low-calorie,NN
louse,NN
lotions,NNS
lousy,JJ
loud,JJ
longue,NP
longed-for,JJ
lovelace,NP
lobule,NN
loose-loaded,JJ
lovers',NNS$
lovable,JJ
lolotte,NP
long,JJ
lovering,NP
loadings,NNS
louvre,NP
long-awaited,JJ
loaders,NNS
long-vanished,JJ
louchheim,NP
lorca,NP
lovejoy's,NP$-TL
lower-status,NN
love-in-action,NN
longer-term,NN
loved,VBD
loy,NP
looting,VBG
log-jam,NN
loves,VBZ
lover,NN
long-sought,JJ
lovelorn,JJ
longs,VBZ
longitudes,NNS
locations,NNS
londoner,NP
low-heeled,JJ
louis's,NP$
localities,NNS
lope,NN
loesser,NP
loneliest,JJT
long-life,NN
looming,VBG
long-,JJ
loopholes,NNS
loners,NNS
locust,NN
looked,VBD
lodowick,NP
lordship,NN
loire,NP-TL
lotus,NN
londonderry,NP-TL
longevity,NN
lorlyn,NP
low-sudsing,JJ
lowlands,NNS
lolling,VBG
louisa,NP
louise,NP
lovejoy,NP
lodge,NN-TL
longhorn,NN
local,JJ
long-settled,JJ
locatin',VBG
lobl,NP
lobo,NN
low-foam,NN
lobe,NN
lovingly,RB
loath,JJ
longest,JJT
louis',NP$
losers,NNS
logistic,JJ
locating,VBG
loveliness,NN
locale,NN
longer-lived,JJR
long-shanked,JJ
loudspeaker,NN
lots,NNS
loud-voiced,JJ
low-speed,NN
longwood,NP-TL
loped,VBD
lotion,NN
loper,NP
loveways,NNS-TL
lopez,NP
lookit,VB+IN
lowell's,NP$
loudly,RB
logic,NN
long-term,NN
loudon's,NP$
longshot,NN
lobster-backed,JJ
load,NN
long-sleeved,JJ
loaf,NN
longinotti,NP
loan,NN
loose-leaf,NN
loader,NN
lowly,JJ
loaded,VBN
lohmans,NPS
longsuffering,JJ
lonsdale's,NP$
locally,RB
localisms,NNS
lobular,JJ
lorrain,NP
louisiane,NP-TL
lovely,JJ
louisiana,NP
low-frequency,NN
logic-rhetoric,NN
lockup,NN
loft,NN
long-keeping,JJ
low-priced,JJ
low-ceilinged,JJ
low-water,NN
locomotives,NNS
locales,NNS
loon,NN
loom,NN
look,VB
loathed,VBD
loesser's,NP$
loosest,JJT
loot,NN
loop,NN
love-making,NN
lodges,NNS
loosely-taped,JJ
lodged,VBD
loosened,VBD
lottie,NP
loomis,NP
long-line,NN
locking,VBG
lockian,JJ
locke's,NP$
lovin,VBG
lobby,NN
longing,VBG
lower,JJR
loblolly,NN
loathsome,JJ
lonelier,JJR
loosens,VBZ
loen,NP
loeb,NP
longish,JJ
lobules,NNS
long-chain,NN
localize,VB
low-level,NN
lower-cut,JJR
loading,VBG
logged,VBN
location,NN
logger,NN
lower-level,NN
lovie,NN
long-acting,JJ
low-grade,NN
loaned,VBN
loss,NN
lost,VBN
low-down,NN
loser,NN
loses,VBZ
lousiness,NN
lose,VB
long-endurance,NN
loyalist,NN-TL
low-class,NN
lobster,NN
lotte,NP
loveliest,JJT
lobar,JJ-TL
lorraine,NP
loins,NNS
louisianan,NP
loudspeakers,NNS
locate,VB
lounged,VBD
loudest,RBT
lounges,NNS
losing,VBG
lockies,NPS
lockheed,NP
loans,NNS
louvers,NNS
lorain,NP
longshoremen's,NNS$
logistical,JJ
long-lived,JJ
low-cost,NN
locus,NN
loin,NN
low-power,NN
low-pitched,JJ
loeser,NP
lob,VB
loc,NN
log,NN
lone,JJ
lovett,NP
lounging,VBG
los,NP-TL
lop,JJ
low,JJ
lot,NN
lou,NP
lodley,NP
lowest,JJT
lowe,NP
lown,NP
longings,NNS
lodgings,NNS
lowered,VBD
lows,NNS
loew's,NP$-TL
low-lying,JJ
lover's,NN$
lock-outs,NNS
lorelei,NP
loewe,NP-TL
lolotte's,NP$
lobularity,NN
long-distance,NN
