term,tag
lubell,NP
lumbered,VBD
lucifer's,NP$
lunation,NN
lubrication,NN
luxuries,NNS
lucas's,NP$
lunged,VBD
lured,VBD
luncheons,NNS
luscious,JJ
lure,NN
ludicrous,JJ
lunatic,JJ
lura,NP
lucks,NNS
luke,NP
lumbering,VBG
lurk,VB
lucky,JJ
lunch,NN
lucidity,NN
lustful,JJ
lullwater,NP
lumia,NP
luminosity,NN
luxuriance,NN
lucy,NP
lucretia,NP
lurched,VBD
luechtefeld,NP
luck,NN
lucien,NP
lulls,NNS
lustre,NN
luang,NP
lully,NP
luminous,JJ
lugged,VBD
lukewarm,JJ
lubberlanders,NPS
lurch,NN
lurks,VBZ
luminescent,JJ
lucifer,NP
lunar,JJ
lug,VB
lui,FW-PPO
lusts,NNS
luke's,NP$-TL
lutheran,JJ
lubra,FW-NN
lucille,NP
lumiere,FW-NN-TL
lucrative,JJ
lustrous,JJ
ludwick,NP
luis,NP
luxurious,JJ
luger,NP
lucille's,NP+BEZ
luther,NP
luggage,NN
lusignan,NP
luftwaffe,NP
luthuli,NP
lumumba,NP
luncheon-table,NN
lunatic-fringe,NN
lung,NN
lurked,VBD
lund,NP
luther's,NP$
lulled,VBN
lumumba's,NP$
lumpish,JJ
lumen,NN
luray,NP-TL
lurid,JJ
lunchroom,NN
lungs,NNS
lustily,RB
lublin's,NP$
lulu,NN
luncheon,NN
lunge,VB
luckily,RB
luminescence,NN
lublin,NP
ludmilla,NP
lumbar,JJ
lundeen,NP
lucas,NP
lucy's,NP$
luxuriosly-upholstered,JJ
ludlow,NP
lucius,NP
lueger's,NP$
lumber,NN
lumen/watt,NN
lucretius,NP
lurching,VBG
lubricant,NN
lubricated,VBN
lummox,NN
luette,NP
lullaby,NN
lundy,NP
luzon,NP
lush,JJ
lushes,NNS
lutihaw,FW-NNS
lust,NN-TL
ludicrousness,NN
lumped,VBD
lull,NN
lunchtime,NN
lurking,VBG
lucked,VBD
lumpy,JJ
luis's,NP$
lumps,NNS
lubbock,NP
luisa,NP-TL
luxury,NN
lucian,NP
luise,NP
ludwig,NP
lumpe,NP
luster,NN
lusty,JJ
ludie,NP
lucid,JJ
luminaries,NNS
lump,NN
lucia,NP
lute,NN
lutte,FW-NN-TL
lummus,NP-TL
lurcat,NP
luring,VBG
luckier,JJR
luxemburg,NP
lukuklu,NP
