term,tag
natty,JJ
narragansett,NP-TL
nagged,VBD
narcotic,JJ
narratives,NNS
nassau's,NP$
nations',NNS$-TL
naomi,NP
nam,NP-TL
naturalistic,JJ
nastier,JJR
nato,NP-TL
nanook,NP-TL
navigate,VB
narbonne,NP
nate,NP
naebm,NN
narrows,VBZ
navigable,JJ
nationalize,VB
nazarova,NP
nation,NN
nareb,NN
nationalists,NNS
napoleon's,NP$
nagging,VBG
nasty,JJ
narrowing,VBG
name,NN
naturalist,NN
nahce,JJ
nasser,NP
nagel,NP
nathaniel,NP
naked,JJ
nairo,NN
nakamura,NP
nazi-minded,JJ
nazarene,JJ-TL
naxos,NP
nationals,NNS
nairobi,NP
naturalism,NN
nakayasu,NP
narcotizes,VBZ
nakedness,NN
national,JJ
nair,NN
nail,NN
naturalness,NN
namely,RB
nature's,NN$
navy,NN-TL
nazism,NP
nawth,NR
navigator,NN
narrated,VBN
nationalized,VBD
nailed,VBN
navels,NNS
napkins,NNS
navigating,VBG
name's,NN+BEZ
nakoma,NP-TL
nazis,NPS
nationwide,JJ
nature,NN
nails,NNS
nashville,NP
nation's,NN$
narrowness,NN
nagamo,NP
naktong,NP-TL
nationality,NN
nacht,FW-NN
nadir,NN
naval,JJ
napoleonic,JJ
nausea,NN
nawt,*
native-born,JJ
nailing,VBG
natures,NNS
nationalisms,NNS
narrow,JJ
navigation,NN
named,VBN
naughty,JJ
nastiest,JJT
nation-building,JJ
nary,ABN
narrower,JJR
naturalized,VBN
narcosis,NN
nantucket,NP
nagrin,NP
names,NNS
narration,NN
nasaled,VBD
narrowed,VBD
naturopath,NN
naivete,NN
naps,NNS
nauseated,VBN
naphta,NP
nate's,NP$
naughtier,JJR
nairne,NP
nathanael,NP
name-dropper,NN
navona,NP
naught,PN
naples,NP
naturally,RB
narrator,NN
nabisco,NP
naive,JJ
natalie,NP
nassau,NP
nareb's,NN
nation-wide,JJ
nahb,NN
napoleon,NP
nam's,NP$-TL
nathan,NP
namesake,NN
nation-state,NN
nation-states,NNS
nakedly,RB
natchez,NP
nations,NNS-TL
nagrin's,NP$
nationalizing,VBG
natives,NNS
navigators,NNS
nautilus,NP
nationalist,NN
napped,VBD
nationhood,NN
nato's,NN
nasser's,NP$
nautical,JJ
nationalism,NN
naming,VBG
native,NN
nab,NN
narrow-minded,JJ
nae,RB
nazi,NP
nan,NP
nabbed,VBN
narcotics,NNS
nap,NN
nascent,JJ
naw,RB
nat,NP
nagle,NP
nay,RB
nara,NP
natural-law,NN
narrowly,RB
nadine's,NP$
natrona,NP-TL
nasal,JJ
nationally,RB
nationalcar,NP-TL
nadine,NP
natch,RB
nameless,JJ
nagasaki,NP
natural,JJ
naturam,FW-NN-TL
navy-blue,JJ
nationalistic,JJ
navel,NN
napping,VBG
napkin,NN
navy's,NN$-TL
natal,JJ
nancy,NP
narrative,NN
naively,RB
