term,tag
partial,JJ
pathless,JJ
pardon,NN
patina,NN
parakeets,NNS
parker,NP
payoff,NN
patches,NNS
paris,NP
palladium,NN
parenchyma,NN
passage,NN
painters,NNS
patched,VBN
packers,NPS
patchen,NP
passivity,NN
paying,VBG
papier-mache,NN
parker's,NP$
paot,FW-NN
parcel,NN
patrolman,NN
panting,VBG
pawing,VBG
passer-by,NN
pathologist,NN
patronized,VBD
partitions,NNS
parliaments,NNS
parrot,NN-TL
payson,NP
pardons,NNS
panelized,VBN
pagodas,NNS
parsympathetic,JJ
pathologic,JJ
passavant,NP-TL
pasty,JJ
paperback,NN
palazzos,NNS
paso,FW-NN
past,JJ
parasympathetic,JJ
pass,VB
parapets,NNS
paleness,NN
par-5,NN
par-3,NN
papillary,JJ
paintings,NNS
panama,NP-TL
parachutes,NNS
paddle,VB
payday,NN
paradoxical,JJ
patentees,NNS-TL
palindromes,NNS
passiveness,NN
parodies,NNS
pantomimed,VBD
packing,VBG
pate,NN
pati,FW-VB-TL
path,NN
passengers,NNS
partaker,NN
partakes,VBZ
parroting,VBG
paginated,VBN
partlow's,NP$
patriotic,JJ
pasley,NP
pathological,JJ
patents,NNS
paralyzes,VBZ
panicked,VBD
pavese,NP
paragon,NN-TL
panjandrum,NN
pax-ordo,FW-NN
patience,NN
palest,JJT
patriots,NNS
paralyzed,VBN
particularity,NN
patron,NN
palfrey's,NP$
paraphrases,NNS
papal,JJ
passport,NN
parry's,NP$
pavilions,NNS
particularistic,JJ
pavlov,NP
parliament,NN
pacta,FW-NNS
patrolmen,NNS
payne,NP
parrots,NNS
particular,JJ
parapsychology,NN
pathos,NN
paralleled,VBD
parachute,NN
parable,NN
pageant,NN-TL
palomar,NP-TL
panted,VBD
pastor's,NN$
patriarch,NN-TL
parimutuels,NNS
patient's,NN$
patrols,NNS
paragraph,NN
parquet,NN
parkway,NN
parasol,NN
pachelbel,NP
pagans,NNS
parishes,NNS
patrol,NN-TL
pawn,NN
pauses,VBZ
paused,VBN
parioli,NP
patinas,NNS
patisseries,NNS
packwood,NP
parliamentary,JJ
paws,NNS
paled,VBN
patton,NP
patronize,VB
paglieri's,NP$-TL
patrimony,NN-TL
paternally,RB
pavlovitch,NP
palates,NNS
panic,VB
paide,VBN
paramount,JJS
pantomimic,JJ
panel's,NN$
panoramic,JJ
pasting,VBG
passageway,NN
pat,NN
parry,NP
parallel,JJ
pawnshop,NN
pansies,NNS
pax,FW-NN-TL
panyotis,NP
pastilles,NNS
parish,NN
pantheist,NN
patil,NP
patio,NN
paul-minneapolis,NP-HL
parsonage,NN
passages,NNS
partnered,VBN
pascal,NP
paper,NN
pane,NN
paperbacks,NNS
paunchy,JJ
panthers,NNS
partisans,NNS
pandanus,NN
paradoxically,RB
paraded,VBD
papanicolaou,NP
pad,NN
parades,VBZ
pat's,NP$
party-line,NN
pangs,NNS
papa's,NP$
patmore,NP
parent-teacher,NN
pachinko,FW-NN
parkish,JJ
paralanguage,NN
pandelli's,NP$
parameter,NN
pakistanis,NPS
paleocortical,JJ
pan,NN
parishioners,NNS
pastel-like,JJ
pamper,VB
paid-for,JJ
party's,NN$
parent's,NN$
parasites,NNS
palatability,NN
paling,VBG
pam,NP
paper's,NN$
painted-in,JJ
parceled,VBN
pasha,NP
particles,NNS
participants,NNS
pamela,NP
paradise,NN
paulus,NP
patenting,NN
paleoexplosion,NN
patent-sharing,JJ
parley,VB
paramagnet,NN
pathetic,JJ
pathogenic,JJ
payroll,NN
paucity,NN
parings,NNS
pauling's,NP$
packards,NPS
patronage,NN
pairs,NNS
parichy,NP
pascagoula,NP
pandemic,NN
palaces,NNS
pagnol,NP
panza,NP
parted,VBN
parasols,NNS
pablo,NP
partook,VBD
paine,NP
passes,NNS
pardonable,JJ
participates,VBZ
pagnol's,NP$
parkinson's,NP$
paint,VB
pastry-lined,JJ
palestine,NP
pakistani,JJ
participated,VBN
painful,JJ
paved,VBN
paul's,NP$
pains,NNS
paynes,NPS
park,NN
paredon,FW-NN
padding,VBG
part,NN
pars,NNS
parsimonious,JJ
palsy,NN
parrillo,NP
pandora's,NP$
parenthetically,RB
pampered,VBN
patients,NNS
paula's,NP$
palace,NN-TL
partnership,NN
pare,VB
patting,VBG
pantheon,NN
pastime,NN
pastry,NN
pallor,NN
paths,NNS
papiers,FW-NNS
parkersburg,NP
pap-pap-pap-hey,UH
parks,NNS
partings,NNS
paleo-,JJ
palazzo,NN
panties,NNS
paintbrush,NN
parti,FW-NN-TL
pain,NN
patterson,NP-TL
pail,NN
patronne's,FW-NN$
passionately,RB
palasts,NPS
paid,VBD
paie,VB
pausing,VBG
paix,FW-NN-TL
pair,NN
paget,NP
pages,NNS
parting,VBG
patterned,VBN
pathet,NP
parisian,JJ
pageantry,NN
partition,NN
part-time,JJ
pa.,NP
pasted,VBN
pales,NNS
parris,NP
painting,VBG
pans,NNS
pardoned,VBN
particularly,RB
parsifal,NP-TL
parolees,NNS
paschal,NP
padded,VBN
parochial,JJ
parked,VBN
participate,VB
paschall,NP
parsimony,NN
painlessly,RB
pallavicini,NP-TL
partners,NNS
pant-legs,NNS
pause,NN
pastoral,JJ
painfully,RB
parameters,NNS
paralleling,VBG
pantasaph,NP
pavlovsky,NP
patristic,JJ
parodied,VBD
partake,VB
parlayed,VBD
painter's,NP$
palliative,JJ
paperweight,NN
patter,NN
patriot,NN
pave,VB
patted,VBD
pauper's,NN$
parlance,NN
paxton,NP
paddies,NNS
pawcatuck,NP-TL
parlors,NNS
parasitic,JJ
pacifism,NN
patch,NN
paternalism,NN
pacifist,NN
particulate,JJ
patriotism,NN
paxam,FW-NN
partlow,NP
packet,NN
pads,NNS
parking,VBG
parmer,NP
paragraphing,NN
packed,VBD
pastel,NN
palette,NN
patties,NNS
pattern,NN
partisan,JJ
parkhouse,NP
paralinguistic,JJ
pampa,NP
paramagnetic,JJ
