term,tag
pulsed,VBN
publique,FW-JJ-TL
pursuant,JJ
purported,VBD
put-upon,JJ
purely,QL
pumblechook's,NP$
puttin',VBG-TL
punster,NN
purgation,NN
puzzling,VBG
purified,VBN
puff,VB
puddingstone,NP
punted,VBD
pups,NNS
purvis,NP
pullover,NN-TL
pugh,UH
pursuing,VBG
puerto,NP
purposively,RB
puppyish,JJ
pumpkin,NN
puffs,VBZ
publicity,NN
publicists,NNS
punctured,VBN
puzzled,VBN
pumblechook,NP
pushers,NNS
puzzles,NNS
puzzler,NN
putting,VBG
publicizing,VBG
pullman's,NP$
pulsing,VBG
pullmans,NPS
purporting,VBG
purveyor,NN
pueri,FW-NNS
purpling,VBG
pundits,NNS
putains,FW-NNS
pug-nosed,JJ
pummeled,VBD
pubescent,JJ
puppet's,NN$
puddle,NN
pushin',VBG
pursuits,NNS
pulse,NN
pursewarden,NP
punitive,JJ
puritans,NPS
publically,RB
purest,JJT
purchasers,NNS
puncturing,VBG
purple,JJ
putter,NN
publish,VB
puckering,VBG
pump,NN
pulpit,NN
pulsating,VBG
purdue's,NP$
pursed,VBD
putted,VBD
public,JJ
publishers,NNS
pun,NN
purses,NNS
push-pull,NP
punched,VBD
pushing,VBG
pupated,VBN
pumping,VBG
pub,NN
punch,VB
pulse-jet,NN
puckish,JJ
putty,NN
pursuit,NN
public's,NN$
put,VBD
pupates,VBZ
pup,NN
punishments,NNS
publication,NN-HL
publishes,VBZ
publisher,NN
pulpits,NNS
puerile,JJ
pulverizing,VBG
purists,NNS
puddles,NNS
punctuated,VBN
purism,NN
pump-action,NN
published,VBD
purring,VBG
punishment,NN
puny,JJ
pulleys,NNS
pullings,NP
pulova,NP
purling,VBG
pungency,NN
purport,VB
puritan,JJ-TL
pussy,NN
puzzle,VB
puccini's,NP$
puncher,NN
purveyors,NNS
puppet,NN
punishable,JJ
pulverized,VBD
punching,NN
pulls,NNS
pulmonary,JJ
pullman,NP-TL
putt,NN
punishes,VBZ
publishing,VBG
puts,VBZ
purposive,JJ
puke,NN
putty-like,JJ
punishing,VBG
punished,VBN
public-school,NN
purposefully,RB
purposely,RB
purgatory,NN
puberty,NN
pulley,NN
purchaser's,NN$
pualani,NP
public-opinion,NN
punctually,RB
pursuers,NNS
pumped-up,VBN
pulse-timing,JJ
punchbowl,NN
pump-priming,NN
pulitzer,NP-TL
pull,VB
putas,FW-NNS-TL
publicly,RB
pursue,VB
punnished,VBN
puissant,JJ
pungent,JJ
purloined,VBN
purposeless,JJ
purge,VB
purtiest,JJT
public-spirited,JJ
publications,NNS
pumped,VBD
push-ups,NNS
punched-card,NN
purports,VBZ
pulsation,NN
pulp,NN
purcell,NP
puttering,VBG
punks,NNS
purchases,NNS
purifying,VBG
punches,NNS
pushes,VBZ
public-limit,NN
punk,NN
purse,NN
purposes,NNS
pushed,VBN
pulling,VBG
purity,NN
purchased,VBN
punctuality,NN
purposed,VBN
purging,VBG
purdew,NP
pussycat,NN
public-address,NN
puritanical,JJ
pupils,NNS
puffed,VBD
pursued,VBN
punctuation,NN
purchasing,VBG
publick,JJ
pulaski,NP-TL
pushup,NP
pure,JJ
punish,VB
puppy,NN
puffing,VBG
puckered,VBN
pursues,VBZ
pursuer,NN
puzzlement,NN
puppets,NNS
puffy,JJ
punditry,NN
publicized,VBN
push-up,NN
pubs,NNS
pumps,NNS
purpose,NN
puppies,NNS
purled,VBD
putout,NN
purple-black,JJ
purchase,NN
puddings,NNS
pulsations,NNS
purportedly,RB
purposeful,JJ
purges,VBZ
purify,VB
purification,NN-HL
puttana,FW-NN
pupil,NN
pullen,NP
pungently,QL
push,VB
pulled,VBD
purged,VBN
