term,tag
rifles,NNS
rim-fire,NN
rimless,JJ
rittenhouse,NP
right-handed,RB
risking,VBG
rinascimento,NP
rifled,VBN
ringlets,NNS
ringers,NNS
rivulets,NNS
rigidity,NN
rickettsia,NP
ridiculing,VBG
rigid,JJ
riverbank,NN
riots,NNS
rico,NP
ripened,VBN
rich,NN
riding,VBG
rightist,NN
rice,NN
ridiculously,RB
rinsing,VBG
righteousness,NN
risk,NN
rigids,NNS
richness,NN
rise,VB
right-wing,NN
rinker,NP
riflemen-rangers,NNS
ridgefield,NP
richards,NP
ritchie,NP
riverside's,NP$
riesman,NP
riegger,NP
richmond-petersburg,NP
riven,VBN
ribbons,NNS
rights,NNS
right-hand,NN
rituals,NNS
rip-roaring,JJ
river,NN
ricco,NP
right,JJ
riverbanks,NNS
ricci,NP
ritter,NP
rivers,NNS
ritter's,NP$
richly,RB
ripple,NN
rickey's,NP$
rican,JJ-TL
ribbon,NN
righthander,NN
rigidly,RB
ritz,NP
richard,NP
rigging,NN
rim-fires,NNS
riflemen's,NNS$
rings,VBZ
richmond,NP
ritiuality,NN
riemann's,NP$
rite,NN
rifling,NN
ripped,VBD
riverside,NP
risen,VBN
rims,NNS
ribonucleic,JJ
richest,JJT
rights-of-way,NNS
rig-veda,NP
rime,NN
ridgway,NP
rigorous,JJ
rises,VBZ
riddance,NN
richards',NP$
riddles,NNS
rigorously,RB
riviera,NP-TL
ribs,NNS
ridicule,VB
riddled,VBN
rivalled,VBD
riddle,NN
riverboat,NP
rilke,NP
ridiculed,VBN
ribbing,NN
ripa,FW-NN-TL
rising,VBG
rink,NN-TL
ring,NN
rivets,VBZ
ripping,VBG
right-of-entry,NN
rickards,NP
ridge,NN
ridding,VBG
ripples,NNS
rivals,NNS
rilly,NP
rivalries,NNS
ripening,VBG
rigs,NNS
riflemen,NNS
rimini,NP
rifleman,NN
riot,NN
rifle's,NN$
rioting,VBG
rioted,VBD
ring-around-the-rosie,NN
ridden,VBN
ridiculous,JJ
rickshaw,NP
rifle,NN
rivalry,NN
riders,NNS-TL
ricocheted,VBD
righteous,JJ
rimanelli,NP
richey,NP
rippling,VBG
ricans,NPS
rival,NN
ride,NN
riches,NNS
richer,JJR
rigger,NN
ring-labeled,JJ
richert,NP
risks,NNS
richard's,NP$
rigged,VBN
rightness,NN
rickety,JJ
ringings,NNS
risky,JJ
ribcage,NN
ritschl,NP
ribas,NP
ritual,NN
rightly,RB
ringing,VBG
ripe,JJ
ringel,NP
ringler's,NP$
rippled,VBD
rip,VB
rio,NP
riefling,NP
rim,NN
rider's,NN$
rig,NN
rid,JJ
rib,NN
riotous,JJ
ringed,VBN
river's,NN$
rifle-shotgun,NN
ritualized,VBN
right-angled,JJ
rival's,NN$
rioters,NNS
rimbaud,NP
ribes,NP
riverview,NP
rides,NNS
rider,NP
riddling,VBG
rivaled,VBD
right-angle,NN
richardson's,NP$
rigors,NNS
rightfully,RB
riggers,NNS
rickenbaugh,NP
rites,NNS
riggs,NP
risked,VBD
ridges,NNS
ringsiders,NNS
ringside,NN
rightful,JJ
rift,NN
ridpath,NP
richter-haaser,NP
ring-around-a-rosy,NN
rifleman's,NN$
rightfield,NN
riboflavin,NN
rimmed,VBD
riffle,VB
richardson,NP
rider-fashion,RB
rizzuto,NP
ribald,JJ
rinse,NN
