term,tag
rustlers,NNS
rubies,NNS
rusted,VBN
rutted,VBN
rumdum,NN
ruysch,NP
rusting,NN
rumbling,VBG
rubens,NP
rubric,NN
ruger,NP
runing,VBG
rushing,VBG
rundown,JJ
ruling-class,NN
rudderless,JJ
run-down,JJ
ruin,VB
rudder,NN
rural,JJ
runners,NNS
ruggiero,NP
ruiz,NP
rushmore,NP-TL
rules,NNS
ruler,NN
rubicund,JJ
rumscheidt,NP
rushall,NP
rumor,NN
ruled,VBD
runs,VBZ
rumpled,VBN
ruthlessness,NN
ruefully,RB
ruptured,VBN
rundfunk,FW-NP-TL
ruddy,JJ
rung,VBN
ruins,NNS
ruminants,NNS-HL
rumored,VBN
russo-american,JJ
rustling,VBG
rundfunkchor,NP
rusty,JJ
runner-up,NN
ruse,NN
runoff,NN
rushes,NNS
russians',NPS$
rude,JJ
ruthless,JJ
rubdown,NN
ruggedly,RB
rubber-like,JJ
ruffles,VBZ
rundfunk-sinfonie-orchester,NP
ruffled,VBN
rummel,NP
russia's,NP$
ruinous,JJ
rutabagas,NNS
run-ups,NNS
ruh,FW-NN
run,VB
runyon's,NP$
rustlin',NN
rum,NN
rub,VB
russet-colored,JJ
rudimentary,JJ
rug,NN
rue,NN
rustproof,JJ
rubbery,JJ
rut,NN
rutabaga,NN
rumanians,NPS
rumbled,VBD
russian-dominated,JJ
rudyard,NP
rufus,NP
rumpus,NN
rum-tum-tum,UH
run-of-the-mine,JJ
rudolf,NP
rummaging,VBG
runt,NN
rudely,RB
ruefulness,NN
russe,NN
rustle,NN
rumania,NP
ruanda-urundi,NP
runaway,JJ
ruddiness,NN
runways,NNS
runabout,NN
russell,NP
runes,NNS
rushed,VBD
runyon,NP
rustic,JJ
rumbles,VBZ
rump,NN
rummy,NN
rustled,VBN
rummaged,VBD
ruining,VBG
rube,NP
ruling's,NN$
ruthenium,NN
run/chamber,VBN
rubbish,NN
rudeness,NN
russian,JJ
ruger's,NP$
rupture,NN
rusk,NP
rush,NN
rumanian,JJ
rugged,JJ
rucellai,NP
runway,NN
rutherford,NP
rutstein,NP
rulings,NNS
ruined,VBN
rubberized,VBN
run-scoring,JJ
ruling,NN-TL
russ,NP
ruth's,NP$
russia,NP
rust,NP
ruffian,NN
russet,JJ
runner,NN
rubbing,VBG
ruckus,NN
rubble,NN
rulers,NNS
runnin',VBG
ruppert,NP
rustler,NN
rugs,NNS
rumford,NP
run-up,JJ
rumors,NNS
rul.,NN-TL
russians,NPS
rudolph,NP
rusk's,NP$
rubber,NN
ruffians,NNS
ruth,NP
ruts,NNS
ruidoso,NP
rubbin',VBG
rumen,NN
rumble,NN
running,VBG
ruthlessly,RB
rudy,NP
rulers',NNS$
rupees,NNS
rubbed,VBD
ruark's,NP$
rupee,NN
rule,NN
rustler-hunter,NN
rudkoebing,NP
russell's,NP$
