term,tag
savior,NN
saver,NN
saves,VBZ
sanctuary's,NN$
saved,VBN
sago,NN
sales-conscious,JJ
sashimi,NN
sanantonio,NP
saltonstall,NP
sappy,JJ
safe-driving,NN
samovar,NN
sans,FW-IN-TL
sang,VBD
sand,NN
sane,JJ
saxophone,NN
saudi,NP
sana,FW-JJ
sank,VBD
sacrificial,JJ
samoa,NP-TL
sarkees,NP
sabbath,NP
sanderson,NP
samos,NP
sailed,VBD
salinger,NP
sacral,JJ
sauerkraut,NN
sakellariadises,NPS
sables,NNS
santa's,NP$
saps,VBZ
satisfy,VB
sarasota,NP
sardines,NNS
safer,JJR
saws,NNS
saxton's,NP$-TL
salomonovich,NP
safe-cracking,JJ
saudi-american,JJ
salvation,NN-TL
samar,NP
saunders,NP
sadist,NN
sanction,VB
salted,VBN
sarah,NP
sako,NP
sadder,JJR
saxony,NP
salting,VBG
sake,NN
saxons,NPS
saith,VBZ
savoyards,NPS
saddlebags,NNS
sanitaire,FW-JJ
saintsbury,NP
saber,NN
satirizes,VBZ
salpetriere,NP
sacrestia,NP
salvador,NP
sanctions,NNS
salfininistas,NP
sanhedrin,NN
sarcasms,NNS
sansome,NP
saba,NP
salvage,NN
sawed-off,JJ
sanitarium,NN
sacking,VBG
salesmen,NNS
sanding,VBG
sample,NN
saadi,NP
salter,NP
salty,JJ
salts,NNS
savoy,NP-TL
savor,NN
sailboat,NN
salivate,VB
sacred,JJ
saint-saens,NP
salons,NNS
sabine,NP
sandwich,NN
sabina,NP
sacrifice,NN
salvaging,VBG
sauternes,NPS
saud's,NP$
salyer's,NP$-TL
santayana's,NP$
sanest,JJT
salamander,NN
salter's,NP$
salon,NN
saturated,VBN
sanctioned,VBN
satisfied,VBN
sarcolemmal,JJ
sawalisch,NP
satisfies,VBZ
sacrosanct,JJ
saucy,JJ
saigon,NP
sandburg's,NP$
savannakhet,NP
saxon,NP
savory,JJ
sauce,NN
sarti,NP
sapling,NN
sanctified,VBN
safe,NN
sarcastic,JJ
samuels,NP
sack,NN
safari,NN
satellites,NNS
saddened,VBN
sardanapalus,NP
sagami,NP-TL
saloons,NNS
savonarola,NP
savored,VBD
sandbars,NNS
saleslady,NN
sachems',NNS$
sarsaparilla,NN-TL
salves,NNS
saturday-night,JJ
salesman,NN
saturday,NR
sandy,JJ
sandalphon,NP
safeties,NNS
safety,NN
saltbush,NN
salish,NP
sainthood,NN
salute,NN
sara's,NP$
salesmanship,NN
salami,NN
salient,JJ
sanatorium,NN-TL
sac's,NN
salesman's,NN$
sangallo,NP
saturday's,NR$
sabol,NP
saucers,NNS
sarcastically,RB
sanchez,NP
saving,VBG
sacheverell,NP
sallies,NNS
sailor,NN
sartoris,NP
says,VBZ
sayed,VBD
sadly,RB
sarcasm,NN
sargent,NP
saint,NN-TL
sarasate,NP
